candle_size,percentage,weekday,volume,target
0.07928214447978188,0.1662873423964546,4,0.1025281486752333,0
0.004543389368468799,0.0107182216491975,0,0.0143150140220166,0
0.0059064061790094985,0.0135399262440452,0,0.014712653300406,0
0.024761472058155293,0.0527883581207845,0,0.0242769243648235,1
0.04497955474784179,0.0944532678804788,0,0.0567368465112385,0
0.027260336210813193,0.0576117237051577,1,0.0242559959817504,0
0.02862335302135389,0.0598208048377226,4,0.0131430245699217,1
0.03384825079509309,0.0704391708528205,4,0.0256791260307228,1
0.03362108132666959,0.0698646540358707,4,0.0391988614959608,0
0.033393911858246195,0.0692164569889863,0,0.0171612741199614,1
0.009541117673784598,0.0203997148193961,3,0.0246327068770666,0
0.027033166742389793,0.0559790774396527,4,0.024862919090871,1
0.03112221717401179,0.0637489892654236,4,0.0314135029927587,1
0.038164470695138494,0.0782542642500433,1,0.0342179063245573,0
0.07223989095865509,0.1461877453642081,2,0.0861202963459043,0
0.04066333484779639,0.0826798287535612,2,0.0294462349838851,0
0.08905043162198999,0.1808322000061464,3,0.0370641664225021,0
0.04361653793730119,0.0875910306098338,1,0.0429450420660499,1
0.06565197637437518,0.1308310165183871,1,0.024695492026286,1
0.04634257155838249,0.0929942626384342,2,0.0340504792599723,0
0.025442980463425694,0.052124789327892,0,0.0350550416474823,0
0.003180372557928199,0.0072045216763183,0,0.0160520698170859,0
0.027487505679236694,0.0566192164213561,1,0.05259302666276,1
0.013857337573829996,0.0287750090680753,2,0.0168473483738646,0
0.011358473421172098,0.0236754544714906,2,0.0158637143694278,0
0.23830077237619254,0.4793413463029932,2,0.1504122891465405,0
0.05361199454793269,0.1097716696572324,2,0.0178519107613745,1
0.027487505679236694,0.0566327977153935,3,0.0329203465740236,0
0.055429350295320284,0.1140679228888343,3,0.066635971704826,0
0.03248523398455239,0.0672892162275151,3,0.022498011803608,0
0.017946388005451997,0.0376194356811061,0,0.0059018040266209,0
0.14925034075420257,0.3066180602584614,1,0.0553346448453392,0
0.04975011358473418,0.1031614650879558,1,0.0517349629567619,0
0.004770558836892299,0.0107816463423868,3,0.0097316981290025,0
0.019990913221262997,0.0431844804541492,1,0.0304089406052488,0
0.040436165379372994,0.0859380002843569,1,0.0354945376920179,0
0.009541117673784598,0.021667858881173,1,0.0156962873048428,0
0.03112221717401179,0.06691189911238,4,0.0169729186723033,0
0.021808268968650596,0.0464552575897438,1,0.0234397890418986,1
0.010904134484325298,0.0237752425626239,1,0.0195889665564438,0
0.025442980463425694,0.0535469206149239,1,0.0179565526767401,0
0.04361653793730119,0.0911557223211983,2,0.04160562554937,0
0.04202635165833709,0.0882234907098408,3,0.0387802938344983,1
0.019536574284416096,0.041230963023437,4,0.032983131723243,1
0.010676965015901799,0.0227603723976405,0,0.0153614331756728,1
0.023625624716038095,0.049333013861441,1,0.0230630781465823,0
0.020445252158109897,0.0430961277853039,2,0.0217864467791218,1
0.030667878237164894,0.06404123818409,2,0.0259302666276003,0
0.031576556110858696,0.0644954501776203,0,0.034845757816751,0
0.03884597910040889,0.0796160624121259,3,0.0321669247833912,1
0.013630168105406596,0.0286695501433905,0,0.0097944832782219,0
0.037482962289868194,0.0769441748492424,1,0.0276463940395964,0
0.05974557019536569,0.1198051174377017,3,0.0938010129337407,1
0.028396183552930394,0.0578854636014,2,0.0173287011845464,0
0.015447523852794097,0.0314690633940748,2,0.0344481185383617,1
0.04475238527941839,0.0890151547766879,4,0.0440123896027792,1
0.03521126760563379,0.0709192458151731,0,0.02097023983927,1
0.05224897773739209,0.1042095775457613,0,0.03061822443598,0
0.03793730122671509,0.0759446787016237,2,0.0285463145117408,0
0.020899591094956798,0.041923151232951,4,0.0410196308233225,0
0.029532030895047693,0.0576243615459235,1,0.0238792850864342,1
0.07223989095865509,0.1403650063514039,1,0.0588087564354777,1
0.06792367105860969,0.1316885220517516,1,0.0870202168180486,0
0.011812812358018997,0.0230954843222835,4,0.0198191787702482,0
0.021126760563380198,0.0405107691454671,0,0.0226026537189736,0
0.06610631531122209,0.1265897379659225,1,0.0758653886400736,1
0.08359836437982729,0.1593839364276434,1,0.0462098698254572,0
0.057473875511131284,0.1088442532109716,4,0.0362061027165041,1
0.021353930031803695,0.0402192463247615,4,0.02097023983927,0
0.017719218537028597,0.0335454877162287,4,0.0254489138169185,0
0.016810540663334796,0.032323846027972,0,0.0408103469925913,0
0.019990913221262997,0.0387411337589912,1,0.0203423883470763,0
0.04089050431621989,0.078725378343478,2,0.0709472186178895,1
0.037482962289868194,0.0719981733318115,2,0.0354945376920179,0
0.049295774647887286,0.0956909383090715,3,0.0395546440082039,0
0.03657428441617439,0.0704929302533539,4,0.0338411954292411,0
0.027714675147660094,0.0541120726211631,0,0.0329622033401699,1
0.05792821444797819,0.1151609740025718,3,0.0427776150014649,0
0.043162199000454295,0.0856071726552352,1,0.0515675358921769,0
0.03112221717401179,0.0617546465516604,1,0.035348039010506,0
0.015220354384370697,0.0312615815427099,0,0.0259093382445272,0
0.019309404815992696,0.0394479055273737,2,0.0170984889707421,0
0.027487505679236694,0.0559677729533132,3,0.0217864467791218,1
0.07950931394820529,0.1593307542472378,0,0.0528023104934912,0
0.013402998636983096,0.0273640285147276,0,0.0176635553137164,0
0.019763743752839597,0.0400302855623166,0,0.0276254656565233,0
0.038164470695138494,0.0767131012760931,0,0.0254907705830647,0
0.007269422989550198,0.0150951821089653,1,0.0115733958394374,0
0.04497955474784179,0.0899664598186801,1,0.0428404001506843,1
0.007269422989550198,0.0149697485959384,2,0.0087899208907119,0
