candle_size,weekday,target
0.0063387423935091,2,0
0.0499492900608519,2,1
0.0311866125760649,2,0
0.0552738336713996,2,1
0.0251014198782961,2,0
0.0078600405679513,2,0
0.0618661257606491,3,1
0.0709939148073022,4,0
0.0324543610547667,4,0
0.0387931034482758,0,0
0.066683569979716,0,0
0.0583164300202839,0,0
0.0902636916835699,1,0
0.0131845841784989,1,1
0.0053245436105476,1,0
0.0152129817444219,2,1
0.03473630831643,2,0
0.0329614604462474,2,0
0.056288032454361,2,0
0.0415821501014198,3,0
0.2276876267748479,3,0
0.0687119675456389,3,0
0.0641480730223123,4,1
0.0408215010141987,0,1
0.0306795131845841,0,0
0.0491886409736308,0,0
0.1168864097363083,0,0
0.1442697768762677,1,0
0.040314401622718,2,0
0.0316937119675456,2,0
0.0646551724137931,2,0
0.0453853955375253,3,0
0.0461460446247464,4,0
0.1120689655172414,4,1
0.0474137931034482,0,0
0.0580628803245436,0,0
0.0119168356997971,1,0
0.0463995943204868,3,0
0.0248478701825557,3,1
0.0136916835699797,4,1
0.0357505070993914,4,0
0.0154665314401622,0,0
0.0164807302231237,0,0
0.0081135902636916,1,1
0.0334685598377282,1,0
0.0360040567951318,2,0
0.0164807302231237,2,1
0.0081135902636916,2,0
0.0332150101419878,3,1
0.1572008113590264,3,0
0.037525354969574,3,0
0.0494421906693712,4,0
0.0258620689655172,4,1
0.0540060851926977,4,0
0.072261663286004,0,1
0.0261156186612576,0,1
0.0276369168356998,0,0
0.0240872210953346,1,0
0.082657200811359,1,0
0.0218052738336713,1,0
0.0585699797160243,2,0
0.031947261663286,2,1
0.024340770791075,4,1
0.0126774847870182,4,1
0.0253549695740365,4,0
0.0240872210953346,4,1
0.0441176470588235,4,0
0.0603448275862069,4,0
0.0486815415821501,0,0
0.0212981744421906,1,0
0.0527383367139959,1,0
0.0654158215010142,3,1
0.0542596348884381,3,0
0.0527383367139959,4,0
0.0088742393509127,4,0
0.063894523326572,0,0
0.0136916835699797,1,0
0.0377789046653144,2,1
0.0623732251521298,2,0
0.0205375253549695,3,0
0.1067444219066937,3,0
0.0839249492900608,3,1
0.0973630831643002,3,1
0.0228194726166328,0,1
0.0273833671399594,0,1
0.0659229208924949,0,0
0.0463995943204868,0,1
0.0398073022312373,0,0
0.0035496957403651,0,0
0.0813894523326572,2,0
0.0225659229208924,3,0
0.0656693711967545,3,0
0.0253549695740365,3,0
0.0141987829614604,4,0
0.053498985801217,4,0
0.0628803245436105,0,0
0.1097870182555781,0,0
0.0230730223123732,1,0
0.0278904665314401,1,0
0.0124239350912778,1,1
0.0583164300202839,1,0
0.0461460446247464,1,0
0.2408722109533468,1,0
0.0294117647058823,1,0
0.0327079107505071,2,0
0.0745436105476673,2,1
0.0654158215010142,2,1
0.0702332657200811,2,0
0.0225659229208924,2,0
0.1668356997971603,2,0
0.0626267748478701,2,0
0.0306795131845841,3,1
0.0,4,0
0.0301724137931034,4,0
0.0218052738336713,0,0
0.0633874239350912,0,0
0.0603448275862069,1,1
0.0633874239350912,1,0
0.0276369168356998,1,0
0.0316937119675456,2,0
0.0390466531440162,2,0
0.0588235294117647,3,1
0.0296653144016227,3,1
0.0413286004056795,4,0
0.1075050709939148,4,0
0.1622718052738337,4,1
0.1338742393509128,4,0
0.0418356997971602,0,1
0.0415821501014198,0,1
0.0032961460446247,1,0
0.0063387423935091,1,0
0.037525354969574,1,1
0.0093813387423935,1,0
0.0134381338742393,2,0
0.0788539553752535,2,1
0.0545131845841785,2,0
0.024340770791075,3,1
0.0413286004056795,3,1
0.0532454361054766,3,0
0.1260141987829615,4,0
0.0768255578093306,4,0
0.0311866125760649,4,0
0.0344827586206896,0,0
0.045892494929006,0,0
0.1052231237322515,0,0
0.0418356997971602,0,0
0.021551724137931,1,0
0.0552738336713996,2,0
0.0476673427991886,3,1
0.0529918864097363,3,0
0.0385395537525355,3,0
0.114604462474645,3,1
0.0088742393509127,3,0
0.008367139959432,4,0
0.0836713995943204,4,0
0.059077079107505,4,0
0.066683569979716,0,0
0.0385395537525355,1,0
0.0687119675456389,1,1
0.053498985801217,1,0
0.0425963488843813,2,0
0.0940669371196754,2,0
0.056288032454361,3,1
0.0699797160243407,3,0
0.0621196754563894,4,1
0.0900101419878296,0,0
0.0623732251521298,0,1
0.0235801217038539,0,0
0.0595841784989858,0,1
0.0169878296146044,0,0
0.0745436105476673,1,0
0.1516227180527383,1,0
0.0286511156186612,2,0
0.0339756592292089,2,0
0.0205375253549695,3,1
0.0311866125760649,3,1
0.0337221095334685,3,0
0.0398073022312373,3,0
0.0174949290060851,4,0
0.0400608519269777,4,1
0.0182555780933062,4,0
0.0829107505070994,0,0
0.0294117647058823,0,0
0.0443711967545639,0,0
0.0428498985801217,0,1
0.0398073022312373,1,0
0.1082657200811359,1,0
0.0704868154158215,1,0
0.0674442190669371,1,0
0.037525354969574,2,0
0.0715010141987829,2,0
0.0314401622718052,3,0
0.0169878296146044,4,1
0.1323529411764706,4,1
0.1209432048681541,0,1
0.127789046653144,0,0
0.0339756592292089,0,0
0.0517241379310344,0,0
0.0547667342799188,1,1
0.0291582150101419,1,0
0.045131845841785,2,0
0.0527383367139959,3,1
0.0730223123732251,4,0
0.0365111561866125,0,0
0.0367647058823529,1,0
0.0121703853955375,1,0
0.0235801217038539,1,1
0.0517241379310344,1,0
0.0332150101419878,1,0
0.0342292089249492,1,1
0.0131845841784989,2,0
0.0248478701825557,3,1
0.0240872210953346,0,0
0.0230730223123732,0,0
0.0291582150101419,1,0
0.0550202839756592,2,0
0.0223123732251521,3,0
0.0963488843813387,3,0
0.0207910750507099,3,1
0.0502028397565922,3,0
0.0382860040567951,4,0
0.0514705882352941,4,1
0.0372718052738336,0,0
0.0410750507099391,0,0
0.018762677484787,0,1
0.024340770791075,0,1
0.0314401622718052,1,0
0.0266227180527383,1,0
0.0514705882352941,1,0
0.0316937119675456,1,0
0.0306795131845841,2,1
0.0261156186612576,2,0
0.0527383367139959,2,0
0.0474137931034482,2,1
0.0149594320486815,2,1
0.0261156186612576,3,0
0.0585699797160243,3,1
0.0522312373225152,3,0
0.0481744421906693,0,1
0.0862068965517241,0,0
0.0263691683569979,0,0
0.040314401622718,0,0
0.0600912778904665,0,0
0.0420892494929006,0,0
0.0251014198782961,0,0
