candle_size,percentage,weekday,target
0.0162790697674418,0.0397323557520923,2,1
0.0122923588039867,0.0295311527158223,2,0
0.0210963455149501,0.0506394857364508,3,0
0.0435215946843853,0.1026492306208,0,0
0.0483388704318936,0.1139297041028652,0,0
0.0318936877076411,0.0745692282918245,1,0
0.1328903654485049,0.3117088023735374,1,0
0.01843853820598,0.0433151710838238,1,0
0.0395348837209302,0.0925142772637133,2,1
0.0284053156146179,0.0666456092985258,3,1
0.0207641196013289,0.0489485713213948,3,0
0.0285714285714285,0.0672312035771253,3,1
0.0318936877076411,0.075156969178066,3,0
0.0529900332225913,0.1249818421186833,3,0
0.0270764119601328,0.0636347731458283,4,0
0.0456810631229235,0.107412745389674,4,0
0.020265780730897,0.0475379522366771,0,0
0.0227574750830564,0.0527052787705523,1,0
0.0161129568106312,0.0372895345494065,1,1
0.0146179401993355,0.0338381123470194,1,1
0.1004983388704318,0.2342899288837018,2,0
0.0187707641196013,0.0438683100872051,2,0
0.0094684385382059,0.0220856613042129,3,1
0.0109634551495016,0.0256076698017789,3,1
0.0337209302325581,0.078771607296729,3,0
0.0166112956810631,0.0387655861541396,3,1
0.0594684385382059,0.138483688186413,4,0
0.0194352159468438,0.0452735879800006,4,0
0.0063122923588039,0.0143615624797811,2,0
0.0232558139534883,0.0535458355995114,2,0
0.029235880398671,0.0674940223318395,2,0
0.0119601328903654,0.0274643441820621,2,0
0.0039867109634551,0.0089820189220233,2,0
0.0200996677740863,0.0462849866433882,3,1
0.041860465116279,0.0966435478176802,3,0
0.0388704318936877,0.0897853204774089,3,1
0.0162790697674418,0.0374420351381139,4,1
0.0634551495016611,0.1451831730292834,4,0
0.020265780730897,0.0463666840334488,0,0
0.0112956810631229,0.0257399368660456,0,0
0.0091362126245847,0.0207645400916817,1,0
0.0219269102990033,0.0501403770134503,1,1
0.0348837209302325,0.0803260375714095,1,0
0.0686046511627907,0.1587497568919063,1,0
0.01843853820598,0.0429299528984869,1,1
0.0104651162790697,0.0242773390433898,2,0
0.0191029900332225,0.0446778736385536,2,0
0.0129568106312292,0.0302814755812081,3,0
0.0189368770764119,0.0443365121662296,3,0
0.0137873754152823,0.0322655107918257,3,0
0.0862126245847176,0.2014129703345233,3,0
0.0119601328903654,0.0278550333796134,4,0
0.0116279069767441,0.0269961435922926,4,0
0.0154485049833887,0.0359287687323238,4,0
0.0259136212624584,0.0606890057003169,0,0
0.0174418604651162,0.0408718565237599,1,0
0.0124584717607973,0.0288145247778157,1,0
0.0073089700996677,0.0168149769129273,2,1
0.0122923588039867,0.0284282613329427,2,0
0.0200996677740863,0.0469240921869487,2,0
0.0210963455149501,0.0493076133819536,2,0
0.076578073089701,0.1793765836150761,3,1
0.074750830564784,0.1761109206589714,3,1
0.0473421926910298,0.112743027969951,4,0
0.0353820598006644,0.0842241651455324,4,1
0.0421926910299003,0.1010332755013331,4,0
0.0217607973421926,0.0521678705370027,4,0
0.0227574750830564,0.0546374245398231,0,1
0.0225913621262458,0.0543226862448325,0,0
0.0212624584717607,0.0506212970628519,1,0
0.0232558139534883,0.0553359932250164,1,1
0.0430232558139534,0.1014642217927633,1,0
0.0034883720930232,0.008206773322627,1,0
0.038704318936877,0.0914442828679533,2,0
0.062126245847176,0.1484547268799065,3,1
0.0647840531561461,0.1553882092603252,3,0
0.0229235880398671,0.0551079845486029,3,1
0.0260797342192691,0.062736689755564,3,1
0.0205980066445182,0.0494450209971067,4,0
0.0445182724252491,0.1067031758308992,0,0
0.0114617940199335,0.0275611716869293,1,0
0.0267441860465116,0.0641805390846342,1,1
0.0382059800664451,0.0924075628721927,1,1
0.0242524916943521,0.0588153967928326,1,1
0.0200996677740863,0.0488373965067546,1,0
0.01843853820598,0.0446296346281588,2,1
0.0285714285714285,0.0689561138853225,2,1
0.0737541528239202,0.1766513995231195,4,0
0.0220930232558139,0.0527302344047083,4,1
0.0235880398671096,0.056369891509446,4,0
0.0305647840531561,0.0727883238463521,0,1
0.058970099667774,0.1414184286728705,0,0
0.0116279069767441,0.0276861937433731,1,1
0.0141196013289036,0.033679897125353,1,1
0.0375415282392026,0.0896368176083983,1,0
0.0124584717607973,0.0298287847586471,1,0
0.0332225913621262,0.0795101581529588,1,0
0.0315614617940199,0.0754696607261738,2,1
0.0378737541528239,0.0906776240658435,2,1
0.0200996677740863,0.0482250266864931,2,0
0.0181063122923588,0.0432264383084994,3,1
0.0308970099667773,0.0735537522720629,3,1
0.0187707641196013,0.0449785848105358,4,0
0.0162790697674418,0.0389578537263082,0,1
0.0239202657807308,0.0572687457431191,0,0
0.0370431893687707,0.0884960084767058,0,0
0.0303986710963455,0.0728035854389339,0,0
0.0157807308970099,0.0378411233294862,1,0
0.0132890365448504,0.0317949528130816,1,0
0.0179401993355481,0.0427911168092662,1,0
0.0401993355481727,0.0951885747198911,2,0
0.023421926910299,0.0547045680031201,2,1
0.0392026578073089,0.0916692889201608,2,0
0.0189368770764119,0.0443218826166367,3,0
0.0176079734219269,0.0412051406924015,3,0
0.0534883720930232,0.1247392943587339,3,0
0.0225913621262458,0.0527972478957258,4,1
0.0345514950166112,0.0819328308480656,0,0
0.0224252491694352,0.0532739169766042,0,1
0.0,0.0,1,0
0.0033222591362126,0.0079154653897432,1,0
0.1181063122923588,0.2777804746237857,2,0
0.040531561461794,0.0953372949421199,2,0
0.0078073089700996,0.0183038806295933,3,0
0.0154485049833887,0.0363157561919058,3,0
0.0166112956810631,0.038969828035993,4,0
0.0079734219269102,0.0183780049007191,1,0
0.0647840531561461,0.1510418600357704,1,1
0.0890365448504983,0.2088271425178885,1,0
0.0126245847176079,0.0294318865526386,2,0
0.0144518272425249,0.0336855794919598,2,1
0.0194352159468438,0.0453879019760213,2,1
0.0049833887043189,0.0115684281044395,2,0
0.0443521594684385,0.1034682223782024,2,0
0.035548172757475,0.0827247497762872,3,0
0.0083056478405315,0.0191871834298735,4,1
0.0146179401993355,0.0339244387616326,4,1
0.0164451827242524,0.0382815848339464,4,0
0.0205980066445182,0.0480415782150211,4,1
0.0174418604651162,0.0410078009005889,4,0
0.0222591362126245,0.052207426332806,0,1
0.0240863787375415,0.0565480621080212,0,0
0.0189368770764119,0.0442324883058214,0,0
0.0117940199335548,0.0274976463759066,1,0
0.0315614617940199,0.0740952218111167,2,1
0.0340531561461793,0.080017911770153,2,1
0.0313953488372093,0.0739150917645283,2,0
0.0179401993355481,0.0424188837278643,3,0
0.0408637873754152,0.0966899725057413,3,0
0.0370431893687707,0.0876043701722169,3,0
0.0232558139534883,0.0543179876408602,3,1
0.0151162790697674,0.0352387171165344,4,0
0.0320598006644518,0.0748189458615952,4,1
0.0410299003322259,0.0940898622014172,1,0
0.0119601328903654,0.0270800522396512,1,1
0.0350498338870431,0.0800455757903387,2,0
0.0742524916943521,0.1676429345572967,2,0
0.0277408637873754,0.0625447181409329,2,0
0.0059800664451827,0.0131698771462727,3,0
0.0083056478405315,0.0183523607684117,4,0
0.0290697674418604,0.0652260410737125,0,0
0.0300664451827242,0.0672475763831757,0,1
0.0456810631229235,0.1024460947017519,0,0
0.0385382059800664,0.0862129407381772,0,1
0.0164451827242524,0.0365848747397512,1,0
0.032392026578073,0.0724849597348603,1,0
0.0303986710963455,0.0679114281046976,1,0
0.0710963455149501,0.1597746053073451,1,0
0.0166112956810631,0.0371240273008023,2,0
0.070265780730897,0.1576777850024588,2,0
0.021594684385382,0.0481544279503192,2,0
0.0274086378737541,0.0611656736421176,2,0
