candle_size,percentage,weekday,volume,target
0.0423400560972352,0.0692191988393934,4,0.102778379158548,0
0.0762655269133164,0.122910504035571,0,0.1348488128743595,0
0.085481501268866,0.1395461541804576,3,0.1156527386880277,1
0.0240416722318685,0.0401275124201677,0,0.0787472035794183,1
0.0077467610524909,0.0138424932180067,1,0.0092805080464747,0
0.0165620408708427,0.0281226548028104,1,0.0634192105073248,0
0.0510217710698544,0.0836968170206116,1,0.1265064588294724,1
0.0303192199813009,0.0488554933674191,3,0.0475860575882225,0
0.0112194470415386,0.0188428124958105,4,0.0090495778306992,0
0.0186990784025644,0.0307598855809526,4,0.1352673738904524,0
0.0113530118872712,0.0187795455033681,1,0.044598397921628,1
0.0423400560972352,0.0646878589148216,0,0.0266435736450891,0
0.1246160010685187,0.1841727567870913,1,0.2309590820523923,0
0.0631761720315213,0.0945646756796371,2,0.1353395395828823,0
0.0953652998530786,0.1384968959412002,0,0.0894998917514613,1
0.0816081207426205,0.116715042529498,3,0.044194270044021,1
0.0942967810872178,0.1371650584755634,0,0.0790502994876235,1
0.1473220248430613,0.2121979167258878,4,0.1846575737894205,0
0.0695872846266862,0.0997860959276801,1,0.1303745399437107,0
0.0480833444637371,0.0684732956678643,2,0.0431406509345457,0
0.028582876986777,0.040052987603937,4,0.0384065815111496,0
0.1431815146253506,0.2023500432810402,3,0.0978133795193764,0
0.0759983972218512,0.1051118890321088,4,0.0518871328570397,1
0.1335648457326032,0.1874632868533337,4,0.0619325972432705,0
0.0430078803258982,0.0617160293355255,1,0.0270332683842101,0
0.0486176038466675,0.0705715824587029,3,0.0924731182795698,0
0.0213703753172165,0.0312571909020816,1,0.0279714223857977,0
0.0249766261519967,0.0357246721301703,2,0.0077505953669625,0
0.0247094964605315,0.0355036810954356,2,0.0169012051670635,0
0.0766662214505142,0.1107812284606849,2,0.0395900988669986,0
0.0671831174034994,0.0969720266692315,2,0.0547881936927184,0
0.0186990784025644,0.0268311231659732,4,0.0043155084073031,1
0.01950046747696,0.0280472218114837,4,0.0305116547593274,0
0.0197675971684252,0.0279024108343496,2,0.0100021649707728,0
0.2961132629891811,0.4117156546771669,3,0.2060474850256188,0
0.0555629758247629,0.079538024117416,1,0.0635202424767265,0
0.053826632830239,0.0743133338099682,4,0.0484376127588944,0
0.0229731534660077,0.0312199137259407,1,0.0276538933391065,0
0.0482169093094697,0.0652988455007606,1,0.0635058093382406,1
0.1033791905970348,0.1458507791789603,3,0.1531067330591037,0
0.060237745425404,0.0848923182762176,0,0.0329941545789131,1
0.0462134366234807,0.0670469558051967,4,0.0384065815111496,0
0.0411379724856417,0.0585153659228714,0,0.0692646315941401,0
0.0211032456257513,0.03014215032114,1,0.0353756224290972,0
0.0371310271136636,0.0505302776005665,2,0.0115898102042289,0
0.0710564979297449,0.0953361891471438,3,0.0896875225517788,1
0.0308534793642313,0.0424925784934016,1,0.0328065237785956,1
0.0544944570589021,0.0730350070510615,1,0.1079165764595511,0
0.0276479230666488,0.0367981105204343,3,0.0211589810204228,1
0.0390009349539201,0.0498058932496269,0,0.0726275528613697,1
0.1044477093628956,0.1390610403458994,0,0.0755863462509922,0
0.018164819019634,0.0236346771446343,3,0.0176950277837915,0
0.0590356618138106,0.0768417567405641,2,0.1529191022587862,0
0.0340590356618138,0.044173179506409,1,0.0326766255322219,1
0.0383331107252571,0.0500845794504646,1,0.0951721151764451,0
0.0418057967143047,0.0558507441143128,4,0.0287508118640398,1
0.0407372779484439,0.0533633638391965,0,0.0658295446344807,0
0.0804060371310271,0.1061791834170243,1,0.1485458612975391,0
0.0391344997996527,0.0519191429161353,2,0.0717615645522118,0
0.2169093094697475,0.2926449302369024,1,0.1682182290539078,1
0.0869507145719246,0.1201861812124616,1,0.1288013278487407,0
0.0244423667690663,0.0339035525216129,2,0.073681171970845,0
0.0204354213970882,0.0287794447170847,4,0.0283033845709749,0
0.0319219981300921,0.0449910610304893,1,0.052551057227394,0
0.0320555629758247,0.0452280611216652,0,0.0918380601861874,0
0.0284493121410444,0.0398439747931229,2,0.0369055351086093,0
0.0236409776946707,0.0318406848361974,4,0.0165692429818864,0
0.0133564845732603,0.0179893277760349,4,0.0443819008443386,0
0.1847201816481902,0.2464776474350577,2,0.194414375405932,1
0.3096033124081742,0.4342454114974125,4,0.1704697986577181,0
0.1166021103245625,0.1688905663866416,0,0.2016886772028577,0
0.0834780285828769,0.120452309206026,0,0.2068557407808328,0
0.0381995458795245,0.0553037683391124,2,0.0652955185105001,0
0.102978496059837,0.1493458856539934,3,0.1926679656491304,0
0.0439428342460264,0.0645391011879837,4,0.089225662120228,0
0.1012421530653132,0.1500009199067266,2,0.1949339683914267,0
0.0898891411780419,0.1352059510668617,0,0.1691996824709533,1
0.0583678375851475,0.0888596074804303,4,0.0819946597387601,0
0.0486176038466675,0.0748723950873305,0,0.0398787616367179,0
0.0610391344997996,0.0962192976886689,3,0.0679656491304034,0
0.0483504741552023,0.0758473928181775,1,0.0560150104640254,1
0.0483504741552023,0.0761782885479167,2,0.0897741213826946,0
0.0186990784025644,0.029825777033635,2,0.0436313776430684,0
0.0277814879123814,0.0430161480023707,4,0.0397199971133723,0
0.0211032456257513,0.0329104052213561,2,0.0237713790863823,0
0.0164284760251101,0.0249818706155566,2,0.0089918452767554,0
0.0403365834112461,0.0598535429085301,3,0.0703615501190733,1
0.0703886737010818,0.1028705785209531,4,0.1130114743450963,0
0.0297849605983705,0.0435851942941765,0,0.0345385003969113,0
0.0352611192734072,0.0518512066843648,1,0.0612831060114021,1
