candle_size,gap_size,percentage,weekday,entry_weekday,volume,target
0.052209276764123985,0.008528784648192051,0.0702907670079577,0,0,0.08711737115287559,1
0.021653110573752476,0.0034648187633230946,0.03136005910470697,2,3,0.0532473966653239,0
0.04495493515058255,0.0189232409381674,0.05965845452893054,2,3,0.05730808943710556,1
0.043306221147504945,0.03304904051172753,0.057259155450499685,3,4,0.09569251712019557,1
0.08441415695757311,0.01412579957356013,0.1075084047136611,3,3,0.125974080093345,1
0.05352824796658606,0.01599147121534949,0.06922635103942335,3,4,0.14147138762715708,0
0.04616399208617279,0.011993603411515149,0.06071788309866068,4,4,0.08766836595315154,1
0.05506704770279182,0.03331556503198316,0.0714844948029225,4,4,0.08169076690141823,1
0.061771817981974064,0.05037313432835515,0.07936733506033661,0,0,0.017673505484481856,1
0.042097164211914714,0.011727078891259525,0.05530905977352962,0,0,0.050946183087700776,1
0.07683007254341613,0.001599147121533736,0.09939269879906439,1,2,0.10707356938135784,1
0.013519454825236317,0.0002665245202556227,0.020994660908213204,2,2,0.03972718812073731,0
0.10452846779511982,0.0815565031982933,0.13404746552357263,2,3,0.1503011950567895,1
0.04022862167509343,0.005863539445629762,0.053931939556237055,3,3,0.09065022016640968,1
0.03605187953396352,0.0263859275053309,0.04923254359513131,4,4,0.07078662610604103,1
0.1723455704550451,0.04424307036247581,0.21714068076600326,4,1,0.12042246021493427,1
0.035282479665860636,0.0114605543710039,0.047892781005098,0,0,0.03048992235140504,1
0.04319630688063311,0.014925373134327,0.05777530802280394,1,1,0.08752945970098114,1
0.04748296328863487,0.035181236673772515,0.06311287909933208,1,1,0.12563144467132464,1
0.024291052978676637,0.0018656716417893588,0.03410446128646132,2,2,0.06960129275418686,1
0.04682347768740383,0.015458422174838246,0.06186609855155968,2,2,0.10539743393850157,1
0.08419432842382941,0.06796375266524442,0.10743397768646122,2,2,0.1252610279988702,1
0.03374367992965488,0.04211087420042476,0.04530205495157978,3,3,0.08297796483819736,1
0.05122004836227742,0.0010660980810224907,0.06689492782195074,3,3,0.10463807975996998,1
0.03429325126401407,0.004264392324096023,0.046197060235294296,4,4,0.078565376227584,1
0.033194108595295674,0.04984008528784994,0.04433448475040522,0,1,0.038606677686562674,1
0.030226423389755997,0.0034648187633291557,0.040566319298820264,1,4,0.04995531848888518,1
0.05253901956473951,0.045309168443498304,0.0673760281009525,1,1,0.06576748019428354,1
0.08804132776434383,0.0567697228145022,0.11034721763764507,1,2,0.15089849194112226,1
0.04737304902176302,0.02931769722814275,0.06074633687239912,1,1,0.08952044931542368,1
0.12629149263574413,0.20202558635394388,0.1554087432173021,2,2,0.12358952276441962,1
0.04792262035612223,0.0061300639658853845,0.06179747553044443,4,4,0.09828543382737656,1
0.03759067927016928,0.026652452025586523,0.04898473106793716,0,0,0.06057701657151588,1
0.03770059353704111,0.004797441364607268,0.04908193784533253,0,0,0.06201238117727679,1
0.08694218509562542,0.044776119402981,0.1079456251062828,0,0,0.15514902325753682,1
0.019454825236315674,0.0013326226012841742,0.026762904685794196,0,1,0.08229732420256235,1
0.061551989448230385,0.0338486140724944,0.07722437433082822,1,1,0.11996869979117758,1
0.05352824796658606,0.012793176972282017,0.06762048254783917,2,2,0.09920221509170127,1
0.1539898878874478,0.137260127931773,0.18648861620997048,2,2,0.23262167030138026,1
0.026269509782369752,0.0034648187633291557,0.03433080883875429,3,3,0.057974839447523525,1
0.06056276104638382,0.02825159914712026,0.07474767240466795,3,3,0.12410810610585582,1
0.049021763024840626,0.005863539445629762,0.06108670260650703,3,3,0.13957763238923382,1
0.10134095405583646,0.11087420042644212,0.12205074231205601,3,3,0.2065165553101545,1
0.049901077159815344,0.015191897654582622,0.06135720122497895,4,4,0.10506868914169826,0
0.042316992745658394,0.006929637526652253,0.0523752983364026,4,4,0.08596907946826686,1
0.110573752473071,0.04877398720682139,0.13274230941396678,4,0,0.21853194612289498,1
0.17861068366673996,0.09701492537313157,0.20916846236161585,4,3,0.13803577299014227,1
0.08958012750054957,0.05357142857142867,0.10629746164820202,0,3,0.10779588189264398,1
0.1166190371510222,0.10181236673773882,0.13720270903044018,0,0,0.1288170280544327,1
0.11519015168168828,0.030916844349676488,0.13469141673767795,0,4,0.15193102841558898,1
0.21576170586942187,0.15804904051172977,0.2466360344384532,0,0,0.22673667541776055,1
0.11090349527368654,0.06210021321962071,0.127926050064734,1,1,0.14753696063859834,1
0.04132776434381183,0.03837953091683999,0.04941017674624178,2,2,0.06151231866946331,1
0.11486040888107277,0.0586353944562855,0.13305290425068467,2,2,0.15664458057257155,1
0.193668938228182,0.013859275053304507,0.21858757139198612,3,1,0.031124260902983245,1
0.129808749175643,0.17883795309168046,0.14653220058419858,3,0,0.14781940335134483,1
0.27643438118267755,0.10554371002131754,0.3038976395541576,3,0,0.14411523662680056,1
0.3329303143548033,0.008795309168447674,0.35926726375704243,3,3,0.18325438828001647,1
0.10386898219388878,0.03944562899786854,0.11963741122244523,1,1,0.06548503748153704,1
0.19806550890305563,0.24386993603411303,0.2236144145030035,1,1,0.11588485597736753,1
0.11914706528907454,0.0007995735607668681,0.13596356489523412,2,2,0.06883267815884392,1
0.08243570015387996,0.0964818763326203,0.09468269920470672,2,2,0.0670454177142513,1
0.06418993185315454,0.020522388059701135,0.07433790468708015,3,3,0.09244211081940797,1
0.1509122884150363,0.12420042643923537,0.17001508506823154,3,0,0.17853157570622252,1
0.17619256979555947,0.07436034115138543,0.19684504630008753,3,0,0.17980025280937895,1
