candle_size,gap_size,percentage,weekday,entry_weekday,volume,target
0.008270781206561023,0.01880603542532523,0.02263049117828267,3,3,0.018705048379585715,0
0.018140116763969975,0.0061228952547605206,0.047682561232240676,4,4,0.03580606771417237,1
0.007853767028078953,0.004154821780019262,0.021292933862925252,0,0,0.02193035409372359,0
0.025993883792048925,0.002842772796853453,0.06737704771310205,0,1,0.057986512357922695,1
0.013344453711426191,0.02252350754428591,0.035303981116116316,0,0,0.03759119681263906,0
0.02286627745343342,0.0015307238136975886,0.05793879198301208,3,3,0.04413667017368358,0
0.024603836530442038,0.011589766017940623,0.062305272177873905,3,3,0.049440314596664314,0
0.016819571865443427,0.008965668051613973,0.042851054223409096,3,3,0.028079132099553292,1
0.02495134834584376,0.036737371528543235,0.06332306379536128,3,3,0.043058693664947655,0
0.0362107311648596,0.008965668051613973,0.09118232713372444,3,3,0.06565308128805257,1
0.057547956630525435,0.08987535534660689,0.14605511552070713,3,3,0.10602114558719537,0
0.01424798443147067,0.01596326262847675,0.036869558301758185,4,4,0.022163197019610552,0
0.014039477342229635,0.025803630002188004,0.03619293468964461,0,0,0.026759688852860522,0
0.009591326105087575,0.0048108462715996825,0.02472953285357389,1,1,0.02803601303920385,1
0.01264943008062274,0.006997594576872718,0.032362647473538675,1,1,0.038039635040273204,1
0.02279677509035307,0.0006560244915903616,0.05776355051329911,1,1,0.05970265095983028,1
0.008757297748123435,0.004373496610546069,0.022708082057424014,1,1,0.03531451042618879,0
0.04232693911592994,0.045484364749625424,0.10688783955329825,1,1,0.08046016661204919,1
0.030859049207673062,4.972666159050454e-15,0.0782363548357253,1,2,0.041385674123389504,1
0.034681679177092015,0.046140389241200876,0.08801608858196693,1,2,0.04580106590317184,1
0.026063386155129275,0.05510605729280988,0.06663407156050238,2,2,0.03904862105245002,0
0.005977203224909646,0.011371091187408843,0.015837888358818976,3,3,0.024543369150899465,1
0.014108979705309981,0.003280122457912038,0.03582904166241142,4,4,0.04821573328274031,1
0.010147345009730333,0.014651213645310938,0.02593680936606072,4,0,0.02314631159557771,1
0.01807061440088963,0.0010933741526439763,0.04563653000084256,4,4,0.021059349074664967,1
0.002432582707812064,0.0006560244915853912,0.006812305656812094,0,0,0.01588506183273254,1
0.022935779816513763,0.005466870763180102,0.058006320010068585,1,1,0.05479570189206437,0
0.005629691409507924,0.003061447627385232,0.014855746734422597,2,2,0.011745632039186604,1
0.013135946622185153,0.005466870763180102,0.0336342981409458,2,2,0.025052174063022823,1
0.01793160967472894,0.0017493986442194223,0.04536647473423838,2,2,0.04780179030338571,0
0.011745899360578262,0.001530723813692616,0.029892411856539854,3,3,0.019403577157246592,0
0.02321378926883514,0.014213863984257325,0.058459925683843436,3,4,0.022646130495524244,0
0.014525993883792051,0.02186748305270549,0.0369845449293691,4,4,0.020610910847030824,1
0.02335279399499583,0.036081347036957846,0.05913265187425372,4,4,0.028320598837510137,0
0.006533222129552404,0.009840367373721199,0.017147667462573235,4,4,0.023456768830093656,0
0.009799833194328606,0.0010933741526439763,0.02527769537198111,4,4,0.025957674330360996,0
0.008131776480400334,0.0061228952547605206,0.02061241340233083,0,0,0.02206833508684179,1
0.018835140394773426,0.011808440848462456,0.04696264959628974,0,0,0.032623881060383934,1
0.009243814289685848,0.0056855455937069085,0.023371244386259232,0,0,0.018196243467462358,1
0.027244926327495134,0.009621692543189422,0.06677097463405803,1,1,0.03916073060935856,1
0.0036141228801779253,0.0034987972884388445,0.00932002726395866,2,2,0.017023405025957675,1
0.030025020850708923,0.015307238136896328,0.073671488604844,2,2,0.04050604529226099,1
0.043299972199054765,0.05248195932648323,0.1063833250199749,2,3,0.05606340226633781,1
0.04920767306088407,0.009621692543194393,0.12099643294078889,2,2,0.054942306697252453,0
0.005004170141784821,4.972666159050454e-15,0.01279904162818961,3,3,0.012418289380637819,1
0.014456491520711705,0.014869888475842717,0.035956875502184765,3,3,0.02525914555270012,0
0.01939115929941618,0.0006560244915853912,0.048022310544419036,3,3,0.01566084271891547,1
0.011745899360578262,0.00743494423792633,0.029308856758998185,3,3,0.027570327187429935,1
0.012023908812899636,0.0010933741526390037,0.03001908712357957,3,3,0.02653546973904345,1
0.02453433416736169,0.0015307238136975886,0.06073386905114933,3,3,0.0519067248486521,1
0.08326383097025299,0.15700852831839113,0.20623154024914414,3,3,0.10466720709222305,1
0.028912983041423413,0.037393396020123655,0.07253165452074747,4,0,0.05169112954690491,0
0.012718932443703087,0.01399518915373052,0.03229920928926017,0,0,0.02981251832560065,0
0.0329441201000834,0.020774108900071458,0.08257715028836053,0,0,0.04467997033408648,1
0.030859049207673062,0.039361469494869884,0.07753922427616655,0,0,0.054442125597198986,0
0.01668056713928274,0.017712661272691197,0.04229608393483582,1,1,0.02630262681315649,1
0.01668056713928274,0.01290181500110146,0.042380135957774116,1,1,0.0300539850635575,0
0.02995551848762858,0.04045484364750393,0.07557019271114684,1,1,0.049664533710481386,0
0.007506255212677231,0.001968073474751201,0.019377742924803355,2,2,0.021559530174718435,1
0.011884904086738951,0.0013120489831658097,0.030255252796579,2,2,0.02328429258869591,1
0.018279121490130668,0.009621692543194393,0.046185922049004985,2,2,0.03269287155694303,0
0.15853489018626632,0.034769298053797006,0.3942721376605053,2,4,0.20481553665982513,0
0.09403669724770643,0.10911874043298075,0.23565861377253478,2,2,0.15987685196364204,0
0.004934667778704475,0.0024054231358048134,0.013078037971499893,3,3,0.01556598078614671,1
0.014317486794551016,0.0017493986442194223,0.0364406725630298,3,3,0.02061953465910071,1
