candle_size,gap_size,percentage,weekday,target
0.058798676149566936,0.015304798962390214,0.16354556992773595,2,1
0.08147313569466941,0.06614785992218337,0.22291099579396623,2,1
0.07654390535877756,0.03268482490272924,0.20854243326566912,2,1
0.06837546651644251,0.03372243839170365,0.18548420137691413,3,1
0.08717695936905852,0.05862516212711304,0.23287176581238228,3,0
0.0887261460460531,0.08145265888456772,0.24056087151109373,2,1
0.046193930004929246,0.019974059662780947,0.1301299929376566,4,1
0.11330188014928529,0.005188067444883835,0.3008976067586196,2,1
0.029504964439124003,0.02697795071337,0.08387140547435532,0,1
0.052249841560453494,0.008819714656294265,0.1415169572044901,1,1
0.05837617069220477,0.02542153047990249,0.15669821174968768,1,1
0.029645799591578065,0.05214007782101709,0.08204722836806932,0,1
0.054362368847264295,0.0669260700389142,0.14437658865752567,0,1
0.09013449757059364,0.043060959792485115,0.22978071048123477,3,1
0.09731709034575031,0.04565499351492114,0.24724888963345576,3,1
0.11830152806140413,0.07911802853437527,0.2919413752112389,0,1
0.22815294697556515,0.19688715953307676,0.5519122760923614,0,1
0.18878952186465742,0.12451361867704692,0.45649245176337766,0,1
0.21604112386451663,0.04980544747082468,0.5155900550088998,3,1
0.24448982466023522,0.20544747081712153,0.5694033281962021,3,1
0.3892683613830012,0.3123216601815859,0.8897663948558314,3,1
0.16681923808182525,0.1468223086900144,0.3978798993614723,1,1
0.2590662629392297,0.40544747081712745,0.6044319443469861,3,1
0.20470389409196538,0.15901426718547548,0.47244369297112215,2,1
0.11928737412858252,0.019455252918293742,0.2772850296840027,1,1
0.11280895711569609,0.051880674448773485,0.2620774539239221,1,1
0.09978170551369622,0.06459143968872177,0.23295269370062444,2,1
0.18238152242799804,0.23787289234760717,0.41563919790174453,3,1
0.09886627702274488,0.0798962386511061,0.2246863266566836,0,1
0.23850433068093796,0.212191958495467,0.5409895249399014,3,1
0.09928878248010706,0.07652399481193926,0.2261120424113457,3,1
0.10844306738962046,0.001037613488980306,0.24931157401450543,1,1
0.07281177381874517,0.0072632944228326534,0.17416405337065177,0,1
0.15689035983381455,0.002594033722441918,0.36669050325654284,1,1
0.17217097387507924,0.3289234760051941,0.40118682221986995,1,1
0.09971128793746921,0.06018158236057465,0.2335877857090069,3,1
0.06907964227871277,0.007003891050589051,0.1645595994553659,1,1
0.12449827476938245,0.13852140077821323,0.2927084558088336,1,1
0.10985141891416099,0.09597924773022712,0.2580234117870155,1,1
0.09654249700725302,0.1066147859922207,0.2262844474451846,3,1
0.07499471868178298,0.0267185473411205,0.17571454865031738,4,0
0.08851489331737203,0.050324254215311864,0.20609845034896274,0,1
0.07576931202028027,0.04332036316472872,0.17581272612098647,0,1
0.14963734948243085,0.14500648508431507,0.34624362810951886,1,0
0.15745370044363072,0.0697795071335997,0.3626117398599147,1,1
0.10513344130695022,0.026199740596633294,0.24173565297784194,3,1
0.16146750228857126,0.15616083009079587,0.3674939584876016,3,0
0.13893387789592282,0.08638132295720793,0.31919174363430486,3,1
0.12358284627843112,0.019714656290537345,0.2751880772173382,4,0
0.05140483064572919,0.05317769130999148,0.11699038868301208,2,1
0.07295260897119922,0.0015564202334675098,0.16503023415806345,2,1
0.06900922470248576,0.03268482490272924,0.156556322527112,4,1
0.07182592775156679,0.03839169909209438,0.1617312553495162,0,1
0.09717625519329626,0.03839169909209438,0.21774236561154192,0,0
0.09203577212872334,0.05654993514916422,0.21194855353283265,4,1
0.04154636997394551,0.009079118028543765,0.10123563291894157,1,1
0.05267234701781566,0.021789883268492058,0.12714177044039637,1,1
0.21230899232448425,0.5981841763943007,0.4942737481446154,4,1
0.2220970354200409,0.03994811932555599,0.5163003821039887,4,1
0.07253010351383707,0.022568093385222865,0.16898671151576178,0,0
0.06098162101260475,0.0018158236057111122,0.14272215855737164,1,1
0.056545313710302095,0.06588845654993979,0.13141421583213792,2,1
0.08724737694528556,0.06225680933852347,0.20120306619330586,2,1
0.10090838673332864,0.1068741893644643,0.2311700256706044,2,1
0.0868248714879234,0.16472114137484062,0.19484770416060626,0,1
0.10154214491937187,0.13151750972763007,0.2256731343808045,3,0
0.1409055700302796,0.07341115434501015,0.30895457949741567,3,1
0.06837546651644251,0.047470817120632246,0.14823482434087415,2,1
0.1423139215548201,0.0015564202334734088,0.29892509708980464,2,1
0.11097810013379343,0.12607003891050855,0.23141965096699402,2,1
0.07140342229420464,0.053955901426722304,0.15484846906470068,3,1
0.06654460953453982,0.06095979247731138,0.14345871845536384,2,1
0.12886416449545807,0.05706874189365142,0.27364219974830745,4,1
0.10562636434053942,0.08767833981842595,0.2214117447460241,1,1
0.11259770438701501,0.009338521400781468,0.23559070900100132,1,0
0.09055700302795579,0.09494163424125271,0.1914218780549306,2,1
0.09069783818040983,0.10116731517510505,0.19140707892110598,2,1
0.041828040278853604,0.018417639429319337,0.08815142782287179,1,1
0.03809590873882122,0.006744487678345449,0.08077326693580973,0,1
0.018097317090345753,0.010116731517518173,0.038550229931992266,4,1
0.03105415111611859,0.017898832684832132,0.06650562769010414,0,1
0.13168086754453912,0.09649805447471432,0.2805688826584147,1,1
0.1524540525315119,0.263813229571991,0.3235790554989298,1,1
0.04605309485247518,0.06433203631647817,0.10013375765066819,0,1
0.01675938314203225,0.010376134889761775,0.036062970389230134,1,1
0.07069924653193438,0.04591439688716474,0.15045219215187838,3,1
0.047883951834377866,0.022568093385222865,0.10162846470233201,0,1
0.0439405675656644,0.027496757457851302,0.1012810169432773,1,1
0.07499471868178298,0.08119325551233,0.17057882735470126,2,1
