candle_size,gap_size,percentage,weekday,entry_weekday,entry_session,target
0.0736988729897429,0.061973080905189,0.1818367171854887,1,1,3,1
0.1115613524123084,0.0417098062416793,0.2731631669617536,3,4,0,0
0.013042927694061,0.0002958142286641,0.0369175165454892,1,1,1,1
0.1344181334684057,0.0247004880934716,0.2786805113447913,4,4,1,1
0.1359376978599468,0.1600354977074356,0.2856756455308407,0,3,2,0
0.1460681271368874,0.0221860671498265,0.3081678572201033,0,3,2,0
0.0848423451943776,0.0057683774589539,0.1813935443462825,0,1,1,1
0.0925667975180448,0.0017748853719814,0.1984974015168543,1,2,1,1
0.103963530454603,0.0146428043188845,0.2238279916457052,2,2,0,1
0.0904140812966949,0.0263274663511277,0.1911851574346264,0,1,1,1
0.1057363555780676,0.0550214465315752,0.2243894272161448,0,1,0,0
0.0482461694314296,0.0041413992012978,0.1026241862885373,2,2,1,1
0.0873749525136127,0.0844549622836831,0.1771034178463553,1,3,2,0
0.0790806635431176,0.0073953557166066,0.1597364307871882,4,4,2,1
0.1175762947954919,0.0309125868954251,0.2414869690098138,0,2,3,0
0.1711409395973154,0.0893358970566446,0.3542135381383593,0,2,3,0
0.1280232999873369,0.0065079130306108,0.2658471452026446,1,1,1,1
0.0676839306065594,0.0584233101612161,0.1401776770862998,0,0,1,1
0.0889578320881347,0.0958438100872622,0.1856937583079894,2,1,2,0
0.1067493985057616,0.1001331164028954,0.2250428320432115,2,2,3,1
0.0697100164619475,0.0491051619582893,0.1494311573601922,0,0,1,0
0.0227934658731163,0.0069516343736104,0.0505700589445077,1,1,1,0
0.14049639103457,0.1458364147315473,0.2964931463840174,4,4,3,0
0.0685070279853108,0.0177488537198612,0.1450063518946586,2,2,2,1
0.0504622008357604,0.0322437509244137,0.1043326388101104,2,1,2,1
0.0796505001899455,0.0479219050436294,0.1644049531202137,2,2,2,1
0.1080157021653792,0.0007395355716569,0.2235555148539758,3,3,1,1
0.0902874509307332,0.0681851797071391,0.1884399353457237,3,3,1,0
0.09870837026719,0.0662623872208223,0.207475720324515,3,4,3,0
0.1063061922248955,0.1122614997781382,0.2218917355228146,4,0,0,0
