candle_size,gap_size,percentage,weekday,volume,target
0.0297676669893514,0.0076135468627044,0.0562070225431675,3,0.0328574034777766,1
0.0225072604065827,0.0097138356524111,0.0437599891233978,3,0.02820052425898,1
0.0217812197483059,0.0086636912575518,0.0424613806757053,3,0.0181474262340729,1
0.0244433688286544,0.0199527435022369,0.0469730303115065,3,0.0245038263224096,1
0.0254114230396902,0.0181149908112436,0.0485686102285918,3,0.0264433925125063,1
0.042352371732817,0.0047256497768518,0.0773939013417461,3,0.0859458265720568,1
0.0711519845111326,0.0047256497768518,0.1262523471020622,3,0.0871556549876616,1
0.0150048402710551,0.0110265161459777,0.030691650982081,4,0.0259344964329265,1
0.0142787996127783,0.0183775269099569,0.0294399276785164,4,0.0263281707586392,1
0.0446515004840271,0.0047256497768518,0.0808197250135946,4,0.0842175002640498,1
0.0257744433688286,0.0026253609871452,0.0488729638964153,0,0.0117526188944472,1
0.034244917715392,0.0181149908112436,0.0632243310297333,0,0.0330014306701105,1
0.0062923523717328,0.0028878970858526,0.0157305137911522,0,0.0140666557846121,1
0.036786060019361,0.0178524547125303,0.0673851689588825,0,0.0296119907438524,1
0.047434656340755,0.0165397742189577,0.0852227161780711,0,0.0451477238902704,1
0.0513068731848983,0.0322919401417754,0.0917235457881304,0,0.0612499639932019,1
0.0111326234269119,0.0084011551588385,0.0239458008254749,0,0.0278932662486677,1
0.0413843175217812,0.0333420845366287,0.0750589601601531,1,0.0319644348853063,1
0.0392061955469506,0.0246783932790828,0.0713466877649927,1,0.0350562186140743,1
0.0537270087124879,0.032029404043062,0.0955690781696842,1,0.0728777593209598,1
0.0191190706679574,0.0212654239958095,0.0371974208950944,1,0.0323101001469077,1
0.0283155856727976,0.0021002887897185,0.0526681546900159,2,0.025953700058571,1
0.0854307841239109,0.0375426621160479,0.1483502992756977,2,0.045647018157028,1
0.0801064859632139,0.053557364137573,0.1393467411735137,2,0.0696515502126801,1
0.0204501452081316,0.0223155683906569,0.0391931174464045,2,0.0349505986730294,1
0.0169409486931268,0.0036755053819925,0.0332927702311469,2,0.0292951309207178,1
0.0265004840271055,0.0194276713048103,0.0492856605555899,2,0.0304089412081,1
0.0548160696999031,0.0238907849829428,0.096541944802848,2,0.0406636773022746,1
0.039811229428848,0.0189025991073836,0.0713800279039778,2,0.0491900870884423,1
0.0630445304937076,0.0141769493305377,0.1100143612134743,2,0.0673087078840485,1
0.0896660212971926,0.0475190338671605,0.1539385190235677,2,0.1192545152524796,1
0.1080590513068731,0.0401680231031813,0.1841893665512487,2,0.1606095230779571,1
0.0797434656340755,0.013651877133111,0.1370617676662154,2,0.1672635793637839,1
0.0372700871248789,0.0034129692832852,0.0664536826926485,2,0.0606066425341104,1
0.0531219748305905,0.0018377526910052,0.0925009205780388,3,0.0592335833005271,0
0.0266214908034849,0.0076135468627044,0.0487000734528214,3,0.0408749171843644,1
0.0621974830590513,0.0658965607771115,0.1075571749924547,3,0.0863202972721249,1
0.0372700871248789,0.032817012339202,0.0670073856146177,4,0.034345684465227,1
0.0383591481122942,0.0097138356524051,0.068783809712522,4,0.0401163739714058,1
0.0519119070667957,0.0105014439485511,0.0913125897465585,4,0.0508992097708047,1
0.0356969990319457,0.0265161459700761,0.0641520398497789,4,0.040750093617675,1
0.0359390125847047,0.0047256497768518,0.0645165222608449,4,0.0388873419301564,1
0.0244433688286544,0.0252034654765095,0.0452887485883776,0,0.0196549108471679,1
0.0133107454017424,0.0007876082961459,0.0268956079944177,0,0.0198085398523241,1
0.0163359148112294,0.0021002887897126,0.0318462791366375,0,0.0342688699626489,1
0.0246853823814133,0.0110265161459777,0.0456052779086999,0,0.0533092647891922,1
0.0265004840271055,0.0165397742189636,0.0484631784407732,0,0.0277300354306893,1
0.0233543078412391,0.0199527435022369,0.0432504425075008,1,0.0198757525420799,1
0.0055663117134559,0.0070884746652778,0.0137902551882368,1,0.0193572546496778,0
0.0273475314617618,0.012864268836971,0.0498938209800824,1,0.052713952394212,1
0.0340029041626331,0.0044631136781385,0.0608471880323964,1,0.0585806600286134,1
0.0458615682478218,0.0102389078498377,0.0809005531264446,1,0.0532900611635476,1
0.0233543078412391,0.012076660540831,0.0436955254129652,2,0.0115701844508243,1
0.0330348499515972,0.0028878970858585,0.0599225600327664,2,0.0437650628438649,1
0.034244917715392,0.0223155683906569,0.0618441377663328,2,0.0406348718638078,1
0.0284365924491771,0.0010501443948592,0.0521151970169912,2,0.0358339654526774,1
0.0231122942884801,0.0278288264636428,0.0432385876868181,2,0.0352962639346308,1
0.0382381413359148,5.970050842574182e-15,0.0682012967186788,2,0.0800983225632999,1
0.0203291384317521,0.0099763717511184,0.0383672174797414,3,0.0309466427261466,1
0.0233543078412391,0.0044631136781385,0.0434358072607831,3,0.0353442729987421,1
0.0386011616650532,0.0013126804935785,0.0687993476297717,3,0.0720231979797785,1
0.0221442400774443,0.0005250721974326,0.0414885450700149,4,0.0274707864844882,1
0.0233543078412391,0.0199527435022369,0.0434916524417532,4,0.0336351503163797,1
0.0620764762826718,0.0635337358886855,0.1072275972347951,4,0.0521858526889876,1
0.0221442400774443,0.012864268836971,0.0410098315550513,4,0.0421423564769028,1
0.0125847047434656,0.0078760829614118,0.0252101216047381,4,0.0282773387615581,0
0.0145208131655372,0.0141769493305377,0.0284579936275978,0,0.0165343216799331,1
0.0125847047434656,0.0073510107639851,0.0252649905664332,0,0.015535733146418,0
0.0060503388189738,0.0047256497768518,0.0144912800431627,1,0.0071149433012952,1
0.0410212971926427,0.013651877133111,0.0719709277981951,1,0.030552968400434,1
