candle_size,gap_size,percentage,entry_weekday,volume,target
0.010085887636908,0.0027533039647677,0.0241236434327277,1,0.0266643545318692,0
0.0442833504057993,0.024779735682828,0.0954439901606991,1,0.1291956321053517,1
0.0558663619888109,0.0275330396475832,0.117260414167718,3,0.1138743388739563,1
0.0850208809392483,0.0985682819383298,0.1758712894642368,4,0.077794835438906,1
0.0521629501221338,0.0355176211453858,0.1093044460265131,4,0.1497855324965445,0
0.0313608068710109,0.0137665198237947,0.0663459497497251,0,0.0470706442185579,1
0.0566543219604444,0.063325991189432,0.1183541689504132,0,0.1187706243273982,0
0.0355369947206681,0.0322136563876733,0.0755786799578341,1,0.1100287146740655,1
0.0226144511858797,0.0011013215859083,0.0490622622153544,1,0.053293006982307,1
0.0527933180994405,0.0424008810572737,0.1119149017471083,1,0.1086873364717163,1
0.0290757229532739,0.0324889867841425,0.0629420022733959,2,0.0381655250501104,1
0.0319123788511543,0.0556167400881112,0.0688838582329334,2,0.0195392391376417,1
0.037112914663935,0.0448788546255534,0.080045091100555,2,0.0913718269775127,1
0.0259238830667402,0.0082599118942781,0.0561438512242275,3,0.0543283673438161,1
0.0443621464029627,0.0104625550660822,0.0943235159187044,3,0.0714449652414735,0
0.0670553935860058,0.0892070484581558,0.1416985510846851,3,0.1256917278277323,1
0.0886454968087621,0.1037995594713709,0.1882091578218612,3,0.1685801282214753,0
0.015128831455362,0.0079845814978025,0.034002172308481,1,0.0804877924382991,1
0.0550784020171775,0.0134911894273192,0.1166545602133006,1,0.1346121478882219,1
0.0738318493420534,0.02120044052864,0.1556419331379336,1,0.1167407059831588,1
0.0497990702072334,0.0071585903083822,0.1041355912321628,3,0.1666369149321405,1
0.019935387282326,0.0011013215859083,0.0433148992324217,4,0.0351869513992665,1
0.022220471200063,0.0170704845815072,0.0480476045116094,4,0.0572457374264919,0
0.015128831455362,0.0002753303964817,0.0335371236683238,4,0.0802837805444057,1
0.0245843511149633,0.0099118942731312,0.0530363629178772,4,0.114736289125656,0
0.0210385312426128,0.0173458149779764,0.0444933432422095,2,0.034676921664533,1
0.0183594673390591,0.0022026431718166,0.0391487330622976,2,0.0682113767232629,1
0.0230872271688598,0.0121145374449416,0.0487212975061719,2,0.0763208495055261,1
0.0458592703490662,0.0558920704845867,0.0942416760526178,3,0.0427098899865862,1
0.0330943188086045,0.0055066079295229,0.0687824849544061,3,0.0415113201099624,1
0.029548498936254,0.007709251101327,0.0621117877851071,4,0.1015520204827941,1
0.0150500354581987,0.0011013215859083,0.0322679303455346,1,0.0693895454104974,1
0.0490899062327633,0.031662995594716,0.1003422416051183,1,0.1539065727531915,0
0.020171775273816,0.000825991189439,0.0423787778679641,2,0.0188506989957514,1
0.0663462296115357,0.0958149779735746,0.1294011959942131,0,0.0400526350686245,1
0.0900638247577023,0.0839757709251147,0.1715247011325648,1,0.1114618982286667,0
0.0824994090300212,0.088381057268723,0.1571543511393142,2,0.1575736865459256,1
0.0305728468993775,0.0088105726872291,0.059016614872747,2,0.1055098512243263,1
0.0629580017335119,0.0154185022026478,0.1207213316731268,2,0.139161613122045,0
0.0602001418327949,0.056442731277544,0.1157529039599038,2,0.1515961380548486,1
0.0393192025845087,0.0313876651982467,0.0723108973137517,4,0.0596377768823922,0
0.061618469781735,0.1007709251101402,0.1130820933305768,0,0.0462800981297209,1
0.0873847608541486,0.0583700440528726,0.1599991676751606,3,0.0468768329193591,1
0.0739894413363801,0.0192731277533051,0.1372074557928718,0,0.0668444970341771,1
0.0899062327633756,0.0765418502202757,0.1676286786947206,1,0.0825738140533593,1
0.1016468363407138,0.0459801762114555,0.1911492844521264,1,0.0474735677089974,0
0.1192971397053029,0.123072687224676,0.2254888842143231,1,0.0553229253265465,0
0.0966038925222598,0.0126651982378926,0.1833556076187713,1,0.05745994991508,0
0.0972342604995666,0.0556167400881112,0.1819839475508101,2,0.161062289931503,1
0.0702860294697029,0.0790198237885491,0.1323767696734999,2,0.1219532098721355,0
0.0438893704199826,0.0283590308370097,0.0832888356984381,2,0.0671862169564485,1
0.0825782050271846,0.0203744493392134,0.1553803248320622,2,0.1269617018672188,1
0.0436529824284926,0.0451541850220289,0.0826285421110556,3,0.0835530711440477,0
0.0676069655661492,0.0245044052863525,0.1241607318146512,4,0.0786975880693844,1
0.0365613426837916,0.0162444933920806,0.0678372520661015,0,0.0218802756200686,1
0.0619336537703884,0.1106828193832651,0.1153470241291907,0,0.0440818699730194,1
0.0899062327633756,0.1145374449339287,0.1680524246801948,0,0.0787995940163311,1
0.0495626822157434,0.0063325991189494,0.0935755328101763,0,0.0586942218731351,0
0.0456228823575762,0.0418502202643227,0.0852193480065519,1,0.0594439655831934,0
0.0470412103065164,0.021751101321591,0.0870782327851084,2,0.0611168631131194,1
0.1241824915294303,0.0038546255506635,0.2252250766080671,1,0.1608684786323042,1
0.1007012843747537,0.0514867841409721,0.183230302041831,3,0.1308532287432357,1
0.105113860215901,0.1029735682819443,0.1927667779176163,3,0.1298127680843793,0
0.0654794736427389,0.0082599118942843,0.1197367753028423,4,0.0696394599805168,1
0.0739894413363801,0.080396475770933,0.1357907690606458,4,0.0807479076030132,0
0.0993617524229769,0.1302312775330458,0.1824912799721979,0,0.1352037823805127,0
0.1441178788117564,0.1428964757709322,0.267126734519346,4,0.1684679216798339,0
0.0593333858639981,0.0509361233480274,0.1081422998267861,1,0.0899182422335222,1
0.153888582460011,0.1002202643171891,0.2804642993096548,2,0.1807647385842594,1
0.0514537861476637,0.0162444933920806,0.0949368951754607,2,0.0773970122458139,1
