candle_size,gap_size,noisy_day,percentage,session,entry_session,is_highest_day,is_highest_week,volume,target
0.0678296937904111,0.0475892298058918,0,0.0952801043317157,0,2,1,0,0.0454790138267275,1
0.054166158350616,0.0184721352536118,0,0.0761073867573238,0,2,1,0,0.0388194220151032,1
0.0330608759302183,0.0003130870382034,0,0.0465081201327553,0,1,1,1,0.0339900644427013,1
0.0263511040624618,0.0050093926111554,0,0.0370868628806787,0,0,1,1,0.0340823451606453,1
0.0336708551909235,0.0309956167814721,0,0.0472559312523873,1,2,1,1,0.0327750349897722,1
0.1472489935342198,0.0181590482154155,0,0.2043363002864598,2,2,1,1,0.1395745858902782,1
0.0910089056972063,0.0360050093926205,0,0.126213951309506,2,2,1,1,0.0730401882526646,1
0.0553861168720263,0.0084533500313151,0,0.0767754469840206,2,2,1,1,0.055122348851874,0
0.0259851165060387,0.0153412648716414,0,0.0361672571037819,2,3,0,0,0.0341746258785893,1
0.0156154690740514,0.0003130870382034,0,0.021787014332345,0,1,0,0,0.0143342715206324,1
0.0581920214712699,0.0544771446462181,0,0.0804599165101626,1,1,1,1,0.0441870837755117,1
0.0498963035256801,0.0169067000626231,0,0.0689138073210882,1,1,1,1,0.0435257386302465,1
0.0475783823350006,0.0118973074514747,0,0.0660339712325043,2,2,0,0,0.0532305941340223,1
0.0492863242649749,0.0165936130244267,0,0.0682603779568969,2,2,0,0,0.0414955628354788,1
0.0148834939612053,0.0031308703819775,0,0.0207597449949726,3,3,0,0,0.0238699457081776,0
0.0439185067707698,0.0040701314965665,0,0.0607699803173499,0,0,1,0,0.0430489549208692,1
0.0306209588873978,0.0109580463368928,0,0.042333666703242,1,2,0,0,0.0239007059474922,1
0.0356227888251799,0.0021916092673814,0,0.0491555060981699,1,2,1,1,0.0277918762207969,1
0.0336708551909235,0.003757044458363,0,0.04644921556423,1,1,1,1,0.0288838647164674,1
0.0683176771989752,0.0090795241077148,0,0.0940044252372667,2,2,1,1,0.0583983143388855,1
0.0723435403196291,0.0118973074514818,0,0.0994086153499354,2,2,1,1,0.0643504206462726,1
0.1368793461022325,0.1371321227301201,0,0.1869406127738878,2,2,1,1,0.1117365693105092,1
0.0518482371599365,0.0090795241077077,0,0.0708673082697713,2,1,0,0,0.0757009489533828,1
0.0559960961327314,0.0125234815278745,0,0.0763616469070458,2,1,1,1,0.0583675540995708,1
0.0498963035256801,0.0262993112085201,0,0.0680444548173036,2,0,1,1,0.0514465002537719,1
0.0303769671831157,0.0165936130244267,0,0.0414269423479845,3,3,0,0,0.0267921684430704,1
0.0475783823350006,0.0162805259862304,0,0.064695392840648,0,0,1,1,0.0394653870407111,1
0.0276930584360131,0.0159674389480341,0,0.0377360865065834,0,0,0,0,0.0329595964256601,0
0.0607539343662315,0.0281778334377051,0,0.0829210816560294,2,2,0,0,0.0564757993817191,1
0.0862510674637062,0.0557294927990034,0,0.1173380490950763,2,2,0,0,0.0804534059274981,1
0.0690496523118214,0.0165936130244267,0,0.0934854175904238,2,2,1,1,0.0801765637736661,1
0.0132975478833719,0.0006261740763997,0,0.0180289201926613,3,3,0,0,0.0170719328196373,1
0.0141515188483591,0.0065748278021371,0,0.0191812513033611,0,0,1,0,0.0098894169396637,1
0.0213492741246797,0.0212899185973788,0,0.0289395075546031,1,2,0,0,0.0172411141358679,1
0.0600219592533853,0.0814026299311238,0,0.0811046181238,1,2,1,1,0.0426798320490933,1
0.0701476149810906,0.0081402629931187,0,0.0947564753025656,2,2,0,0,0.1048308955843676,0
0.0375747224594363,0.001878522229185,0,0.0510489745691783,2,2,0,0,0.0430489549208692,1
0.0428205441015005,0.0065748278021371,0,0.0580928410918245,3,3,0,0,0.038111936510866,0
0.0301329754788337,0.0125234815278745,0,0.0409078692396723,3,2,0,0,0.0192559098109783,1
0.0068317677198975,0.0009392611145961,0,0.0092946660056627,3,0,0,0,0.0056752641535551,1
0.0114676101012565,0.0059486537257444,0,0.0155755211638662,3,3,1,0,0.0040603515895353,1
0.0101256557277052,0.0065748278021371,0,0.0137495028812386,3,0,1,0,0.0110890662729356,1
0.0400146395022569,0.0516593613024512,0,0.0541922966516168,0,1,1,0,0.0414186622371922,1
0.0297669879224106,0.0137758296806527,0,0.0402528109143859,0,0,1,0,0.0251157354004214,1
0.0322069049652311,0.0309956167814721,0,0.0435224873112221,0,0,1,0,0.0291607068702994,1
0.0470903989264365,0.0212899185973788,0,0.0636362586799558,1,1,1,0,0.0391577846475645,1
0.0378187141637184,0.0062617407639336,0,0.0511033167373645,1,1,1,0,0.0374198311262861,0
0.0535561790899109,0.0532247964934328,0,0.0725749038643986,2,2,0,0,0.0376197726818314,1
0.0516042454556545,0.012210394489671,0,0.0697857931471899,2,2,0,0,0.0580445715867669,1
0.0746614615103086,0.0212899185973788,0,0.1014089152030602,2,3,0,0,0.053076792937449,1
0.0478223740392826,0.0457107075767138,0,0.0649181830174723,2,2,0,0,0.0453867331087835,1
0.0290350128095644,0.0118973074514747,0,0.0393427452266537,3,3,0,0,0.0112428674695089,1
0.0141515188483591,0.0075140889167261,0,0.0191747757544609,0,0,1,0,0.0153493594180162,1
0.0581920214712699,0.0259862241703237,0,0.0792442047409508,0,0,0,0,0.0329134560666882,1
0.0669757228254239,0.0585472761427704,0,0.091075275004677,1,1,0,0,0.0569987234500684,1
0.0544101500548981,0.0006261740763997,0,0.073645330249603,1,2,1,0,0.0560297759116565,1
0.0544101500548981,0.0760801502817862,0,0.0740353846219149,3,3,0,0,0.0268383088020424,1
