candle_size,gap_size,percentage,weekday,entry_weekday,target
0.07883378125254498,0.010669511869834315,0.17705309203921157,1,1,0
0.08819936476911798,0.04561216324353835,0.19841113973260519,1,1,1
0.07370307028259629,0.0402774073086212,0.166275109574386,1,1,0
0.03884681162961153,0.027740730861567996,0.08811415251258783,1,1,0
0.13421288378532453,0.130168044811958,0.30155645086208754,1,1,0
0.13950647446860492,0.11149639903974494,0.31455650483108794,1,1,1
0.021663001873116705,0.0016004267804793923,0.04948396324452205,1,1,1
0.015636452479843632,0.00693518271539655,0.0359913341516419,1,1,0
0.01596221190650704,0.0029341157642071647,0.036733448006175916,2,2,0
0.013274696636533917,0.0029341157642071647,0.030508358090533982,2,2,0
0.02540923527974591,0.025340090690858012,0.05708489207873674,2,2,0
0.05342454597279908,0.06801813817018314,0.11945160091975751,2,2,0
0.04071992833292613,0.028807682048550217,0.09116015903167124,2,2,1
0.059776854792735555,0.011202987463325424,0.13362360190751885,2,2,0
0.05187718869614789,0.029074419845295775,0.11618941640804392,2,2,1
0.016287971333170455,0.005068018138177666,0.036988124853519176,2,3,0
0.01873116703314602,0.03014137103228406,0.0424085655178474,3,3,0
0.03900969134294323,0.04667911443052058,0.08743097066238492,3,3,1
0.03713657463962863,0.030408108829029615,0.08338420585547252,3,3,0
0.03461193908298721,0.04561216324353835,0.0778654488593767,3,3,0
0.03453049922632136,0.011736463056816533,0.07759445897016293,3,3,1
0.07565762684257675,0.052814083755674396,0.16935696299331118,3,3,1
0.11768059288215652,0.12776740464124195,0.2650885734855793,3,3,1
0.06963107744930368,0.006401707121905441,0.15752682846428845,3,3,1
0.08624480820913753,0.052814083755674396,0.1952864607752204,3,3,0
0.030214186823031196,0.03494265137371011,0.06882724799415355,3,3,1
0.023291799006433744,0.012269938650313708,0.05330049936090411,3,3,1
0.0144962944865217,0.00986929847959765,0.03338774856018195,4,4,1
0.031191465103021412,0.024539877300621345,0.07085454078039696,4,4,0
0.02581643456307517,0.00693518271539655,0.05879323189332317,4,4,1
0.03852105220294812,0.008002133902378769,0.08738848396392095,4,4,1
0.017835328609821642,0.0008002133902427291,0.04004995101933111,4,0,1
0.019708445313136244,0.0018671645772310125,0.04390052637012083,0,0,1
0.052773027119472266,0.06295012003201761,0.1165844998319461,0,0,1
0.036729375356299374,0.005868231528414332,0.08146387018237289,0,0,1
0.0520400684094796,0.008535609495875944,0.11495352814246457,0,0,1
0.06751364117599153,0.11149639903974494,0.149327393392514,0,0,1
0.034856258652984765,0.042411309682585635,0.07740095561563054,0,1,0
0.007003827673263293,0.00986929847959765,0.01609855605220009,1,1,1
0.02052284387979477,0.012003200853568154,0.04591799785609623,1,1,0
0.017835328609821642,0.007735396105633213,0.03992520931339746,1,1,1
0.029644107826370225,0.01200320085356209,0.06583207089357335,1,1,1
0.04324456388956755,0.007468658308893724,0.09558384266408863,1,1,1
0.04357032331623096,0.037343291544414035,0.09650247460658877,1,1,0
0.024187637429758123,0.015470792211260362,0.05385983062556436,1,1,0
0.045606319732877265,0.048012803414254415,0.10095430166658467,2,2,0
0.019382685886472836,0.0008002133902427291,0.042966638440637986,2,3,1
0.06393028748269401,0.08909042411310622,0.140809982570184,2,2,1
0.04243016532290903,0.015470792211266427,0.09418486835024763,2,2,0
0.01368189591986318,0.019471859162449746,0.030533095889860397,3,3,0
0.02842250997638244,0.012536676447059263,0.06283713591465166,3,3,0
0.015147813339848519,0.0026673779674676757,0.0337177586589158,3,3,1
0.014414854629855851,0.014670578821023699,0.03178028545490147,3,3,1
0.009528463229904712,0.008535609495875944,0.021184769839687888,4,4,1
0.027770991123055616,0.023206188316893576,0.06091861449470079,4,4,1
0.023291799006433744,0.0029341157642071647,0.05118372651220701,4,4,1
0.036403615929635966,0.028007468658313557,0.07925116949647265,4,4,0
0.0487824741428455,0.02854094425181073,0.1061420326326982,4,4,1
0.021988761299780113,0.0034675913576982732,0.04756380213132837,0,0,1
0.021092922876455734,0.008802347292615432,0.045460484187473255,0,2,1
0.03290170209300431,0.042944785276076744,0.07084409824231695,0,2,1
0.03273882237967261,0.0029341157642071647,0.07051574387349578,0,2,1
0.03461193908298721,0.0034675913577043387,0.07464131097317496,0,0,1
0.05464614382278687,0.004534542544680494,0.11787849859745256,0,0,1
0.035996416646306706,0.02507335289411246,0.07784467208467,0,0,0
0.040231289192931015,0.0037343291544498936,0.08704792798342358,0,0,0
0.025246355566414205,0.0002667377967516201,0.05479009423475151,0,0,0
0.03282026223633846,0.02614030408109468,0.07105096351472599,0,0,1
0.010994380649890055,0.0061349693251598865,0.024046053486556772,0,0,0
0.04910823356950891,0.013336889837295926,0.10621479196419918,1,1,1
0.035019138366316475,0.002133902373976567,0.07596696653755064,1,1,1
0.02264028015310693,0.006401707121905441,0.04932331663909322,1,1,1
0.040394168906262726,0.05921579087757377,0.0875684044156706,1,1,1
0.04845671471618209,0.021605761536420246,0.10487839825325963,1,1,1
0.04568775958954312,0.0061349693251598865,0.09892963719045839,1,2,0
0.04324456388956755,0.06641771138970982,0.09381060147743189,1,1,0
0.030458506393028745,0.030941584422520724,0.06658803262110592,2,2,1
0.01229741835654369,0.018404907975467528,0.02717271397159901,2,2,1
0.05586774167277465,0.04374499866631947,0.12076180365821687,2,3,1
0.04756087629285772,0.033075486796485164,0.10305948795529599,2,2,1
0.053180226402801525,0.018138170178721973,0.1155359161448917,2,2,0
0.04112712761625539,0.0021339023739705013,0.08941726339664573,3,3,0
0.02540923527974591,0.0328087489997396,0.05517979246538317,3,3,1
