candle_size,noisy_day,percentage,day_of_week,session,highest_of_day,highest_of_week,volume,success
2.17,True,0.0012544222720651142,0,New York,True,True,1010,False
1.94,False,0.0011197820465459918,1,Sydney,False,False,591,True
0.85,False,0.000489366356926549,1,Sydney,True,True,553,False
1.91,False,0.0011034594319783697,1,Tokyo,False,False,831,False
1.73,False,0.0009994396205595707,1,New York,False,False,846,False
0.53,False,0.0003065798987707882,2,New York,False,False,196,False
2.25,False,0.0013018196545838518,2,Sydney,False,False,911,True
1.51,False,0.0008706532205520288,2,Tokyo,False,False,596,False
2.46,False,0.001416936422177935,2,Tokyo,True,False,1058,True
1.27,False,0.000724497130534987,2,New York,False,False,746,False
0.59,False,0.0003366580695227444,2,New York,False,False,239,False
2.72,False,0.0015510683553543222,3,Tokyo,True,False,991,True
3.08,False,0.0017324588541022153,4,London,True,True,1252,False
1.56,False,0.0008770105185043598,4,New York,False,False,775,False
1.81,False,0.0010165227060845343,0,Sydney,True,True,871,False
2.91,False,0.001639067252450152,0,Tokyo,False,False,1016,False
2.58,False,0.0014524573551764905,0,Tokyo,False,False,885,False
3.84,False,0.002139728744803914,1,Tokyo,True,True,1421,False
0.8,False,0.0004485411200071767,1,New York,False,False,396,True
0.49,False,0.0002743806835998746,1,New York,False,False,159,False
0.88,False,0.0004927266822696782,2,Sydney,False,False,617,True
1.65,False,0.0009211393097596105,2,Sydney,True,False,673,False
1.58,False,0.0008811064019629713,2,Tokyo,True,False,879,False
2.5,False,0.0014013531465983553,2,London,False,False,1054,False
1.92,False,0.0010786395658475747,3,Sydney,False,False,499,False
9.26,False,0.005179695147531814,3,Tokyo,False,False,1879,False
2.99,False,0.001679246978478681,3,New York,False,False,681,False
2.81,False,0.0015758275898810558,4,Tokyo,False,False,608,True
1.89,False,0.0010556182348275822,0,Tokyo,True,True,836,True
1.49,False,0.0008310372907068837,0,London,True,True,971,False
2.22,False,0.0012333264815195472,0,London,True,True,1333,False
4.89,False,0.0027127332035215604,0,London,False,False,1914,False
5.97,False,0.0032994545122941982,1,London,True,True,1848,False
1.87,False,0.0010414230182332566,2,Sydney,False,False,763,False
1.53,False,0.0008516180743412484,2,Tokyo,False,False,764,False
2.83,False,0.001579091269243431,2,New York,False,False,397,False
2.07,False,0.0011565021118734216,3,London,False,False,547,False
2.1,False,0.0011699490236496838,4,London,False,False,541,False
4.7,False,0.002591959411018585,4,London,True,True,1335,True
2.15,False,0.0011844751122496763,0,Tokyo,False,False,585,False
2.57,False,0.0014191524843451466,0,New York,False,False,392,False
0.75,False,0.0004141495576882724,1,Sydney,True,False,76,False
2.11,False,0.001162508815232722,3,Sydney,True,False,385,False
1.26,False,0.0006948197328804137,3,Tokyo,False,False,268,True
0.82,False,0.0004529410789940289,4,Sydney,True,False,187,True
1.69,False,0.0009322337755467909,4,Tokyo,False,False,420,False
0.89,False,0.0004871427163953628,0,Sydney,False,False,193,False
0.93,False,0.000510047385047385,0,London,False,False,151,False
0.6,False,0.0003290899018763609,1,Sydney,False,False,150,True
1.6,False,0.0008897984606486631,1,New York,False,False,290,False
1.7,False,0.0009454424114342918,2,Sydney,True,False,199,False
0.93,False,0.0005196721036662029,2,New York,False,False,190,True
0.6,False,0.0003351768057650411,2,New York,False,False,143,False
1.59,False,0.0008876235136493051,3,Tokyo,True,False,664,True
6.48,False,0.003603503406089254,3,London,False,False,2369,False
1.76,False,0.0009803648516919648,3,New York,False,False,752,False
2.23,False,0.0012391022898388055,4,Sydney,True,False,935,False
1.3,False,0.000722708042628656,4,Tokyo,False,False,389,True
2.41,False,0.0013414301537913492,4,London,False,False,1367,False
3.13,False,0.001749189672515927,0,Sydney,True,True,633,True
1.31,False,0.0007313451167360794,0,Sydney,True,True,445,True
1.37,False,0.0007631036595555061,0,London,False,False,552,False
1.23,False,0.0006861771564372343,1,Sydney,False,False,385,False
3.54,False,0.001958267873343217,1,London,False,False,1578,False
1.14,False,0.0006316524360174868,1,London,False,False,546,False
2.59,False,0.001444232549321378,2,New York,False,False,441,False
1.54,False,0.0008586801973849285,2,New York,False,False,265,True
1.24,False,0.0007070119621862635,4,New York,True,False,131,True
0.78,False,0.00044364815288797885,4,Sydney,True,False,722,True
1.28,False,0.000727553827615215,4,Sydney,True,False,723,False
1.23,False,0.0006986572149137755,4,Sydney,True,False,526,True
2.02,False,0.0011437177621633251,4,Tokyo,True,False,1010,False
2.66,False,0.0015153500401624731,4,London,False,False,1404,False
2.2,False,0.0012505400059116439,0,Tokyo,True,True,1303,False
1.12,False,0.0006345033877948741,1,Sydney,True,False,268,False
2.36,False,0.0013365728233968204,1,Sydney,True,False,688,False
2.86,False,0.0016163488600784437,3,Tokyo,True,False,1225,True
2.42,False,0.0013810657033448042,3,New York,False,False,465,False
