candle_size,noisy_day,percentage,day_of_week,session,lowest_of_day,lowest_of_week,volume,success
4.88,False,0.003960878211111562,4,Tokyo,True,False,3654,False
3.35,False,0.002752941949904674,2,Tokyo,True,True,4047,True
1.58,False,0.0013132303805043469,1,Tokyo,True,True,2391,False
2.09,False,0.0016947503284085563,0,Tokyo,False,False,2625,False
1.78,False,0.0014470485899405736,1,Tokyo,False,False,3902,False
2.53,False,0.0020238057146513937,2,Sydney,True,False,2673,False
3.11,False,0.0024875820862095164,4,New York,False,False,3649,False
2.76,False,0.002211024681764654,2,London,False,False,3256,False
1.47,False,0.0011731375443916844,3,New York,False,False,4433,False
5.88,False,0.00464392617105128,4,London,False,False,4653,True
7.3,False,0.005790158317205495,4,New York,False,False,13455,False
1.4,False,0.0010907079473655508,1,Sydney,False,False,1790,False
2.45,False,0.0019194910606559175,1,Sydney,True,False,2665,True
7.74,False,0.006206349079070812,2,New York,True,True,5174,False
4.71,False,0.0037982952025354226,3,Tokyo,True,True,2673,True
1.92,False,0.0015543663933032714,3,Tokyo,False,False,2226,True
2.22,False,0.0018093794317570542,1,Tokyo,False,False,1891,True
3.67,False,0.0029142480525358723,3,Tokyo,True,False,3929,False
1.91,False,0.0015050509826170552,4,New York,False,False,2144,False
3.97,False,0.0031212654883954966,2,New York,False,False,3188,False
2.72,False,0.002113031656632356,3,Sydney,True,False,2014,False
1.61,False,0.001252723311546841,3,Tokyo,False,False,2211,False
10.25,False,0.007982555196448736,3,London,True,False,7749,False
3.61,False,0.0028555608289827557,1,London,True,True,4133,False
2.93,False,0.0023369703930576826,3,London,False,False,4874,True
2.7,False,0.0021583078866168923,3,New York,False,False,4309,False
1.02,False,0.0008237431859479103,0,Sydney,True,True,3203,True
5.9,False,0.004803816998998526,0,London,True,True,7965,False
2.49,False,0.0020328356015642222,1,London,False,False,2548,False
1.09,False,0.000868366753503342,4,New York,False,False,2854,False
1.93,False,0.001536868928173276,0,Sydney,False,False,5780,False
4.52,False,0.003603057816323765,1,London,False,False,5163,False
1.27,False,0.0010005278375205817,0,Sydney,True,True,2647,False
1.78,False,0.0014026792750197006,0,Sydney,True,True,2222,False
2.09,False,0.0016464212002331772,1,Sydney,True,False,2767,False
3.59,False,0.0028220164447309254,1,New York,False,False,2826,True
0.48,False,0.0003814246209592829,0,Sydney,False,False,2084,False
3.23,False,0.002537134059650143,2,Tokyo,True,False,2812,False
0.89,False,0.0006906559679659794,1,Tokyo,False,False,2237,False
1.96,False,0.0014944491887275832,0,New York,False,False,1648,False
7.46,False,0.005677450778937114,1,New York,True,False,5149,False
1.54,False,0.0011650162270117335,4,New York,True,False,1086,True
7.23,False,0.0053947172063871065,2,London,True,False,6379,False
3.78,False,0.0028347732181425484,0,New York,True,False,3794,True
4.73,False,0.0035519577069221876,2,London,True,False,6817,True
2.66,False,0.0020011886759804696,3,New York,False,False,2674,False
4.49,False,0.0034289205391576615,1,Tokyo,True,False,5003,True
2.0,False,0.0015737127030089385,3,New York,True,False,1959,True
1.78,False,0.0013786800300521266,2,London,False,False,5184,False
1.62,False,0.001252164234479347,3,London,False,False,7659,False
5.62,False,0.004358886855086402,1,London,True,False,12418,False
1.37,False,0.0010691681559580762,3,New York,True,False,1499,False
0.72,False,0.0005669068146923349,2,Sydney,False,False,2419,False
11.37,False,0.00890395940358351,4,London,True,True,19845,False
1.57,False,0.0012207164128043044,3,New York,False,False,2471,False
3.22,False,0.0025166473880013757,0,London,True,False,10858,False
2.45,False,0.0019139129755487855,1,Tokyo,True,False,8198,False
1.95,False,0.001522010615048392,2,Sydney,True,False,4403,False
2.98,False,0.002302616328485991,2,New York,False,False,5819,False
1.63,False,0.0012623817969191688,3,Sydney,True,False,4261,False
2.35,False,0.0018135794656500333,1,Sydney,True,False,6042,False
4.44,False,0.0034467767979133026,2,London,True,False,15371,False
2.33,False,0.0018168774660407667,3,Tokyo,True,False,10087,False
3.97,False,0.0031133347972019196,3,London,True,False,13185,False
7.55,False,0.005927147118856963,1,London,True,False,18711,False
5.78,False,0.004618974555683417,3,New York,True,False,10878,False
1.77,False,0.0014234589247657727,2,Tokyo,True,False,4626,False
1.43,False,0.0011368243646105779,3,Sydney,False,False,4028,False
1.38,False,0.0010968572654871476,3,Tokyo,False,False,3561,False
2.17,False,0.0016788778597015155,3,Tokyo,False,False,4025,False
6.44,False,0.004885227496851911,2,Sydney,True,False,7415,False
3.19,False,0.0024188839769788972,0,Tokyo,True,False,5667,False
2.05,False,0.0015525363142030563,0,London,False,False,5915,False
1.58,False,0.0012044243537653507,2,New York,True,False,2607,False
10.51,False,0.007847265776662784,2,New York,True,False,9995,False
2.39,False,0.00179100003746862,4,New York,False,False,5457,False
3.09,False,0.0023151790330193977,0,London,False,False,10518,False
7.38,True,0.005495692062522806,1,London,True,False,17722,True
2.22,False,0.0016696625326223483,1,Tokyo,False,False,5199,False
2.87,False,0.002163930965324326,0,Tokyo,False,False,5986,True
5.12,False,0.0038267212771682262,1,London,False,False,11022,False
2.52,False,0.0018851692537871704,2,Sydney,True,False,10848,True
1.73,False,0.0012968904614831028,2,Tokyo,False,False,8372,True
4.4,False,0.0033350261117385343,3,New York,True,False,6788,False
3.6,False,0.002741144580148022,4,London,True,False,13015,False
1.14,False,0.0008675865113128714,4,New York,False,False,4091,False
1.56,False,0.0011834229750950153,0,New York,False,False,5839,True
1.75,False,0.0013323385205713067,1,Tokyo,True,False,4503,True
1.82,False,0.0013875229665545974,2,New York,True,False,1781,False
1.76,False,0.001319844918222109,2,New York,False,False,3239,False
3.66,False,0.0027254246375408627,4,Tokyo,False,False,8212,False
3.25,False,0.0024096742861803326,4,New York,False,False,9986,False
2.11,False,0.0015626157150262904,0,Sydney,False,False,3495,True
3.17,False,0.002354653969857458,2,Sydney,True,False,4764,True
2.05,False,0.0015277757076209923,2,Tokyo,False,False,6894,True
5.28,False,0.003975274994165079,3,Tokyo,True,False,9244,False
1.67,False,0.0012531234289058805,4,Sydney,False,False,4455,True
3.91,False,0.0029435456550706528,4,Tokyo,True,False,8653,False
2.33,False,0.0017571379013891194,4,Tokyo,False,False,4625,False
3.47,False,0.0025935974766613597,1,Sydney,True,False,7110,True
1.53,False,0.0011413140776988721,1,New York,False,False,1977,False
2.16,False,0.0016113390525923164,4,Tokyo,False,False,3624,False
2.21,False,0.0016656617425384384,2,Tokyo,True,False,7596,True
2.76,False,0.002098651844304365,1,Sydney,True,False,3440,True
2.92,False,0.002222019298085411,3,New York,False,False,5912,False
1.69,False,0.0012873248019500305,4,Tokyo,True,False,7047,False
1.57,False,0.001191632764588014,0,Sydney,False,False,3366,True
3.64,False,0.0027647599444009818,2,Sydney,True,False,5798,True
2.99,False,0.00228052780108306,2,Tokyo,True,False,8209,False
1.93,False,0.0014673346967635007,3,Tokyo,False,False,3888,False
3.96,False,0.003001546251099051,0,New York,True,False,6143,False
2.77,False,0.0021081632342420504,1,Sydney,True,False,4674,True
10.21,False,0.007811722940145829,1,London,True,False,15126,False
2.6,False,0.0020173178982651066,4,Tokyo,True,False,6879,False
4.86,False,0.003748120155786064,2,London,False,False,11322,False
2.71,False,0.002079799848044144,4,New York,True,False,4167,True
3.21,False,0.002463073086514483,1,New York,False,False,4916,False
4.11,False,0.003149763192986221,3,London,False,False,17279,False
1.26,False,0.0009713602898662452,2,New York,False,False,846,False
1.71,False,0.001317320062553444,1,London,False,False,3855,True
1.46,False,0.0011216532862136518,4,Tokyo,False,False,2312,True
3.05,False,0.0023783716342142404,0,Sydney,False,False,2949,False
7.08,False,0.005534795728513579,1,London,True,False,7635,False
1.88,False,0.001480967985883539,2,New York,True,False,1108,False
2.21,False,0.0017439474764054165,0,Tokyo,True,False,2302,False
4.55,False,0.003613405336721728,2,London,False,False,8637,False
0.81,False,0.0006465620460096745,3,Sydney,True,False,1827,False
4.2,False,0.0033419800436048828,1,London,False,False,4952,False
2.72,False,0.0021576855649249175,2,Tokyo,False,False,6696,True
4.38,False,0.003484902733023034,1,Tokyo,True,False,6114,True
1.64,False,0.0013057740692378737,1,London,False,False,5194,False
1.81,False,0.0014863477725313079,3,London,False,False,5439,False
0.78,False,0.0006373746700768936,4,New York,True,False,971,False
4.57,False,0.0037191663207923375,1,London,False,False,8484,False
1.13,False,0.000922035004691771,1,New York,False,False,2357,False
1.86,False,0.00151592948482848,3,New York,True,False,3635,True
1.91,False,0.0015594764731337312,4,New York,False,False,3292,True
2.8,False,0.0023102500845716546,3,New York,True,True,4392,True
1.3,False,0.0010711490133069666,2,Sydney,False,False,2098,False
3.29,False,0.0027588404484583198,2,Sydney,True,True,2139,True
2.29,False,0.0019476432665974928,3,New York,False,False,2404,False
1.01,False,0.0008403990647440112,0,London,False,False,3139,False
1.65,False,0.0013807993573006626,1,Tokyo,False,False,5909,False
2.64,False,0.0022056796250344637,2,Sydney,True,False,1082,False
9.74,False,0.008082115622380988,4,London,True,False,7563,False
1.23,False,0.0010259318881317195,0,New York,True,True,734,True
2.3,False,0.001913859672480362,2,Tokyo,True,False,4757,True
7.16,False,0.005997905759162304,3,London,True,True,5736,False
2.8,False,0.0023642059223358356,4,Tokyo,True,True,3727,False
5.22,False,0.004342075711825918,0,Sydney,True,True,3007,False
0.63,False,0.0005293628320071254,1,New York,False,False,614,False
2.63,False,0.0022119800164847178,2,Tokyo,True,False,3197,False
2.49,False,0.0020223021758022206,1,London,False,False,4631,True
3.61,False,0.0029265603592940584,1,New York,False,False,1898,False
1.84,False,0.001492234702566806,2,Sydney,False,False,1315,False
1.47,False,0.0011972633979475485,1,Sydney,False,False,1051,False
2.48,False,0.0020380490611003822,2,New York,False,False,640,False
1.47,False,0.0011909680869163649,4,New York,True,False,622,False
3.95,False,0.003205518360722256,2,London,False,False,5857,False
2.44,False,0.00198931963637846,3,Sydney,True,False,1263,True
1.4,False,0.0011556971743204086,0,Sydney,False,False,868,True
1.71,False,0.0014219073515104649,0,New York,True,True,1063,False
1.31,False,0.0010903310111779736,0,New York,True,True,703,False
1.21,False,0.0010042993974203615,1,Sydney,False,False,1220,False
1.79,False,0.0014873286248442044,2,Tokyo,False,False,4972,False
2.64,False,0.0021727322107550247,1,London,True,False,1618,False
1.43,False,0.001177681696520486,2,Tokyo,False,False,2066,False
2.43,False,0.0019876975427804864,2,New York,False,False,1160,False
1.84,False,0.0015027400504724648,4,Tokyo,True,False,755,True
3.84,False,0.0030972487719892563,3,Tokyo,True,False,1847,False
4.07,False,0.0032869499204509667,4,London,True,False,6482,False
2.32,False,0.001859868526535193,1,Tokyo,False,False,1348,False
2.89,False,0.002302110134860639,2,London,False,False,7243,True
7.17,False,0.005616217317061707,2,London,True,False,4338,False
1.41,False,0.0010871408965442797,3,Sydney,False,False,1069,True
2.26,False,0.0017486169677743818,0,Sydney,False,False,1391,False
3.42,False,0.0026489245521226254,1,London,False,False,3994,False
1.44,False,0.0011215477358755082,1,Tokyo,False,False,1144,False
4.79,False,0.003726756399284214,2,London,True,False,3028,False
2.54,False,0.0019501408861624452,0,New York,True,False,961,False
1.31,False,0.0009974720555538635,2,Tokyo,True,False,958,False
2.95,False,0.002252475814518161,2,New York,True,False,1654,True
1.02,False,0.0007788697225849312,4,Tokyo,False,False,807,False
1.83,False,0.0013928000608874342,0,Sydney,True,False,933,True
2.81,False,0.002145808037998366,0,Tokyo,True,False,2052,False
2.16,False,0.0016169964291328858,3,Tokyo,False,False,1203,False
3.04,False,0.002291658814217331,3,New York,True,False,1405,False
3.01,False,0.002299465240641711,4,London,True,False,1391,False
4.69,False,0.0035918329835955094,4,London,True,False,3968,True
3.3,False,0.0025491877360895457,0,Tokyo,True,False,1548,True
3.25,False,0.0025199463445270643,0,London,False,False,2277,False
1.39,False,0.0010796368070712327,2,New York,False,False,685,False
2.29,False,0.0017638450281136872,0,Sydney,True,False,1843,False
2.08,False,0.0015892784828503098,2,London,False,False,2244,False
2.04,False,0.0015637576175692768,3,Tokyo,True,False,1285,True
1.74,False,0.0013361079329488824,0,New York,True,False,700,False
1.5,False,0.0011470608477544373,1,Sydney,False,False,1667,False
2.0,False,0.0015216762785884932,2,New York,False,False,968,False
1.49,False,0.0011297978495928178,3,Sydney,False,False,980,False
2.48,False,0.0018813676328905543,1,Tokyo,True,False,1746,False
9.16,False,0.00704441983511751,3,London,True,False,6117,False
2.59,False,0.0019872783494080367,0,London,False,False,2221,True
4.08,False,0.0031269878982502666,3,London,True,False,2340,True
1.39,False,0.0010780960358641443,0,Tokyo,False,False,635,True
1.76,False,0.001367255777820936,1,Sydney,True,False,1166,False
1.11,False,0.0008694698583782429,2,London,False,False,1169,False
1.79,False,0.0013960271718361267,4,Tokyo,False,False,1227,False
1.22,False,0.0009482282898469623,4,New York,False,False,821,False
2.42,False,0.0018853519063868245,0,Tokyo,True,False,2222,False
2.45,False,0.0019184990290045732,3,Sydney,True,False,1270,True
1.65,False,0.0012944831481830161,3,Tokyo,False,False,687,True
2.63,False,0.0020426391208108424,0,Sydney,True,False,1324,True
1.94,False,0.0015104328869511054,0,Tokyo,True,False,1564,False
1.22,False,0.0009550425463626186,1,Sydney,True,False,859,True
0.41,False,0.00032186903855363047,2,New York,False,False,464,False
1.9,False,0.0014849086390421558,1,London,False,False,1825,False
0.53,False,0.0004112001613766671,3,New York,False,False,372,False
1.51,False,0.001150362249834302,0,Tokyo,False,False,744,False
1.16,False,0.0008743564811674165,2,Sydney,False,False,623,False
1.8,False,0.001350692229767756,3,Sydney,True,False,732,False
3.02,False,0.002260631329954862,4,Tokyo,False,False,1478,False
2.59,False,0.001937622036523053,3,Sydney,False,False,1841,False
2.73,False,0.002035399549677169,0,Sydney,True,False,735,False
1.41,False,0.0009991001013271734,4,New York,False,False,860,True
2.29,False,0.001609287486208617,4,Sydney,False,False,1824,True
6.1,False,0.0042917549056165705,4,Sydney,True,False,3025,False
2.74,False,0.0019560251284980014,4,New York,False,False,808,False
5.59,False,0.004000658426789382,0,New York,True,False,1396,False
6.33,False,0.004487929384239073,1,London,True,False,2758,False
1.38,False,0.0009712496041102157,0,New York,True,False,542,False
2.99,False,0.0020896085652985204,2,Sydney,True,False,2616,False
2.25,False,0.001596072951174355,3,Tokyo,False,False,1489,False
3.67,False,0.0026080529854034308,3,London,False,False,2759,False
7.15,False,0.004872264887665334,1,Sydney,False,False,3617,False
5.01,False,0.0033062759849534747,4,Tokyo,True,False,4340,False
3.77,False,0.0025110399168759203,0,Tokyo,True,False,3191,False
2.03,False,0.001351963343811604,3,Sydney,True,False,1201,False
9.2,False,0.005935522164659126,3,Tokyo,False,False,8841,True
6.31,False,0.004126664399508201,4,Tokyo,False,False,5484,False
2.91,False,0.0018981149305329075,1,Tokyo,False,False,3062,False
13.39,False,0.008817099510087974,4,Tokyo,True,False,6283,False
4.72,False,0.0031266353561515887,0,Tokyo,False,False,3708,False
4.22,False,0.002830505064055268,1,New York,False,False,3926,False
4.28,False,0.0028458392898700093,4,London,False,False,2563,False
2.71,False,0.0017820271709825478,0,Tokyo,False,False,2915,False
2.67,False,0.0017512330779725048,0,New York,False,False,1137,True
2.33,False,0.0015461899358297996,4,Tokyo,False,False,1545,True
1.83,False,0.0012354764010504926,1,New York,False,False,1226,False
2.22,False,0.0014998479883795563,2,Sydney,True,False,2080,False
3.45,False,0.002295607737196165,0,Tokyo,True,False,3254,False
4.86,False,0.0032258706863935965,1,London,False,False,8560,False
9.23,False,0.00620454148236781,1,London,True,False,10080,False
0.8,False,0.0005367794574501635,0,Sydney,False,False,802,False
1.88,False,0.0012616433575819398,1,New York,False,False,1525,False
2.32,False,0.0015366782579897334,0,New York,False,False,2265,False
9.29,False,0.006216666555136947,1,London,True,False,9678,False
2.86,False,0.0019210876311511747,2,Tokyo,False,False,4046,False
4.02,False,0.0027056131377035937,3,Tokyo,True,False,6328,False
4.67,False,0.003175790547432846,4,Tokyo,False,False,4530,True
4.4,False,0.0030003409478349813,4,Tokyo,True,False,4589,False
3.61,False,0.002469152690760855,4,New York,False,False,2011,False
11.41,False,0.007817424429280058,0,London,True,False,8429,False
3.26,False,0.0022256053851457906,2,London,False,False,7569,False
4.41,False,0.0030013475437951735,3,London,False,False,2961,False
3.42,False,0.002339725390125264,0,Sydney,True,False,1776,True
1.48,False,0.0010128592057267606,0,London,False,False,2393,False
1.6,False,0.0010827344458429766,3,Sydney,False,False,900,True
3.98,False,0.002602702101780039,3,London,False,False,5773,False
6.3,True,0.004032541973641258,2,New York,False,False,4602,False
2.72,False,0.0017560169403987192,4,Sydney,True,False,1575,False
4.61,False,0.0029627630175195056,3,Sydney,True,False,1890,False
1.9,False,0.0012220457045093486,3,Tokyo,True,False,2189,False
2.68,False,0.0016940581542351455,0,Sydney,False,False,1861,False
7.96,False,0.00507743729747659,1,London,True,False,5584,True
3.44,False,0.0021930943030550316,4,London,False,False,2284,False
2.09,False,0.0013294404264386898,4,New York,False,False,2366,False
1.99,False,0.0012644474237677992,0,New York,False,False,927,True
2.45,False,0.0015538389334956938,4,Sydney,True,False,2149,False
5.41,False,0.0033356351887932523,3,London,False,False,8237,False
13.78,False,0.008376950619760607,2,London,True,False,8683,False
13.01,False,0.007889343019659685,2,New York,False,False,6995,False
9.07,False,0.0054180306324819,0,London,False,False,8407,False
13.69,False,0.008222617302933473,1,Sydney,True,False,7055,False
12.47,False,0.007539481003168154,1,New York,True,False,6370,False
26.23,True,0.016612305646157257,4,Sydney,True,False,8869,False
52.73,True,0.034503742867612416,0,Tokyo,True,False,11504,False
27.43,True,0.018067329289097028,1,Sydney,True,False,9054,False
14.45,True,0.009262108042971054,0,New York,False,False,5104,False
7.63,False,0.0046886906078706094,0,London,False,False,2294,True
8.6,False,0.005203732165115631,2,New York,False,False,1990,False
5.94,False,0.0034490767622808037,0,New York,False,False,6567,False
7.3,False,0.004301125952286961,4,Tokyo,False,False,5211,False
8.52,False,0.005061456297414024,0,New York,True,False,927,False
6.09,False,0.0035073573876234633,4,London,False,False,9116,True
15.23,False,0.009025238668080996,4,Tokyo,True,False,5114,False
4.19,False,0.00246531496016663,0,Sydney,False,False,1468,False
5.7,False,0.0033328265877702805,1,New York,False,False,719,False
3.56,False,0.0020546680210545756,4,Sydney,False,False,2284,False
16.84,False,0.009543022939523076,0,London,False,False,13843,True
2.32,False,0.0013276564574463212,3,Sydney,True,False,2238,True
