candle_size,noisy_day,percentage,day_of_week,session,lowest_of_day,lowest_of_week,volume,success
12.87,False,0.006973795435333896,1,London,False,False,7742,False
1.53,False,0.0008324129638798061,2,New York,True,False,778,False
5.73,False,0.0030799000241876965,2,London,False,False,3579,False
5.42,False,0.0029157185201921574,3,Sydney,True,False,2668,False
2.49,False,0.001340865154199493,3,Sydney,False,False,1938,True
3.5,False,0.0018876574171453225,3,Tokyo,False,False,1892,False
2.16,False,0.0011686414543093655,3,Tokyo,False,False,2553,False
2.51,False,0.0013636561196105701,4,Sydney,False,False,1046,True
4.52,False,0.002410358140824641,0,New York,False,False,2351,False
1.68,False,0.0008914500390009392,2,Tokyo,False,False,2348,True
1.26,False,0.0006713304597548046,2,New York,False,False,685,False
2.71,False,0.0014096742144057261,0,Sydney,False,False,1731,True
4.89,False,0.0025506744421377675,0,Tokyo,True,True,4412,False
1.24,False,0.0006471377203008146,0,London,False,False,1613,False
5.48,False,0.002865374459474298,1,London,False,False,3377,False
4.89,False,0.0025295894719417314,4,Tokyo,False,False,3787,False
5.39,False,0.0027937159532065536,4,London,False,False,5492,False
2.16,False,0.0011196118678857996,4,New York,False,False,2157,False
2.8,False,0.0014473201317061319,0,Sydney,False,False,1406,True
1.94,False,0.0010038394270871064,0,Sydney,False,False,1231,True
1.63,False,0.0008423380824664486,1,Sydney,False,False,1324,False
9.56,False,0.0049512129435893195,1,London,True,False,9955,False
2.83,False,0.0014674769766863023,4,Sydney,True,False,1305,True
7.49,False,0.0038792612312122565,0,Tokyo,False,False,3167,False
3.13,False,0.001626827582263941,1,Sydney,True,False,1994,True
7.61,False,0.00397409786411823,1,Tokyo,True,True,5887,False
3.91,False,0.0020237466745339173,2,London,False,False,3907,False
25.86,False,0.013281904047745003,3,London,True,False,11884,False
4.24,False,0.002210682183152933,3,New York,False,False,3207,False
3.69,False,0.0019284135271153756,4,Tokyo,True,False,2991,False
6.12,False,0.0032657591555984825,0,London,False,False,6864,False
2.51,False,0.001339152332579282,1,Tokyo,False,False,2263,True
5.65,False,0.002995678799607646,2,Tokyo,False,False,3188,True
8.42,False,0.004461305329193468,3,London,False,False,7116,True
2.37,False,0.0012733720180528691,0,Sydney,False,False,1337,False
4.29,False,0.0023033557046979866,0,Tokyo,False,False,2636,False
5.38,False,0.002896428456063657,2,Sydney,True,False,2285,True
8.87,False,0.004810403922079048,2,Tokyo,True,True,4252,False
1.55,False,0.0008438451027041153,3,Sydney,True,False,2099,False
4.51,False,0.0024470838465336596,3,New York,False,False,4030,True
4.64,False,0.0025305824157245155,4,Sydney,True,False,2766,True
3.31,False,0.0018110886776864026,4,Tokyo,False,False,1495,False
3.71,False,0.002009076041632821,0,London,False,False,2331,False
5.58,False,0.0030294968754920218,2,London,False,False,5069,True
3.32,False,0.001816242238573265,2,New York,True,True,4462,False
1.32,False,0.0007238508867173363,3,New York,False,False,897,False
1.82,False,0.001005413766434648,0,Tokyo,False,False,1976,False
2.39,False,0.0013152536403359125,1,Sydney,True,False,1068,True
4.86,False,0.002638851936515521,2,London,False,False,3435,False
1.6,False,0.0008704403884340233,3,New York,True,False,559,True
1.94,False,0.0010463692604758283,0,Sydney,False,False,1080,False
2.87,False,0.0015490152688647932,0,Tokyo,True,True,2286,False
3.21,False,0.0017335795988464404,1,Tokyo,False,False,2094,True
