noisy_day,highest_of_day,highest_of_week,total_volume,session,day_of_week,maximum_movement
False,False,False,1277,New York,1,2.33
False,True,False,4684,London,2,6.48
False,True,False,1854,New York,3,5.08
False,False,False,5568,London,0,22.26
False,False,False,3772,London,2,28.1
False,True,False,4715,London,0,13.11
False,False,False,1121,New York,0,6.73
False,False,False,2240,New York,1,1.21
False,False,False,2564,New York,0,2.86
False,True,False,4114,London,2,13.27
False,False,False,3707,London,4,6.16
False,False,False,2170,New York,1,1.42
False,True,False,733,New York,2,2.19
False,True,False,949,New York,3,0.65
False,False,False,3899,London,3,103.41
False,True,False,4504,Tokyo,4,7.22
False,False,False,6518,Tokyo,3,4.07
False,True,False,1537,Sydney,2,1.75
False,False,False,3480,Sydney,0,4.59
True,False,False,5219,New York,0,2.53
False,True,False,10927,Sydney,3,5.3
False,False,False,9866,Sydney,4,2.83
False,False,False,7473,London,3,7.02
False,False,False,2825,New York,1,8.88
False,True,False,1158,New York,4,161.85
False,True,False,2854,Sydney,4,3.75
False,False,False,1048,New York,0,1.6
True,False,False,1499,New York,2,5.39
False,False,False,3260,Sydney,3,6.08
False,False,False,5846,London,3,8.35
False,False,False,5060,London,4,5.47
False,False,False,2229,New York,3,7.18
False,False,False,6119,London,4,21.4
True,True,False,5918,London,0,11.02
False,False,False,4907,London,2,10.16
False,False,False,760,New York,3,2.33
False,True,False,5610,Sydney,0,11.81
False,True,False,1571,Sydney,4,12.13
False,False,False,3067,New York,0,2.49
False,False,False,3607,New York,3,2.94
False,False,False,4227,London,4,38.99
False,False,False,3324,New York,4,4.37
False,True,False,5432,London,0,1785.19
False,False,False,1800,Tokyo,1,1740.23
False,False,False,4457,London,2,12.64
False,True,False,1623,New York,1,4.25
False,False,False,2990,Sydney,3,2.94
False,False,False,1407,New York,3,15.1
False,False,False,4052,Tokyo,0,6.24
False,False,False,3754,New York,1,7.08
False,False,False,1722,New York,2,21.92
False,True,False,2073,New York,2,15.69
False,False,False,4966,New York,4,1542.14
False,True,False,6067,London,2,25.11
False,False,False,5372,London,4,14.73
False,False,False,3580,London,0,173.29
False,False,False,1141,New York,3,5.93
False,False,False,4084,London,1,19.35
False,False,False,4365,Tokyo,3,5.63
False,False,False,3686,London,4,3.01
False,False,False,4126,London,2,8.46
True,True,False,5420,London,3,49.91
True,False,False,5341,Tokyo,0,12.83
False,False,False,3113,Tokyo,1,27.12
True,False,False,4852,London,2,1334.18
True,False,False,4347,Tokyo,3,6.78
True,False,False,5315,London,4,15.04
False,False,False,1732,New York,0,4.73
False,False,False,4405,London,1,286.86
True,False,False,5140,Sydney,2,14.28
True,False,False,2622,New York,2,82.64
False,False,False,4427,New York,4,211.62
True,False,False,2652,New York,2,50.34
True,False,False,3846,Sydney,4,39.46
True,False,False,2261,New York,2,15.25
True,True,False,3888,Sydney,1,7.74
True,False,False,2526,New York,1,14.5
False,False,False,2495,New York,2,30.2
False,False,False,5414,London,3,11.68
False,True,False,3490,Tokyo,0,5.84
False,False,False,1736,New York,1,5.11
False,False,False,1987,New York,4,162.51
True,False,False,3271,Sydney,0,94.6
True,False,False,3919,New York,0,3.78
True,False,False,2252,New York,0,10.64
