candle_size,gap_size,noisy_day,percentage,day_of_week,session,entry_day_of_week,entry_session,highest_of_day,highest_of_week,total_volume,success
23.03,4.0900000000001455,False,0.013144677062167532,2,London,3,New York,True,False,61978,True
21.92,1.3599999999999,False,0.012494513700074672,2,New York,3,Tokyo,True,False,60552,True
24.65,1.9800000000000182,False,0.01385399630185413,4,London,3,Tokyo,True,True,52039,True
23.86,12.75,False,0.013406075997730069,4,New York,0,Sydney,True,True,47083,True
22.15,6.559999999999945,False,0.012261821724737325,0,London,2,New York,True,True,53677,True
12.71,0.32999999999992724,False,0.007041239169455094,4,Tokyo,4,Tokyo,True,False,19819,True
37.3,0.19000000000005457,False,0.020479764565065804,0,New York,0,Sydney,True,True,46576,True
8.26,0.3500000000001364,False,0.004548408057179987,1,Sydney,1,Tokyo,True,False,12092,True
9.47,1.0100000000002183,False,0.005205727949866696,1,Tokyo,1,Tokyo,True,False,18333,True
23.39,4.789999999999964,False,0.012753891872733717,4,London,1,Tokyo,True,True,52865,True
13.66,3.4600000000000364,False,0.007734249817401496,4,Tokyo,4,Tokyo,True,False,32335,True
19.12,1.1800000000000637,False,0.010856296027118028,0,Tokyo,3,London,True,True,49207,True
23.72,4.170000000000073,False,0.013313202633454752,1,London,2,New York,True,True,56164,True
13.01,1.4200000000000728,False,0.007405594325982764,4,Tokyo,4,Tokyo,True,False,30744,True
14.79,3.490000000000009,False,0.008399495689508298,0,Sydney,0,Tokyo,True,True,18895,True
9.74,0.8600000000001273,False,0.0055878741982490565,2,Tokyo,2,London,True,False,36639,False
13.2,2.229999999999791,False,0.007608726979277747,3,Sydney,3,Tokyo,True,False,25434,True
18.34,0.14000000000010004,False,0.01039511644910984,2,London,3,Tokyo,True,False,72240,True
13.82,0.009999999999990905,False,0.007675347251148248,3,Tokyo,4,Tokyo,True,True,44400,False
19.89,6.309999999999945,False,0.011156044399822759,1,Tokyo,1,London,True,True,31596,True
17.46,0.20000000000004547,False,0.009784308121648202,1,Tokyo,1,London,True,True,49539,False
12.37,3.589999999999918,False,0.006952289422066353,2,Tokyo,4,London,True,False,33687,True
20.65,3.099999999999909,False,0.011546375612265437,2,Tokyo,2,London,True,True,48471,True
22.51,2.4300000000000637,False,0.012457662763154981,4,Tokyo,4,London,True,True,51271,True
