candle_size,noisy_day,percentage,day_of_week,session,highest_of_day,highest_of_week,volume,success
4.78,False,0.0026418765060906863,4,New York,True,False,2654,True
3.71,False,0.0020507661352731775,4,New York,False,False,972,True
4.65,False,0.002566041067693819,1,Sydney,True,False,4200,False
7.19,False,0.004121406666475595,3,Sydney,True,False,4351,False
6.55,False,0.003819954743742272,0,Sydney,True,True,6291,True
2.89,False,0.0016904242438422349,1,Sydney,False,False,2605,True
23.28,False,0.013636283761224454,3,London,True,False,13244,False
2.06,False,0.0011735083341878297,4,Sydney,False,False,3173,True
4.73,False,0.0026780355788067174,4,New York,False,False,1895,False
8.83,False,0.0049785185101656505,0,Tokyo,True,True,5517,False
4.19,False,0.002370553091337015,3,Sydney,True,False,2230,True
2.58,False,0.0014384317748464001,4,Sydney,True,False,1374,False
4.49,False,0.00250116981216159,3,London,True,False,4606,False
3.0,False,0.0016727443043056437,4,Tokyo,True,False,3733,False
3.16,False,0.0017727114631601389,1,Sydney,True,False,2947,False
2.85,False,0.0016147308781869689,3,Sydney,True,False,1428,False
3.7,False,0.002094798106755441,3,Tokyo,False,False,5313,False
3.2,False,0.001820540245317798,4,Sydney,False,False,3410,False
1.86,False,0.001092896174863388,1,New York,False,False,1599,False
2.82,False,0.0016624123843827557,2,Tokyo,False,False,4069,True
3.18,False,0.0018627646238738474,2,Tokyo,True,False,5485,False
4.73,False,0.0027333456613194028,0,London,False,False,8360,False
5.26,False,0.0030834706044423083,1,London,False,False,5931,False
2.23,False,0.001340305325159274,4,Sydney,False,False,3589,False
3.69,False,0.002203261304402343,0,New York,False,False,3314,False
1.73,False,0.0010341385267411485,4,Sydney,True,False,886,False
3.97,False,0.002439459017702976,1,New York,True,False,1374,True
3.42,False,0.0020969373677917776,1,Sydney,True,False,4449,True
1.75,False,0.0010136230943885826,1,New York,False,False,1784,False
1.39,False,0.0008322107468941775,1,Sydney,True,False,1190,False
12.63,False,0.007509721611111773,1,London,True,False,10303,False
5.01,False,0.003028672643408556,0,Tokyo,True,False,3937,False
0.87,False,0.0005264081417792595,2,New York,True,False,771,False
12.55,False,0.007628437355637141,3,London,True,False,12957,False
2.29,False,0.001386206938298658,1,New York,True,False,1447,False
18.27,False,0.011003041344213918,1,London,True,False,15397,False
4.11,False,0.002481104967039336,2,Sydney,True,False,2879,True
4.48,False,0.0027281141910654263,1,Sydney,True,False,4770,True
5.87,False,0.003563277000777001,1,Tokyo,True,False,6656,True
4.29,False,0.002601150812177509,1,London,False,False,5975,False
3.84,False,0.0023265818029797212,2,Sydney,True,False,3927,True
12.59,False,0.00771630475419984,3,London,False,False,15777,False
8.39,False,0.005094048645432357,4,Sydney,True,False,3727,True
9.01,False,0.005401840582751281,4,London,True,False,18147,True
35.4,False,0.020651153022710433,1,London,True,False,18036,False
2.57,False,0.0015054506686661237,2,New York,False,False,2066,False
5.56,False,0.003171434275447052,4,Sydney,False,False,4207,True
5.43,False,0.0030706069962338407,3,Tokyo,False,False,4522,False
2.58,False,0.001473384844694958,4,New York,False,False,1279,False
2.66,False,0.0015226712003343008,0,Sydney,False,False,3258,False
3.82,False,0.0021962984896135777,0,New York,False,False,5294,True
1.54,False,0.0008772329566168428,3,New York,False,False,298,False
5.83,False,0.0033303248066355153,1,Sydney,True,False,5462,True
4.98,False,0.002829657997761275,2,Tokyo,True,False,7889,False
4.03,False,0.002286615638635293,2,Tokyo,False,False,5637,False
4.54,False,0.0025432036523541438,3,London,True,False,7800,True
