candle_size,gap_size,noisy_day,percentage,day_of_week,session,entry_day_of_week,entry_session,highest_of_day,highest_of_week,total_volume,success
3.37,0.3000000000001819,False,0.002761638626883774,3,Sydney,2,Tokyo,True,True,3945,True
2.77,0.38000000000010914,False,0.0022695430598684155,3,Sydney,3,Sydney,True,True,3460,True
2.71,0.33999999999991815,False,0.002218202355714531,3,Tokyo,3,London,True,True,2413,True
2.93,0.7699999999999818,False,0.0023965711855256917,3,Tokyo,3,Tokyo,True,True,3075,True
3.01,0.7000000000000455,False,0.0024596527068437178,3,Tokyo,3,London,True,True,3277,True
4.41,0.19000000000005457,False,0.0035992654560293817,3,London,3,London,True,True,9474,True
6.79,0.19000000000005457,False,0.005530892355312996,3,London,3,London,True,True,9600,True
2.15,0.43000000000006366,False,0.0017528841058252823,4,Sydney,0,London,True,False,3224,True
2.09,0.7100000000000364,False,0.0017033970137575794,4,Sydney,4,Sydney,True,False,3265,True
4.6,0.19000000000005457,False,0.0037347059730938785,4,London,4,London,True,True,9294,True
3.04,0.11000000000012733,False,0.002471685380468807,0,New York,0,Sydney,True,True,1747,True
3.74,0.7000000000000455,False,0.0030390691022557366,0,Sydney,0,Tokyo,True,True,3960,True
1.43,0.11999999999989086,False,0.0011613930218959132,0,Tokyo,0,Tokyo,True,True,1988,True
3.95,0.6900000000000546,False,0.0032035685320356854,0,Tokyo,0,Tokyo,True,True,3607,True
4.83,0.6399999999998727,False,0.003908778971902111,0,London,0,London,True,True,5225,True
5.15,1.240000000000009,False,0.004165790367722,0,London,0,London,True,True,6902,True
1.83,0.32999999999992724,False,0.001486185781343902,0,New York,0,New York,False,False,3428,True
4.33,1.2799999999999727,False,0.0035069531623322455,1,Sydney,0,London,True,False,3852,True
4.15,0.9500000000000455,False,0.003360187846645885,1,Sydney,1,Sydney,True,False,4174,True
5.35,1.2300000000000182,False,0.004317824139461684,1,London,1,London,True,True,8113,True
2.49,0.8200000000001637,False,0.002010090817356206,1,New York,1,New York,False,False,3888,True
