candle_size,noisy_day,day_of_week,session,lowest_of_day,lowest_of_week,total_volume,success
1.66,False,1,New York,True,False,27799,True
8.4,False,3,New York,True,False,44533,False
6.44,True,4,New York,True,True,31799,True
0.96,False,2,New York,True,False,20185,True
0.43,False,0,New York,True,True,20284,True
2.31,False,2,New York,True,False,15545,False
0.59,False,2,New York,True,False,38010,True
0.07,False,4,New York,True,False,7902,True
2.5,True,0,New York,True,False,17825,True
0.43,False,3,New York,True,False,16664,True
5.07,False,3,New York,True,False,22353,False
2.25,False,2,Tokyo,True,False,15082,False
5.51,True,3,New York,True,False,41158,True
1.05,False,0,New York,True,False,15025,True
1.81,False,4,New York,True,False,14400,True
1.36,False,1,New York,True,False,13173,False
0.65,False,0,New York,True,False,13459,False
9.64,False,1,New York,True,False,27032,False
4.74,False,2,Tokyo,False,False,45797,True
0.51,False,0,New York,True,False,26779,True
4.12,False,4,Tokyo,False,False,26338,True
13.7,True,0,New York,True,False,28831,True
