candle_size,noisy_day,percentage,day_of_week,session,highest_of_day,highest_of_week,volume,success
5.71,False,0.005341890336885238,0,Sydney,True,True,20813,True
17.62,False,0.015003405994550408,4,New York,True,True,33399,True
22.67,False,0.01847174238967473,3,London,True,False,52426,False
19.25,False,0.015119978007304715,3,London,True,False,37513,False
32.27,False,0.025532891301251727,2,New York,True,True,29509,False
3.61,False,0.002955189181224316,0,New York,False,False,5433,False
6.1,False,0.004959389913739135,3,Sydney,True,False,9792,True
4.03,False,0.00321343422825749,0,New York,True,True,8876,False
26.93,False,0.02176038527113618,4,Tokyo,True,True,17280,False
5.47,False,0.0043950216537172885,4,New York,True,True,10911,False
4.89,False,0.0038487269292825942,4,Tokyo,True,False,15613,True
6.77,False,0.005196300418313697,3,Sydney,True,True,20558,False
4.04,False,0.0031489680114734674,4,New York,True,False,7634,False
7.03,False,0.005221835144510388,1,New York,True,True,6701,True
13.53,False,0.01004491629236423,1,London,True,True,36062,False
2.45,False,0.0018526080183899703,2,Tokyo,True,False,22806,False
5.0,False,0.0037342415008663437,0,Tokyo,False,False,23997,False
4.54,False,0.003597977524528063,0,New York,True,True,6322,False
3.64,False,0.002874243931713018,1,Sydney,True,False,16027,True
10.82,False,0.00881983729764098,0,Tokyo,False,False,31910,False
5.79,False,0.004851074525574966,2,New York,True,False,13638,False
5.66,False,0.004827621500827348,2,Tokyo,True,False,16716,True
4.15,False,0.0035726891588254038,2,Sydney,True,False,20127,True
3.6,False,0.0030032535246517058,3,Sydney,True,True,18798,False
8.58,False,0.007077806374975252,1,Sydney,True,True,19328,False
7.12,False,0.0058465606293264145,0,New York,True,True,16772,False
11.57,False,0.009265784668610052,3,Tokyo,True,False,30048,True
6.21,False,0.004942142709344709,4,Tokyo,True,True,14058,True
5.52,False,0.004394344669468857,1,Tokyo,True,False,13584,False
6.34,False,0.005176017242505388,3,New York,True,False,9940,True
7.86,False,0.006342750623381025,1,Tokyo,True,False,14620,True
8.37,False,0.006709257492805784,1,London,True,False,26672,False
7.1,False,0.005656739487228515,0,New York,True,True,10962,False
10.04,False,0.008028788484606158,4,London,True,False,19227,False
6.29,False,0.005087926487955608,0,Tokyo,True,False,12725,False
8.48,False,0.006774190971473307,2,Tokyo,True,False,14761,True
3.41,False,0.0026856949334089423,0,New York,True,False,7141,False
4.88,False,0.0039010040289058,3,New York,True,False,6365,True
