candle_size,noisy_day,day_of_week,session,highest_of_day,highest_of_week,total_volume,success
0.27,False,4,New York,True,False,2177,True
1.85,False,0,Sydney,True,True,7676,True
2.22,False,2,London,False,False,9494,True
1.59,False,0,New York,True,True,3369,True
0.93,False,4,New York,True,False,2933,True
0.13,False,1,New York,True,False,2439,True
0.21,False,1,New York,True,False,4365,False
0.06,False,0,Tokyo,True,True,11807,True
0.99,False,4,Sydney,True,False,4926,True
0.24,False,2,New York,True,False,1856,True
3.01,False,1,New York,False,False,13817,False
1.3,False,1,London,False,False,16240,False
0.25,False,4,Sydney,False,False,4686,True
0.46,False,1,Sydney,True,False,5886,True
0.17,False,0,London,False,False,8925,True
0.31,False,3,Sydney,True,False,2602,True
0.37,False,4,New York,True,False,4716,True
0.17,False,4,Sydney,False,False,3818,False
0.53,False,0,New York,True,False,2695,False
0.59,False,0,Sydney,True,False,4627,False
0.64,False,3,Sydney,False,False,4268,False
0.01,False,1,Sydney,True,False,3090,True
0.16,False,3,New York,True,False,3320,False
0.31,False,1,New York,True,False,3076,True
0.59,False,3,New York,True,False,4747,True
0.79,False,2,London,False,False,19698,True
0.6,False,2,New York,True,False,3960,False
0.56,False,2,Sydney,False,False,6801,False
0.92,False,3,Tokyo,True,False,9837,False
0.3,False,4,New York,True,False,1859,False
0.46,False,1,New York,True,False,1721,True
1.22,False,0,New York,False,False,1885,False
1.05,False,1,New York,False,False,3650,True
0.08,False,0,Sydney,True,False,899,True
1.61,False,3,New York,True,False,2498,False
0.65,False,3,New York,True,False,1487,True
1.31,False,3,New York,False,False,2783,False
0.55,False,0,Sydney,False,False,3972,True
0.02,False,0,New York,True,False,829,True
0.29,False,3,New York,True,False,868,False
0.58,False,3,New York,True,False,1983,False
1.56,False,2,New York,True,True,2017,False
0.44,False,1,New York,True,False,1751,True
0.4,False,1,New York,True,False,1531,True
0.8,False,0,London,True,True,5982,True
0.67,False,3,Tokyo,True,False,5426,False
1.49,False,3,London,False,False,7977,True
2.1,False,2,Sydney,True,False,2183,False
1.54,False,3,Sydney,True,False,2133,True
2.67,False,3,New York,True,True,4493,False
2.55,False,2,New York,True,False,3958,False
0.62,False,3,New York,True,False,3941,True
0.68,False,0,New York,True,True,3510,True
1.36,False,1,New York,True,False,3339,True
1.24,False,0,New York,True,True,5805,True
1.97,False,0,New York,True,True,7309,False
1.74,False,2,New York,True,False,3383,True
2.67,False,0,New York,True,True,4017,False
0.24,False,1,New York,True,False,2832,False
1.06,False,1,New York,True,False,1764,False
1.67,False,2,Sydney,True,False,6209,False
0.56,False,0,New York,True,False,1602,True
1.7,False,0,Sydney,True,False,7682,True
0.28,False,1,New York,True,False,1412,True
0.03,False,2,New York,True,False,1965,True
0.79,False,2,New York,True,False,2114,False
0.44,False,0,New York,True,True,2894,True
1.22,False,0,New York,True,True,3185,True
1.52,False,1,New York,True,False,3243,True
1.8,False,2,New York,True,False,2398,True
1.09,False,4,New York,True,False,2619,True
2.85,False,3,London,False,False,26740,True
1.94,False,0,Sydney,True,False,3973,True
1.98,False,1,Sydney,False,False,5319,False
0.27,False,4,New York,True,False,3134,True
2.1,False,0,New York,False,False,7573,False
0.17,False,2,New York,True,False,1710,False
0.82,True,1,New York,True,False,3862,True
0.02,True,1,New York,True,False,6614,True
0.3,False,2,New York,True,False,2357,True
1.32,False,0,New York,True,True,3348,False
4.56,False,4,New York,False,False,6142,True
4.87,False,2,London,False,False,7306,True
7.37,False,3,London,True,False,11910,False
2.09,False,1,New York,True,False,2282,True
0.81,False,4,New York,True,False,3080,False
1.31,False,0,New York,True,True,3136,True
2.04,False,0,Tokyo,False,False,4810,True
2.29,False,2,New York,True,False,7828,True
2.14,False,3,Tokyo,False,False,16582,False
2.96,False,4,London,True,False,8422,False
1.29,False,3,New York,False,False,3903,True
15.94,True,2,London,False,False,12282,True
1.74,False,1,London,True,False,8597,True
4.13,False,3,Sydney,True,True,6999,True
2.47,False,0,New York,True,True,3571,True
4.2,False,3,New York,False,False,7812,True
4.47,False,0,Tokyo,False,False,7060,True
7.73,False,2,Tokyo,True,True,7790,True
6.54,False,0,Tokyo,True,True,7737,True
8.77,True,4,Tokyo,False,False,7129,True
1.95,True,2,Tokyo,False,False,7572,True
13.62,True,0,New York,True,True,6656,True
4.24,True,1,New York,True,True,4401,True
7.26,True,2,New York,True,True,8501,True
1.02,False,4,New York,True,False,3951,True
1.77,True,1,Tokyo,False,False,7364,True
1.48,False,2,New York,True,False,2345,False
0.11,False,1,New York,True,False,3135,False
1.17,False,3,New York,True,False,3704,True
4.94,False,4,Sydney,True,False,9956,False
8.65,False,4,New York,False,False,8605,True
8.5,False,2,Sydney,True,True,8230,True
7.48,True,4,New York,True,False,7559,False
