candle_size,noisy_day,day_of_week,session,highest_of_day,highest_of_week,total_volume,success
0.52,False,2,Sydney,False,False,410,True
0.54,False,3,Sydney,True,False,990,True
0.94,False,4,New York,False,False,1187,True
0.59,False,3,New York,False,False,1307,True
0.22,False,1,Sydney,False,False,241,False
2.41,False,3,Tokyo,False,False,1830,False
0.82,False,2,Tokyo,False,False,1214,False
0.09,False,3,Tokyo,False,False,3062,True
1.03,False,2,London,False,False,1570,False
0.8,False,3,Tokyo,False,False,2910,False
0.01,False,0,New York,True,True,392,True
4.32,False,1,London,False,False,3941,True
0.15,False,1,Sydney,False,False,1326,True
0.23,False,3,New York,True,False,738,False
0.97,False,3,Tokyo,False,False,2057,True
0.43,False,0,New York,True,True,563,True
1.25,False,2,London,False,False,3856,True
0.35,False,0,New York,False,False,844,False
0.66,False,1,Tokyo,True,True,1122,True
0.55,False,3,New York,True,False,997,True
2.07,False,1,London,True,False,4643,True
2.0,False,0,Tokyo,False,False,2035,False
0.26,False,1,New York,False,False,1899,True
1.87,False,0,Tokyo,False,False,2876,False
0.58,False,2,Tokyo,False,False,1549,False
0.31,False,2,Tokyo,False,False,1311,True
0.92,False,4,New York,False,False,1072,True
1.15,False,0,New York,True,True,669,False
1.31,False,2,New York,True,False,377,True
1.32,False,3,New York,False,False,500,False
0.87,False,0,London,False,False,2757,True
4.54,False,0,Tokyo,False,False,3633,True
1.13,False,0,Tokyo,False,False,2805,True
0.82,False,1,New York,True,False,346,True
0.95,False,2,New York,True,False,759,True
0.2,False,0,New York,True,True,825,False
1.25,False,0,London,False,False,2383,False
0.4,False,1,Sydney,False,False,861,True
0.39,False,1,New York,True,False,302,True
0.52,False,4,Tokyo,False,False,1179,True
0.3,False,0,Sydney,False,False,222,True
2.05,False,2,London,False,False,2455,True
0.33,False,4,Sydney,False,False,2729,True
6.25,False,4,London,False,False,5749,True
0.7,False,1,Sydney,False,False,1145,True
1.47,False,4,Tokyo,False,False,1867,True
0.43,False,0,New York,False,False,1702,True
0.67,False,1,Sydney,False,False,618,False
0.22,False,2,New York,False,False,206,True
1.25,False,0,London,False,False,2542,False
0.45,False,1,New York,True,False,543,True
1.3,False,2,Sydney,False,False,1734,True
0.31,False,3,New York,True,False,673,False
0.43,False,3,Sydney,False,False,836,True
1.37,False,2,London,False,False,2013,True
0.66,False,4,New York,True,False,548,True
0.24,False,3,Sydney,False,False,555,True
0.62,False,1,Tokyo,False,False,2939,False
0.59,False,2,New York,False,False,543,True
0.52,False,2,Sydney,False,False,990,True
0.55,False,0,New York,False,False,2103,True
0.44,False,3,New York,False,False,461,False
0.03,False,3,Tokyo,False,False,991,True
1.08,False,0,London,False,False,4428,True
