candle_size,noisy_day,percentage,day_of_week,session,highest_of_day,highest_of_week,volume,success
1.54,False,0.000862725765248958,3,Tokyo,True,False,1614,True
2.42,False,0.0013447806396043455,3,New York,True,True,1680,True
1.77,False,0.0009887384367877731,2,Tokyo,False,False,1367,True
2.21,False,0.001232241229341838,2,London,True,False,1830,False
4.21,False,0.0023391357976675314,2,London,True,False,3622,True
3.17,False,0.0017488786763691735,0,New York,False,False,1292,False
2.12,False,0.0011662128338421763,1,Tokyo,True,True,1117,False
2.15,False,0.0011915846413053117,2,Tokyo,False,False,1327,False
4.78,False,0.002648742401489502,2,London,False,False,3116,False
2.08,False,0.0011547728761617127,3,Tokyo,False,False,991,False
2.99,False,0.0016448092241341374,4,Sydney,False,False,1292,False
6.38,False,0.003495296689329484,4,London,True,True,2521,False
2.09,False,0.0011456637449500347,0,Tokyo,False,False,1024,False
4.6,False,0.0025452613872781193,1,London,False,False,4180,True
3.45,False,0.0019117068494517004,1,Sydney,True,True,1203,False
2.81,False,0.001554341092132047,1,Sydney,True,True,1639,False
2.98,False,0.0016476195215268678,1,Sydney,True,True,1646,False
1.76,False,0.0009673306072198039,2,London,False,False,2127,False
3.07,False,0.0016823577119935117,2,London,False,False,2572,True
1.58,False,0.0008645785453192374,2,New York,False,False,1101,False
1.46,False,0.0007993255006734044,3,Sydney,False,False,767,False
2.99,False,0.0016381138132988545,4,Sydney,True,False,2501,False
1.05,False,0.0005763277493578062,0,Tokyo,False,False,1102,False
1.24,False,0.0006820607034026028,1,Sydney,False,False,1341,False
12.87,False,0.007071972569318519,1,London,False,False,7389,False
6.58,False,0.003606783823190853,2,London,True,True,5616,True
10.97,False,0.00597078289645563,2,London,True,True,6213,False
2.28,False,0.001239366183784959,3,Tokyo,False,False,1548,False
3.28,False,0.0017820566454956888,3,London,False,False,2746,True
3.21,False,0.0017499291305959573,4,Tokyo,False,False,2135,True
3.23,False,0.0017631389331644795,4,New York,False,False,2154,True
3.5,False,0.0019077416154755999,4,New York,False,False,520,False
3.35,False,0.0018243901907713086,0,New York,True,True,1025,False
3.77,False,0.0020529296449575255,0,Sydney,False,False,2544,False
1.73,False,0.0009393036122467816,1,Sydney,False,False,1790,False
1.69,False,0.0009433014434186584,4,New York,False,False,498,False
2.63,False,0.001469035742812617,0,Sydney,False,False,1229,False
8.6,False,0.0047824539549782006,0,London,True,True,5797,False
2.07,False,0.0011512599901002763,0,New York,False,False,1989,False
2.06,False,0.0011453161572974985,1,Sydney,True,False,971,False
2.54,False,0.001411448290424935,1,Sydney,True,False,1052,True
2.45,False,0.0013581157114586164,1,Tokyo,True,True,1935,True
2.5,False,0.0013870625898123028,2,Tokyo,True,False,1888,True
2.29,False,0.0012661657294828627,3,Sydney,True,False,915,False
1.65,False,0.0009140160202080632,3,Tokyo,False,False,2052,False
2.05,False,0.0011354384176973308,3,New York,False,False,1720,False
2.79,False,0.0015382325212127228,4,Tokyo,True,True,2617,False
0.71,False,0.00038966028209209155,1,New York,True,False,489,False
5.53,False,0.0030262401838728214,1,London,True,True,4699,False
1.3,False,0.0007116152022903062,2,Sydney,True,False,1476,True
2.44,False,0.0013327725492552314,2,London,False,False,2230,True
0.72,False,0.000392704424469849,3,New York,True,False,358,False
6.99,False,0.003805634953042058,4,London,True,False,6025,True
4.35,False,0.002363013140525947,4,London,True,False,3710,True
2.86,False,0.0015221105179965618,1,Sydney,True,True,2066,False
1.57,False,0.0008456727946523316,2,Tokyo,False,False,1237,False
3.85,False,0.002059991224972444,2,London,True,False,2477,False
2.03,False,0.001071279677877283,4,Tokyo,False,False,1878,False
5.13,False,0.002692927521929249,0,New York,False,False,1530,True
2.35,False,0.001230153952458476,1,Sydney,False,False,2431,False
1.33,False,0.0006998084734704187,2,Sydney,True,False,636,False
8.26,False,0.004337665747669686,2,London,True,False,4077,False
2.6,True,0.0013585962565447762,3,Sydney,True,False,2694,False
9.56,True,0.0049559357179885955,3,London,False,False,5618,False
6.24,False,0.0032754873862240563,4,London,False,False,3544,False
3.75,False,0.001966913885887524,0,New York,False,False,2653,True
3.54,False,0.0018532964070132089,0,New York,False,False,3911,False
5.68,False,0.0029502355513772094,1,Tokyo,True,False,4517,False
7.73,False,0.003980309568190479,1,New York,True,True,5281,True
5.75,False,0.002985570607446792,2,New York,False,False,1688,True
2.91,False,0.0015072253586781996,3,Sydney,True,False,2201,False
5.18,False,0.0026848559611058706,3,Tokyo,False,False,2652,True
