noisy_day,highest_of_day,highest_of_week,total_volume,session,day_of_week,maximum_movement
False,False,False,4064,New York,4,13.22
False,True,False,6100,London,2,21.19
False,True,False,9696,Tokyo,4,5.91
False,True,False,5472,New York,1,38.36
False,False,False,3925,New York,0,1.7
False,False,False,9439,New York,3,3.4
False,False,False,4160,New York,0,1.67
False,False,False,11884,London,1,55.34
False,False,False,13158,London,3,18.42
False,False,False,3530,New York,3,5.5
False,False,False,4083,New York,4,4.75
False,False,False,6591,Tokyo,1,26.03
False,False,False,4979,New York,2,11.56
False,False,False,14047,London,0,1.21
False,False,False,2332,New York,4,2.1
False,False,False,4936,New York,1,18.25
False,False,False,2482,New York,1,2.84
False,False,False,2637,New York,2,5.26
False,True,False,1631,Sydney,4,1.3
False,False,False,2643,New York,4,192.81
False,False,False,14345,London,4,65.37
False,False,False,8493,New York,3,2.16
False,False,False,4442,New York,3,3.4
False,False,False,15190,London,1,4.81
False,False,False,14712,Tokyo,0,13.09
False,False,False,3083,Tokyo,2,8.67
False,False,False,7463,New York,0,13.76
False,False,False,5540,Tokyo,3,78.78
False,True,False,5237,New York,0,19.53
False,True,False,2167,New York,2,9.1
False,True,False,5154,Sydney,4,14.04
False,False,False,6577,New York,3,3.15
False,False,False,14685,London,3,3.61
False,False,False,3612,New York,3,2.11
False,False,False,17244,London,1,238.65
True,True,False,16325,New York,1,16.56
True,True,False,13725,New York,2,12.41
False,False,False,6511,New York,4,12.2
False,True,False,2582,New York,3,3.72
False,False,False,5661,New York,1,2.63
False,False,False,8338,New York,4,5.86
False,False,False,7514,New York,2,3.62
False,False,False,22072,London,3,7.97
False,False,False,3894,New York,1,2.42
False,False,False,3566,New York,4,4.21
False,False,False,4021,New York,1,23.83
False,False,False,4593,New York,0,8.7
False,True,False,4286,Sydney,1,2.12
False,False,False,5184,Sydney,2,4.39
False,True,False,5941,New York,1,2.9
False,True,False,4577,Sydney,2,3.13
False,True,False,6979,Tokyo,1,4.47
False,True,False,11947,New York,2,24.58
False,True,False,4918,New York,1,12.42
False,True,True,3645,Sydney,0,13.02
False,False,False,3156,New York,0,10.39
False,False,False,7386,New York,3,65.61
False,False,False,4254,New York,3,3.97
False,False,False,4506,New York,0,4.07
False,True,False,4772,New York,2,7.51
False,True,False,9796,Tokyo,1,6.34
False,False,False,5914,New York,3,4.57
True,False,False,11355,New York,4,26.05
False,False,False,10322,New York,1,7.42
False,False,False,6646,New York,4,13.53
False,True,False,8778,Sydney,3,13.73
False,False,False,13303,New York,2,10.92
False,False,False,7148,New York,3,2.1
False,False,False,8530,New York,1,4.37
False,True,False,2401,New York,4,2.4
False,False,False,5480,New York,3,1.38
False,True,False,8837,New York,4,30.43
False,False,False,4106,New York,3,3.36
False,False,False,1720,New York,2,1.31
False,False,False,1807,New York,4,2.65
False,False,False,3045,New York,1,1.48
False,True,False,4429,New York,3,15.23
False,False,False,13184,London,0,2.92
False,False,False,3491,New York,0,1.51
False,False,False,4157,New York,1,1.81
False,True,False,22308,London,2,5.49
False,True,False,1579,New York,3,1.81
False,False,False,3359,New York,3,1.27
False,False,False,2797,Sydney,1,4.71
False,False,False,2820,New York,1,0.89
False,True,False,6950,Tokyo,4,4.48
False,False,False,3698,New York,2,3.04
False,False,False,3746,New York,3,4.55
False,False,False,3264,New York,1,3.32
False,True,False,5090,New York,4,6.23
False,False,False,4977,London,4,12.9
False,False,False,4515,New York,0,7.36
False,False,False,5477,New York,1,1.44
False,True,False,16405,New York,2,3.28
False,False,False,4090,New York,0,1.62
False,False,False,5330,New York,3,4.26
False,False,False,6073,New York,2,3.0
False,False,False,6016,New York,0,1.91
False,False,False,4718,New York,3,7.42
False,True,False,5984,Tokyo,4,5.88
False,False,False,7866,New York,0,6.12
False,False,False,15903,New York,2,28.02
False,True,False,8818,New York,1,2.01
False,False,False,4431,New York,4,7.21
False,True,False,15995,London,3,38.05
False,False,False,2853,New York,0,6.67
False,False,False,3454,New York,4,13.61
False,False,False,3735,New York,4,2.85
False,True,False,5909,Tokyo,0,8.1
False,False,False,7739,New York,4,5.14
False,True,False,2870,New York,4,3.92
False,True,False,12358,London,1,10.58
False,False,False,5997,New York,2,5.56
False,False,False,14002,New York,4,4.78
False,False,False,957,New York,0,16.7
False,False,False,9718,New York,4,8.55
False,True,False,11093,New York,0,20.05
False,False,False,8633,New York,4,8.71
False,False,False,6148,New York,4,5.01
False,False,False,5120,New York,0,4.77
False,True,False,11170,New York,0,1.65
False,True,False,8047,Sydney,2,8.78
False,False,False,19473,London,3,8.76
False,True,False,8808,Sydney,4,39.0
False,False,False,12034,Tokyo,3,23.97
False,False,False,10170,New York,1,2613.66
False,False,False,5353,Sydney,2,3.75
False,False,False,4570,New York,3,1.17
False,False,False,11216,Tokyo,4,9.12
False,True,False,10839,New York,3,2595.86
False,False,False,5239,New York,4,93.65
False,False,False,5449,New York,4,2.67
False,True,False,10734,Tokyo,1,5.36
False,False,False,5948,New York,4,2.36
False,True,False,6266,Sydney,2,2571.63
False,False,False,12279,New York,1,1.11
False,True,False,12951,Tokyo,4,12.53
False,True,False,10567,Sydney,2,6.36
False,False,False,5158,Sydney,0,8.99
False,True,False,17086,New York,1,6.18
False,False,False,4606,New York,2,4.6
False,False,False,6881,New York,2,4.58
False,False,False,7559,New York,2,4.86
False,True,False,5509,New York,2,33.23
False,False,False,4495,New York,3,0.91
False,True,False,13903,New York,2,3.49
False,False,False,4666,New York,4,12.83
False,False,False,5375,New York,0,1.53
False,False,False,6306,New York,1,3.52
False,False,False,6460,New York,2,5.55
False,True,False,6547,New York,2,12.22
False,False,False,8978,Tokyo,4,6.6
False,False,False,5611,New York,3,4.3
False,True,False,2541,New York,1,2.08
False,True,False,10438,Tokyo,1,5.13
False,False,False,4047,New York,2,5.49
False,False,False,3535,New York,2,1.8
False,False,False,3963,New York,2,1.64
False,True,False,15049,Tokyo,0,7.15
False,False,False,6699,New York,3,2512.8
False,False,False,7506,New York,0,1.06
False,False,False,5461,New York,2,13.99
False,True,False,8714,Sydney,4,4.4
False,False,False,4400,New York,2,1.75
False,False,False,4192,New York,0,167.12
False,False,False,1929,New York,1,3.46
True,False,False,12020,New York,4,35.76
True,True,False,14464,New York,3,9.62
True,True,False,135913,London,4,17.19
True,False,False,19944,New York,1,1.94
False,True,False,2898,Sydney,4,3.17
False,False,False,6133,New York,2,2.27
False,False,False,25408,London,4,2334.99
False,False,False,12248,Tokyo,1,2267.02
True,True,False,5218,New York,4,57.68
False,True,False,6369,New York,2,56.67
False,True,False,2016,New York,2,2.54
False,False,False,3998,New York,3,2.04
False,True,False,5330,Sydney,0,154.1
False,False,False,3148,New York,0,3.22
False,False,False,3642,New York,3,3.01
False,False,False,5607,New York,4,36.23
False,False,False,5619,New York,0,4.41
False,True,False,8239,London,2,6.48
True,True,False,5398,New York,3,5.08
False,False,False,7567,Tokyo,0,73.39
False,False,False,7595,Tokyo,2,2.71
True,True,False,34650,London,0,2007.12
False,False,False,10645,New York,4,2.29
False,True,False,2496,New York,3,3.85
