candle_size,noisy_day,day_of_week,session,lowest_of_day,lowest_of_week,total_volume,success
0.14,False,3,New York,True,False,443,True
1.15,False,3,London,False,False,1070,True
0.17,False,0,New York,True,True,382,True
0.18,False,0,Tokyo,False,False,1509,True
0.62,False,4,London,False,False,1728,True
0.68,False,3,Tokyo,True,False,1779,True
1.94,False,1,Tokyo,False,False,2363,True
0.93,False,0,New York,False,False,863,False
0.12,False,4,New York,True,False,360,False
1.03,False,2,Tokyo,False,False,1572,False
0.29,False,1,Sydney,False,False,921,True
0.62,False,3,London,False,False,921,False
0.15,False,4,Sydney,False,False,1800,True
0.84,False,2,London,False,False,3312,False
1.34,False,3,Tokyo,False,False,1683,True
0.79,False,1,Sydney,False,False,683,False
1.87,False,4,London,False,False,5882,False
0.46,False,1,Sydney,False,False,1553,True
0.3,False,4,Tokyo,False,False,1791,True
0.15,False,2,New York,True,False,556,False
1.49,False,1,New York,False,False,1944,True
0.04,False,2,New York,True,False,369,True
0.52,False,2,Tokyo,False,False,1378,False
2.0,False,0,New York,True,True,1284,False
1.75,False,0,Tokyo,False,False,3049,False
3.12,False,0,London,False,False,4664,True
1.81,False,3,New York,False,False,1292,True
0.47,False,2,London,False,False,4681,True
0.55,False,3,Sydney,False,False,2406,False
0.48,False,2,New York,False,False,2889,True
1.23,False,0,Tokyo,False,False,2115,False
2.94,False,0,Tokyo,False,False,2662,False
1.52,False,4,Sydney,False,False,1625,True
0.11,False,0,Tokyo,False,False,2198,True
0.76,False,3,Sydney,False,False,1785,False
0.02,False,1,New York,True,False,385,True
0.68,False,0,New York,True,True,369,False
1.2,False,1,New York,False,False,1192,False
1.42,False,1,London,False,False,1673,False
0.6,True,0,Tokyo,True,True,3715,True
2.89,False,1,Sydney,False,False,1369,True
0.14,False,0,Sydney,False,False,1072,True
2.79,False,2,London,True,True,4835,True
1.33,False,4,New York,True,False,507,True
1.42,False,0,Sydney,False,False,1009,False
0.56,False,0,Sydney,False,False,1895,False
0.72,False,2,Sydney,True,False,1363,True
0.79,False,1,Sydney,False,False,521,False
1.01,False,4,Tokyo,False,False,1667,True
0.92,False,1,New York,True,False,463,False
0.16,False,1,Sydney,True,False,483,True
1.45,False,1,London,False,False,3819,False
1.11,False,1,Sydney,False,False,1262,False
1.74,False,1,Tokyo,False,False,3370,False
1.96,False,2,Tokyo,True,True,3234,False
0.66,False,3,London,False,False,3115,True
1.91,False,2,London,False,False,5097,True
0.66,False,2,Tokyo,False,False,1775,True
1.49,False,4,Tokyo,False,False,3924,False
1.31,False,4,Tokyo,False,False,2737,True
0.9,False,4,New York,True,True,3360,True
1.94,False,3,London,False,False,6360,True
0.22,False,3,New York,True,False,987,False
1.32,False,0,Tokyo,True,True,2451,True
0.98,False,1,Tokyo,False,False,3708,False
0.12,False,4,New York,True,False,782,False
0.16,False,3,New York,True,False,684,True
0.57,False,1,Sydney,False,False,739,True
1.2,False,3,New York,False,False,3632,True
0.82,False,3,New York,True,False,755,True
0.2,False,4,New York,True,False,579,True
1.45,False,4,London,False,False,3003,False
0.83,False,4,Tokyo,False,False,1998,True
0.31,False,3,London,False,False,2963,False
0.58,False,4,Tokyo,False,False,2295,False
2.33,False,2,Tokyo,True,False,4050,True
0.98,False,0,Tokyo,False,False,4823,True
1.03,False,0,London,False,False,8035,True
1.1,False,1,London,False,False,5902,False
1.17,False,3,Tokyo,False,False,3075,True
0.28,False,1,New York,False,False,1014,False
0.34,False,3,New York,False,False,1664,True
0.09,False,4,Sydney,False,False,444,False
0.72,False,1,Sydney,True,False,1516,False
0.24,False,2,New York,True,False,371,False
1.73,False,3,Sydney,False,False,1568,False
0.84,False,4,Tokyo,False,False,1709,True
0.18,False,0,New York,False,False,535,True
1.36,False,4,New York,False,False,1570,True
0.64,False,0,New York,True,False,556,False
1.07,False,1,Tokyo,False,False,2249,True
1.41,False,0,Tokyo,True,False,3415,True
0.48,False,4,Sydney,False,False,937,False
1.09,False,1,Tokyo,False,False,2693,True
1.15,False,4,London,False,False,4370,True
1.8,False,2,London,False,False,6257,False
0.49,False,3,London,False,False,2455,True
0.56,False,1,New York,False,False,1811,False
1.27,False,2,Tokyo,False,False,2183,True
0.15,False,3,London,False,False,2088,True
0.39,False,0,New York,True,False,863,True
0.54,False,3,New York,False,False,424,False
0.64,False,2,Tokyo,True,False,1391,True
0.91,False,4,Sydney,False,False,1106,True
0.39,False,1,New York,False,False,2195,True
0.68,False,3,New York,False,False,594,True
0.32,True,4,Sydney,False,False,1261,True
1.53,True,4,London,False,False,4989,True
2.23,False,4,Sydney,False,False,2191,False
0.09,False,4,Sydney,False,False,2111,True
0.61,False,1,New York,True,False,635,False
