candle_size,gap_size,noisy_day,percentage,day_of_week,session,entry_day_of_week,entry_session,lowest_of_day,lowest_of_week,total_volume,success
3.46,0.6999999999998181,False,0.0019654735598361723,1,New York,2,London,False,False,5779,True
2.9,0.15999999999985448,False,0.001648289189496419,2,Sydney,2,London,True,False,3172,True
4.21,0.42000000000007276,False,0.002393963345634855,2,Sydney,2,London,True,False,5210,True
5.07,0.11999999999989086,False,0.00288982746533062,2,Tokyo,2,Tokyo,True,False,5666,True
8.87,0.5099999999999909,False,0.005068542465471625,2,Tokyo,2,Tokyo,True,True,18134,False
5.73,1.7699999999999818,False,0.0032541287112968814,3,Sydney,3,Tokyo,True,False,6359,False
5.24,0.37999999999988177,False,0.002976883702697943,3,Sydney,3,Tokyo,True,False,5623,True
8.67,0.9800000000000182,False,0.004922500425821836,3,Tokyo,3,Tokyo,False,False,13370,False
12.78,1.6099999999999,False,0.007263633521839211,3,London,3,London,True,False,19857,True
4.26,0.43000000000006366,False,0.0024245597659673765,3,New York,3,New York,False,False,7378,True
4.55,0.25,False,0.002586917588196833,4,Tokyo,4,Tokyo,False,False,6158,True
4.18,0.3100000000001728,False,0.002378892733564014,4,New York,0,New York,False,False,5102,True
5.48,1.5900000000001455,False,0.003118864005008395,0,Sydney,0,Tokyo,False,False,6945,True
5.11,0.41000000000008185,False,0.002908681075358178,0,New York,1,Sydney,False,False,9738,False
3.77,0.1999999999998181,False,0.0021473283703657294,0,New York,0,New York,False,False,8379,True
3.51,0.06999999999993634,False,0.0019541144966345805,4,New York,4,Sydney,True,False,3474,True
4.96,0.4399999999998272,False,0.0027656964425114305,4,Tokyo,4,Tokyo,True,False,7425,True
9.12,2.2100000000000364,False,0.005112652132233814,4,Tokyo,1,London,True,False,12519,True
18.88,1.7300000000000182,False,0.010612047596832123,4,London,1,Tokyo,True,False,19675,False
5.16,1.6299999999998818,False,0.0029173639694242163,0,Sydney,0,Tokyo,False,False,6188,True
3.78,0.4800000000000182,False,0.002141764405915349,0,New York,1,New York,False,False,4646,True
5.63,0.6900000000000546,False,0.003162548238690941,1,Tokyo,1,London,False,False,11583,True
15.57,2.8700000000001182,False,0.008780091691901677,1,London,2,Sydney,False,False,28839,True
5.63,0.1899999999998272,False,0.003115816504419146,1,Sydney,3,London,True,False,6851,True
4.1,0.05999999999994543,False,0.002273319545557878,1,Sydney,1,Tokyo,True,False,6581,True
22.19,3.990000000000009,False,0.012395055383945081,1,London,1,London,True,True,28501,False
4.59,1.0499999999999545,False,0.002551233095996398,3,New York,4,New York,False,False,7023,False
22.4,1.4100000000000819,False,0.01248961521948826,4,London,0,London,True,True,21276,True
24.13,9.470000000000027,False,0.01353154931473049,4,London,4,New York,True,True,31361,False
4.37,1.0,False,0.00245322315348644,0,New York,0,Sydney,True,True,3366,True
3.37,0.01999999999998181,False,0.0018812207280380039,1,Sydney,1,Sydney,True,False,5929,True
7.3,0.2300000000000182,False,0.004071343320208363,1,Tokyo,1,London,True,False,12191,True
27.58,7.310000000000173,False,0.01560731585857214,2,London,2,New York,True,True,29226,False
8.0,1.1799999999998363,False,0.004459532529502595,3,London,3,London,False,False,18583,True
3.47,0.6199999999998909,False,0.0019370324885564364,4,New York,4,New York,True,False,3930,True
5.3,0.05999999999994543,False,0.002918293293982259,0,Sydney,0,Sydney,True,True,4050,False
17.18,0.8299999999999272,False,0.009281920784911205,2,New York,2,New York,False,False,21493,True
9.69,2.1299999999998818,False,0.005249471802372826,3,Sydney,3,Sydney,True,False,9888,False
6.5,0.9199999999998454,False,0.0035004389011853024,4,Sydney,4,Sydney,True,False,9201,False
10.32,1.3299999999999272,False,0.005565562542469773,4,Tokyo,4,London,True,False,13496,False
5.44,0.07000000000016371,False,0.0029159519725557464,1,Tokyo,1,Tokyo,False,False,8517,False
20.66,0.9700000000000273,False,0.011080956416335025,1,London,2,London,True,False,29617,True
6.14,0.5,False,0.003288945073545954,3,Sydney,3,Sydney,True,False,10268,True
4.94,0.2999999999999545,False,0.0026530184798311523,4,Tokyo,4,Tokyo,False,False,6092,True
7.43,1.25,False,0.003996342512908778,4,Tokyo,4,Tokyo,True,False,8088,True
8.01,0.17000000000007276,False,0.004337325911325781,0,Tokyo,0,Tokyo,True,True,6827,True
8.44,0.3999999999998636,False,0.004573583760526287,0,Tokyo,0,Tokyo,True,True,8949,True
31.48,0.8900000000001,False,0.017121536804777498,0,London,2,London,True,True,28567,True
17.3,6.1099999999999,False,0.00956609730877482,0,New York,1,New York,True,True,21443,True
13.81,0.2699999999999818,False,0.007644278138803707,0,New York,0,New York,True,True,18832,True
8.29,0.7300000000000182,False,0.00463097445981275,2,Tokyo,2,London,True,False,13225,True
8.6,0.9500000000000455,False,0.004811296476564511,2,London,2,London,True,False,12808,True
4.66,0.05999999999994543,False,0.0025989526109434866,3,Tokyo,4,Sydney,False,False,6954,True
4.68,0.2400000000000091,False,0.0026120152702431183,3,Tokyo,3,London,False,False,6414,True
9.13,0.5599999999999454,False,0.0050887890577101,0,London,0,London,False,False,10082,True
8.69,0.9900000000000091,False,0.0048439511925930465,1,London,1,London,False,False,11443,False
38.92,7.610000000000127,False,0.02191922775834784,1,London,1,New York,True,True,36674,False
15.27,0.8700000000001182,False,0.008554238465502947,2,Tokyo,2,Tokyo,False,False,18088,False
5.48,0.42000000000007276,False,0.0030798109400729493,3,Sydney,3,London,True,False,8514,True
5.99,0.32999999999992724,False,0.0033675523123109616,3,Sydney,3,Tokyo,True,False,8549,True
7.25,0.14999999999986358,False,0.004107904741938591,3,New York,3,New York,True,True,20057,False
8.44,0.9700000000000273,False,0.004766261195631304,4,Tokyo,4,Tokyo,False,False,11175,False
7.8,0.4900000000000091,False,0.0044073025613208345,4,Tokyo,4,Tokyo,True,False,11431,False
6.41,1.490000000000009,False,0.0035920828476643054,0,Sydney,0,Tokyo,False,False,7429,True
4.28,0.5699999999999363,False,0.002407023108546619,1,Sydney,1,Sydney,True,False,6602,False
7.12,0.25,False,0.003995376137728247,1,Tokyo,1,Tokyo,False,False,11666,False
9.14,0.9900000000000091,False,0.005133995023282724,3,London,3,London,True,False,11825,True
10.22,0.650000000000091,False,0.005745317172989139,3,London,3,London,True,False,16705,True
6.42,1.9600000000000364,False,0.0035962558607207074,1,Tokyo,1,Tokyo,True,False,9458,True
7.39,0.14000000000010004,False,0.00410879693980807,0,Tokyo,0,London,True,True,11109,True
7.03,1.3500000000001364,False,0.00392399834779017,0,New York,1,New York,True,True,11237,True
5.1,0.03000000000020009,False,0.0028485731999530824,0,New York,1,New York,True,True,9328,True
15.52,1.9500000000000455,False,0.008651975404307033,1,London,2,London,True,True,21646,True
4.74,1.1600000000000819,False,0.0026238582895101027,0,Tokyo,0,Tokyo,True,True,6985,True
6.27,2.1099999999999,False,0.003466520707900018,0,New York,0,New York,False,False,11342,False
4.08,0.4500000000000455,False,0.0022538074430886,1,Sydney,1,Sydney,True,False,6759,True
5.22,0.42000000000007276,False,0.0028915662650602406,2,Tokyo,2,New York,True,True,7480,True
4.99,0.7599999999999909,False,0.002771313847127886,3,Sydney,3,Tokyo,True,False,6017,True
4.66,1.3300000000001546,False,0.0025901983780689127,3,Tokyo,3,Tokyo,True,False,6471,False
7.42,0.7400000000000091,False,0.004061613916775232,0,Sydney,0,Tokyo,True,True,6761,True
6.07,2.150000000000091,False,0.00332909198604743,0,London,2,London,False,False,8653,False
21.41,0.2699999999999818,False,0.011750371829841883,0,London,2,London,True,True,17871,False
20.48,10.340000000000146,False,0.011308419471684778,0,London,1,London,True,True,26104,False
12.72,0.8599999999999,False,0.007058901874604602,0,London,0,New York,True,True,28210,True
3.85,0.37999999999988177,False,0.002133886111449823,1,Sydney,1,Sydney,False,False,8288,True
10.05,0.25,False,0.005567651116023202,1,London,1,London,True,False,12593,False
16.62,8.350000000000136,False,0.009160557790883537,2,New York,1,London,True,False,19003,False
4.88,1.0599999999999454,False,0.0027005340195346006,3,Sydney,3,Sydney,True,False,8374,True
9.96,3.0599999999999454,False,0.005544329587014245,3,Tokyo,3,Tokyo,True,True,17234,False
14.8,3.8099999999999454,False,0.008253263663891414,3,London,3,London,True,True,21394,True
4.13,0.8899999999998727,False,0.0023057554559310395,4,Tokyo,4,Tokyo,True,False,6271,True
6.78,1.4700000000000273,False,0.003728757630754001,2,Tokyo,2,Tokyo,True,False,10259,True
10.77,1.5599999999999454,False,0.005919924365683127,4,London,0,Sydney,True,False,21556,False
7.16,0.18000000000006366,False,0.003939217218120399,4,New York,4,New York,True,False,16797,True
4.0,0.2300000000000182,False,0.0022074933361294915,2,Sydney,2,Sydney,True,False,11632,True
5.03,1.3999999999998636,False,0.0027333985436365613,3,New York,3,Sydney,True,False,8338,False
4.19,0.10999999999989996,False,0.0022750842975745103,3,New York,4,Sydney,False,False,12597,True
11.88,4.769999999999982,False,0.006473408892763732,4,London,0,New York,False,False,31363,False
7.21,0.12999999999988177,False,0.0039176266029124105,0,Tokyo,0,London,False,False,16709,True
4.22,0.8699999999998909,False,0.0022919585926722496,1,Sydney,1,Sydney,True,False,11651,False
6.37,1.0,False,0.003463123443769096,1,Tokyo,1,Tokyo,True,False,15126,True
6.89,3.310000000000173,False,0.0037281128931021795,1,New York,2,New York,False,False,10539,True
8.88,0.30999999999994543,False,0.004884380981716574,3,Sydney,0,London,True,True,14586,True
6.55,1.2799999999999727,False,0.003611840218805832,3,Tokyo,3,Tokyo,True,True,12066,True
6.81,0.9199999999998454,False,0.0037918861431896385,4,Tokyo,0,London,True,False,14534,False
7.83,2.740000000000009,False,0.004367055778958934,4,Tokyo,4,London,True,True,15674,True
9.44,0.21000000000003638,False,0.005268621563396475,4,Tokyo,4,London,True,True,15477,True
12.67,2.3199999999999363,False,0.007087596426553593,4,Tokyo,4,London,True,True,15310,True
4.63,0.2999999999999545,False,0.0025901518287702653,0,Sydney,0,Sydney,True,True,5932,False
7.2,0.290000000000191,False,0.003993100809157511,1,New York,2,Tokyo,False,False,15746,True
4.32,1.650000000000091,False,0.00240161441858138,2,Sydney,2,Sydney,True,False,4522,True
4.34,0.15000000000009095,False,0.0023825470196203297,1,Sydney,1,London,True,False,7425,True
2.31,0.18000000000006366,False,0.0012648178060065158,2,New York,2,Sydney,True,False,5564,False
4.53,0.36999999999989086,False,0.0024707518612451934,2,New York,3,New York,False,False,9338,True
11.05,3.130000000000109,False,0.006037129713605123,3,New York,4,London,False,False,22760,True
10.2,1.1799999999998363,False,0.0055809983421151975,3,New York,4,New York,False,False,17022,True
4.26,0.07999999999992724,False,0.0023327766065219173,4,Sydney,4,Sydney,True,False,10229,True
8.06,2.1299999999998818,False,0.004345294574312085,0,Sydney,0,Tokyo,True,True,15626,True
8.21,0.2799999999999727,False,0.0044290515571811595,0,Sydney,0,Sydney,True,True,10818,True
22.12,0.40000000000009095,False,0.011783319039222685,1,Tokyo,3,Tokyo,True,False,17062,False
26.61,13.490000000000009,False,0.014293003894185578,1,Tokyo,2,London,True,False,20450,False
13.3,0.9400000000000546,False,0.007176697855624265,1,London,1,London,True,True,16023,True
7.99,0.8899999999998727,False,0.004201570198825243,1,New York,2,London,False,False,16637,True
5.71,1.6100000000001273,False,0.003009555734758524,2,Sydney,2,Tokyo,True,False,6096,True
53.85,15.11999999999989,True,0.02774743394204213,3,London,1,New York,False,False,38220,True
21.86,1.259999999999991,False,0.011543904860480344,4,London,0,New York,True,False,33722,False
26.02,6.170000000000073,False,0.013700216928876813,0,London,0,New York,True,True,31067,False
6.4,1.099999999999909,False,0.0033613268837873753,1,Sydney,1,Sydney,True,False,8674,False
13.3,5.829999999999927,False,0.006869692774942667,2,Sydney,2,Sydney,True,False,12402,False
20.7,1.0699999999999363,False,0.010770647643725706,2,London,2,New York,False,False,26439,False
7.13,0.20000000000004547,False,0.0036990728971574727,3,Sydney,3,Tokyo,True,False,9067,True
8.53,0.30999999999994543,False,0.004427764627714796,3,Sydney,3,Tokyo,True,False,8983,True
6.62,0.30999999999994543,False,0.003416086568381074,4,Tokyo,4,Tokyo,False,False,7507,True
15.39,2.160000000000082,False,0.00775209417358848,0,Tokyo,0,Tokyo,True,True,15750,False
20.85,5.410000000000082,False,0.010476018208676253,0,London,0,London,False,False,25824,True
19.02,2.990000000000009,True,0.009293507737260516,2,Sydney,2,Sydney,True,False,9059,False
45.07,23.02000000000021,True,0.022321605451880028,2,Tokyo,2,London,True,False,25689,True
45.59,11.629999999999882,True,0.022821130194072215,2,London,2,London,True,False,35134,True
24.84,2.9700000000000273,True,0.012489001734583574,2,New York,2,New York,False,False,26675,False
22.87,5.480000000000018,False,0.011528147431244456,3,Sydney,3,Sydney,True,False,12249,True
10.55,0.009999999999990905,False,0.005296902692634042,4,Sydney,4,Tokyo,True,False,5999,True
14.47,1.7100000000000364,False,0.007275597835924459,4,Sydney,4,Tokyo,True,False,7498,False
32.08,9.279999999999973,False,0.01620447542556953,4,London,4,London,True,False,16898,False
18.0,5.110000000000127,False,0.009148107866356309,0,Tokyo,0,London,True,True,14069,True
11.34,0.6100000000001273,False,0.005797308903521328,0,New York,3,Tokyo,False,False,11884,True
14.96,0.6000000000001364,False,0.007669631642357284,1,Sydney,3,Tokyo,True,True,9199,True
17.8,4.069999999999936,False,0.009192315637265028,1,Sydney,3,Sydney,True,True,8306,True
17.27,3.980000000000018,False,0.008938368217294993,1,Tokyo,1,Tokyo,True,True,9962,True
13.67,2.3099999999999454,False,0.007112419939749946,1,New York,2,Sydney,False,False,10465,False
13.96,1.7199999999998,False,0.007278794514833933,1,New York,2,New York,False,False,7475,True
8.13,0.900000000000091,False,0.004238083322907545,2,Sydney,2,Sydney,False,False,5190,True
12.59,1.2200000000000273,False,0.006492234071079392,4,Sydney,4,Tokyo,True,False,5584,True
15.47,1.2899999999999636,False,0.007993221004552053,4,Sydney,4,Sydney,True,False,6646,True
13.32,2.269999999999982,False,0.006922177471742237,4,New York,0,New York,True,False,12370,True
6.06,0.7000000000000455,False,0.003147545070663945,0,Tokyo,0,Tokyo,False,False,7172,True
14.89,1.300000000000182,False,0.0077016179087185015,1,Tokyo,2,Tokyo,True,False,10588,True
13.39,6.2000000000000455,False,0.006952088222466824,1,Tokyo,1,Tokyo,True,False,13009,True
8.86,1.900000000000091,False,0.004558785695909441,3,Sydney,3,Tokyo,True,False,8769,True
6.95,0.20000000000004547,False,0.003547094699772884,4,Tokyo,4,Tokyo,True,False,7665,True
7.55,0.12000000000011823,False,0.0038587937053108246,4,Tokyo,4,Tokyo,True,False,8622,True
13.59,5.240000000000009,False,0.006970696402833416,0,Sydney,3,New York,True,True,16531,True
23.12,5.769999999999982,False,0.011992447662717596,0,New York,1,Sydney,True,True,15941,True
7.21,0.08999999999991815,False,0.0037449681859498766,1,Sydney,2,Sydney,True,False,8987,True
15.22,0.8700000000001182,False,0.007923823010323877,1,Tokyo,1,New York,True,True,15822,True
14.95,3.759999999999991,False,0.007806054783362399,1,Tokyo,1,Tokyo,True,True,18118,True
26.25,2.3500000000001364,False,0.013744678845761141,1,London,1,London,True,True,27706,False
9.15,0.4800000000000182,False,0.004746318361249294,3,Sydney,3,Tokyo,True,False,11374,True
8.17,0.2599999999999909,False,0.004247244749428156,3,Tokyo,3,Tokyo,True,False,8996,False
14.84,1.449999999999818,False,0.007639010428999413,3,New York,1,London,False,False,13317,True
12.25,2.0799999999999272,False,0.006347347585935314,4,London,4,London,True,False,15464,True
8.63,0.5299999999999727,False,0.004487242815471889,0,Sydney,0,Tokyo,True,True,7580,False
5.38,0.6199999999998909,False,0.0027866262657654157,1,Sydney,1,Tokyo,True,False,6465,False
26.61,1.6900000000000546,False,0.013819571754270253,1,London,1,New York,True,False,24947,True
6.26,0.0500000000001819,False,0.0032576680092838337,2,Sydney,2,Sydney,True,False,6084,True
15.14,1.8299999999999272,False,0.007867959631234865,2,London,2,London,False,False,16220,False
9.75,0.6400000000001,False,0.005064961376422735,2,New York,2,New York,False,False,16016,True
4.41,0.4500000000000455,False,0.002291980666285536,3,Sydney,3,Sydney,True,False,3682,True
6.88,0.9700000000000273,False,0.0035626071241786064,4,Sydney,4,Sydney,True,False,9055,True
23.9,6.220000000000027,False,0.012236518070623651,0,London,0,London,False,False,34361,True
7.85,1.6299999999998818,False,0.003973416074872319,3,Sydney,3,Tokyo,True,False,8722,True
14.19,5.279999999999973,False,0.007166123778501628,0,New York,0,New York,False,False,18166,True
17.96,0.5899999999999181,False,0.00917881309156326,1,London,1,London,True,True,34096,True
11.18,0.6000000000001364,False,0.005729337487700886,2,London,2,London,False,False,24539,True
6.44,1.290000000000191,False,0.0032977274356584705,3,Sydney,3,Tokyo,True,False,11926,True
10.43,0.8600000000001273,False,0.005348635662015456,3,Tokyo,3,New York,True,False,16488,False
9.83,2.009999999999991,False,0.005046926662970037,3,Tokyo,3,London,True,False,16336,True
13.75,6.910000000000082,False,0.007072608686706582,4,Tokyo,4,Tokyo,True,False,19038,True
7.97,1.740000000000009,False,0.004133946077160077,0,Sydney,0,Sydney,True,True,12460,True
6.02,0.38000000000010914,False,0.0031279389376438617,0,Sydney,0,Sydney,True,True,17505,False
11.46,2.519999999999982,False,0.005970615817442951,0,Tokyo,0,Tokyo,True,True,14687,True
14.08,4.75,False,0.00736802444844476,0,London,1,London,True,True,20334,True
6.52,0.11000000000012733,False,0.0034565021470603827,2,New York,3,Sydney,False,False,11471,True
8.46,1.4099999999998545,False,0.0045013408249265745,3,Sydney,3,Tokyo,True,True,15164,False
17.3,0.6100000000001273,False,0.00904069357274623,4,London,4,London,False,False,29377,True
10.59,1.8699999999998909,False,0.005629265803406264,0,Tokyo,0,Tokyo,True,True,12819,True
27.71,11.299999999999955,False,0.014861654143403432,0,London,0,London,True,True,28567,True
7.71,1.7799999999999727,False,0.004144047299113142,1,Tokyo,1,Tokyo,True,False,9136,True
6.93,1.0900000000001455,False,0.0037136472517402697,2,Sydney,2,Sydney,True,False,7263,True
10.46,0.5299999999999727,False,0.005509932100358725,3,Tokyo,3,Tokyo,False,False,17852,True
12.64,2.2000000000000455,False,0.006668917778152964,3,Tokyo,3,Tokyo,False,False,20222,False
26.91,1.9100000000000819,False,0.014198055219935316,3,London,3,London,False,False,36509,True
34.19,6.630000000000109,False,0.01812533464806951,3,London,4,London,True,False,36703,True
22.76,5.539999999999964,False,0.012123665651034454,3,London,3,New York,True,False,31014,True
11.92,1.150000000000091,False,0.006364597460568329,4,Sydney,4,Sydney,True,False,16372,False
6.18,0.5299999999999727,False,0.0032980931898111336,0,Tokyo,4,Sydney,True,True,13860,True
12.52,1.259999999999991,False,0.006735709482178883,0,New York,1,Sydney,True,True,18699,False
23.03,4.819999999999936,False,0.012447504823881048,1,London,2,Tokyo,True,True,31506,True
8.28,4.309999999999945,False,0.004514180414563138,2,Sydney,2,Sydney,True,True,7352,False
21.36,6.819999999999936,False,0.011693281290202497,3,New York,4,Sydney,True,True,24102,True
11.59,1.4100000000000819,False,0.00636627795202496,4,London,0,New York,False,False,14088,False
21.47,2.4500000000000455,False,0.01185834060556519,4,London,4,London,True,True,23618,True
8.08,1.2799999999999727,False,0.004456554112936141,0,Sydney,0,London,True,True,14849,True
17.88,2.3299999999999272,False,0.009793396577788488,1,London,3,Tokyo,True,False,24657,False
13.08,1.1499999999998636,False,0.007208080986206554,2,London,2,London,True,False,16595,True
6.74,0.900000000000091,False,0.0036644973277441596,4,Sydney,4,Sydney,True,False,9684,False
14.34,0.40000000000009095,False,0.007790387509303374,4,London,4,London,True,False,20367,True
9.51,0.7100000000000364,False,0.005134268407243044,0,London,0,New York,False,False,18702,False
5.18,0.900000000000091,False,0.00279641756236605,1,Sydney,1,Sydney,True,False,6157,False
4.99,0.7200000000000273,False,0.0026955051506295817,1,Sydney,1,Sydney,True,False,7029,False
6.52,0.049999999999954525,False,0.003513858723477642,1,Tokyo,1,Tokyo,False,False,7637,False
8.29,1.6800000000000637,False,0.004449334478316874,2,Sydney,2,Sydney,True,False,9003,True
9.34,2.6800000000000637,False,0.0050590127883610204,3,Tokyo,3,Tokyo,True,False,9060,False
3.81,0.40000000000009095,False,0.002057957706538472,4,New York,4,Sydney,True,False,3662,True
6.18,1.9700000000000273,False,0.0033387177811032894,0,Sydney,0,Sydney,True,True,2513,True
10.7,1.4700000000000273,False,0.005775417233413217,1,Sydney,1,Sydney,True,True,6310,True
9.02,2.6299999999998818,False,0.004877178373877356,1,Sydney,1,Sydney,True,True,10639,False
9.71,1.0299999999999727,False,0.005245359666371356,1,Tokyo,1,London,False,False,9408,True
11.15,1.6100000000001273,False,0.006056951642167249,1,New York,2,London,True,True,9887,False
4.19,0.08000000000015461,False,0.0022813771023788396,2,Sydney,2,Sydney,True,True,4385,False
8.08,2.8299999999999272,False,0.004406367419057539,2,Tokyo,2,Tokyo,True,True,8678,False
5.97,0.0500000000001819,False,0.0031914552394393305,4,Sydney,4,London,True,False,6034,True
5.6,0.9800000000000182,False,0.0029963027763955544,4,Sydney,4,Tokyo,True,False,5484,True
4.8,0.2899999999999636,False,0.0025710934110374896,4,Tokyo,4,London,True,False,6804,True
17.01,5.680000000000064,False,0.009184466858167211,4,London,0,New York,True,False,14989,True
10.66,0.44000000000005457,False,0.005758240333610622,4,New York,4,New York,True,False,11796,True
12.28,0.36999999999989086,False,0.006636295347567862,0,London,1,Tokyo,False,False,19650,True
12.45,0.5099999999999909,False,0.00673588304992128,0,London,1,Tokyo,False,False,21060,True
8.81,1.4099999999998545,False,0.004777320470899557,0,London,1,Sydney,False,False,18398,True
