noisy_day,is_highest_day,is_highest_week,volume,session,weekday,target
0,0,0,0.0530762004098148,3,4,0.0012022551391853002
0,0,0,0.055154864147119,3,1,1.0
0,0,0,0.0393762529312117,0,2,0.0006375595435073001
0,0,0,0.0873334664861706,3,0,0.0014785309413718004
0,0,0,0.1422959987572402,3,1,0.0019066066348696004
0,0,0,0.1111752217364609,1,1,0.0051763762937145005
0,0,0,0.058343134861632,3,1,0.0011810031544017003
0,1,0,0.0429565847776717,0,2,0.053977005352464115
0,0,0,0.1812136141378723,2,4,0.0013054790652769002
0,1,1,0.057965868489381,1,0,0.03028407831659991
0,0,0,0.0594897287380809,3,4,0.0005616595978517001
0,0,0,0.0174430216817203,3,2,0.0010109872761331002
0,0,0,0.0307731001679205,1,3,0.003831429256696601
0,0,0,0.0211343142259011,3,3,0.0009472313217823002
0,1,1,0.0175169954802009,3,0,0.00027020380653400007
0,0,0,0.0242116242426932,3,0,0.00019733985870460006
0,0,0,0.0497843663774291,0,3,0.007110306909020201
0,0,0,0.0280360696241391,3,0,0.00016090788478990002
0,1,0,0.035699755146727,3,3,0.0037342773262574007
0,0,0,0.0174134321623281,3,3,0.0013358390435392001
0,1,1,0.031609004090751,3,1,0.00030359978262250005
0,0,0,0.0124793798036735,3,3,0.00011233191957030003
0,0,0,0.0248108120103859,3,1,0.0012781550848409002
0,0,0,0.0233757203198627,3,4,0.0011233191957034001
0,1,0,0.0654520168956155,3,3,0.0011142112022247002
0,0,0,0.0414327245289718,1,4,0.005734999893740001
0,1,0,0.017154523867646,0,1,0.0017274827631223004
0,1,1,0.0310468032222986,3,1,0.0008743673739529002
0,1,1,0.2149160767256238,2,0,0.003020817837094401
0,0,0,0.0124275981447371,3,0,0.005525516043730501
0,1,1,0.0349082355029848,3,2,0.0005768395869828001
0,1,1,0.031483248633334,3,1,0.0005768395869828001
0,0,0,0.0259722006465309,3,3,0.0007498914630777002
0,0,0,0.0204315631403356,3,2,0.0009259793369987002
0,0,0,0.06193086408794,2,0,0.0008379354000382002
0,0,0,0.0646678946317214,3,3,0.0011172472000510003
0,1,1,0.034930427642529,3,1,0.0014056669935424001
0,0,0,0.0860315276329124,1,3,0.0008045394239497002
0,0,0,0.0217704888928341,3,3,3.339597608848113e-05
0,1,0,0.0338282180451684,0,1,0.004022697119748801
0,0,0,0.118091771894395,2,1,0.0024045102783706003
0,1,0,0.0194033273414556,3,1,0.00026716780870780007
0,1,0,0.0762152045745397,0,3,0.0005039756391534001
0,0,0,0.0276809953914323,2,3,0.0005738035891566001
0,0,0,0.0329405324634014,3,4,0.0021403784674890003
0,0,0,0.0506202703002596,3,2,0.004523636761076001
0,0,0,0.0214597989392157,2,0,0.004775624580652701
0,0,0,0.1443524703550002,2,1,0.0017730227305157004
0,1,0,0.0854915189040042,1,0,0.0006436315391598001
0,0,0,0.0601924798236464,3,1,0.0006800635130745002
0,1,0,0.0364542878912289,3,4,0.0008257914087333002
0,0,0,0.0222957028620462,3,0,0.0004159317021929001
0,1,1,0.0345901481695183,3,1,0.0018883906479122004
0,1,0,0.0237381919324175,0,4,0.021245912787926403
0,0,0,0.066029012523764,3,4,0.004511492769771101
0,1,0,0.0855728900823328,2,2,0.0008895473630840002
0,0,0,0.0224806373582477,3,0,0.0005434436108943001
0,0,0,0.0284799124150225,2,0,0.0012902990761458001
0,0,0,0.0507016414785882,0,3,0.00032181576957990006
0,0,0,0.0189520871707241,3,4,0.0004918316478485001
0,0,0,0.0205943054969929,3,1,0.0013358390435392001
0,0,0,0.0457158074609973,2,3,0.0008682953783005002
0,0,0,0.0269042705073862,3,1,0.0022527103870593006
0,1,0,0.0536531960379633,0,4,0.0008379354000382002
0,0,0,0.0530318161307264,2,2,0.0011081392065723002
0,0,0,0.0253582181191421,3,4,0.0010504552478740002
0,0,0,0.056175702566151,2,0,0.0007772154435137002
0,0,0,0.0174134321623281,3,0,0.00024287982609800005
0,0,0,0.0431119297544809,3,3,0.0003491397500159001
0,0,0,0.0205425238380565,3,4,0.0004827236543698001
0,0,0,0.063336366259071,2,3,0.0009441953239561002
0,0,0,0.0364099036121405,2,2,0.0067733111503092015
0,1,0,0.0117100522994755,3,2,0.00032788776523230007
