noisy_day,is_highest_day,is_highest_week,volume,session,target
0,0,0,0.3520766529241105,1,0.0277920301009064
0,1,0,0.2288517330890212,0,0.0093210193261501
0,0,0,0.5486333791418537,2,0.0051593409725785
0,1,1,0.1473507405710795,0,0.0149079299925887
0,0,0,0.235379447243854,3,0.0061570035915854
0,0,0,0.4038784547259123,3,0.0014822416053816
1,0,0,0.5791723927317147,3,0.1634456416395872
0,0,0,0.2009467094212856,2,0.050481728521749
0,1,1,0.3983814322797373,1,0.005871957129012
0,1,1,0.4855703160787906,3,0.0262812838492674
0,0,0,0.2705756604061688,3,0.0060999942990707
0,1,1,0.4488471522369827,3,0.00889344963229
0,0,0,0.1965185524507558,2,0.0037911179522262
0,0,0,0.1143686058940296,3,0.0299298785702069
0,0,0,0.1520461139105207,0,0.0163046576591984
0,0,0,0.1313941059703771,1,0.0152784903939342
0,0,0,0.0486333791418537,3,0.0023658856393592
0,1,1,0.4436936936936936,0,0.020124280257682
0,0,0,0.1063139410597037,3,0.0066985918704748
0,1,0,0.030768056191785,3,0.0053018642038652
0,1,0,0.7264086120018323,2,0.0369990308420272
0,0,0,0.1942281264315162,3,0.0055584060201812
0,0,0,0.1510917697358375,3,0.2526081751325466
0,1,0,0.2557642388150862,1,0.0041901829998289
0,0,0,0.2461826233012674,2,0.0112593352716492
0,1,0,0.0565353489082302,3,0.2288353001539251
0,1,0,0.2259505267979844,1,0.008807935693518
0,0,0,0.0433653992976026,3,0.0036485947209395
0,1,0,0.1183005038937242,3,0.1358246394162248
0,0,0,0.1049015116811726,3,0.0177583946183227
0,1,1,0.6135669567872958,2,0.013254660509663
0,0,0,0.2665674148724996,2,0.0071831708568496
0,0,0,0.5198503588334097,1,0.0867966478536001
0,1,1,0.2058711253626508,0,0.0238583889173935
0,0,0,0.4431210871888837,1,0.0112593352716492
0,1,1,0.4558711253626508,3,0.0036770993671968
0,1,0,0.0682546953733394,0,0.0184140014822416
0,1,0,0.3298213467704993,0,0.0016532694829257
0,1,1,0.4258665445106123,3,0.0121429793056268
0,0,0,0.2672163689112841,3,0.0027934553332193
0,0,0,0.0853183692166743,3,0.0045892480474317
0,1,0,0.2156817834783936,0,0.0183284875434695
0,1,1,0.0620323713544052,0,0.0047887805712331
0,0,0,0.2283554741181859,3,0.102046633601277
0,0,0,0.3160787906550618,3,0.0048172852174904
0,0,0,0.2310658115742861,1,0.002935978564506
0,0,0,0.1020384791571232,1,0.0055584060201812
0,0,0,0.2263704382348449,3,0.0070121429793056
0,0,0,0.1851809436555199,0,0.0039906504760275
0,1,0,0.2655748969308291,3,0.0047602759249757
0,1,0,0.1079172392731714,3,0.0042471922923436
0,0,0,0.195258818140174,3,0.0068696197480189
0,0,0,0.3829210566498702,1,0.0256541816316059
0,0,0,0.148457779813712,3,0.1532409782794595
0,0,0,0.0999007482058329,3,0.0040761644147996
0,1,1,0.5340891739196824,3,0.0039621458297702
0,1,0,0.146701786532295,0,0.0013397183740949
0,0,0,0.1165445106123072,0,0.0052733595576078
0,0,0,0.327798137120171,3,0.1981072914885126
0,1,1,0.1589555657352267,3,0.0081238241833418
0,0,0,0.0744770193922736,0,0.0082663474146285
0,0,0,0.113719651855245,1,0.0034775668433954
0,0,0,0.1167735532142311,1,0.051735932957072
0,0,0,0.1065429836616277,2,0.0056439199589533
0,0,0,0.3199725148877691,2,0.0124565304144575
0,0,0,0.0842495037410291,3,0.0047602759249757
0,0,0,0.1722018628798289,3,0.0644775098341029
0,1,0,0.082837074362498,3,0.0025654181631605
0,1,0,0.5742479767903497,2,0.0586625619976056
0,0,0,0.090319132692014,0,0.014765406761302
0,0,0,0.0969231943808214,3,0.0047887805712331
0,1,0,0.1747595052679798,1,0.0048457898637477
0,1,0,0.1560543594441899,3,0.0043327062311156
0,0,0,0.2763017254542678,1,0.0062995268228721
0,0,0,0.0717285081691861,3,0.0190696083461604
0,1,0,0.1420064131928538,3,0.0068981243942762
0,0,0,0.2706901817071308,3,0.0204093267202554
0,0,0,0.275500076347534,3,0.007382703380651
0,0,0,0.211520842876775,3,0.0262812838492674
0,0,0,0.2206061994197587,3,0.0024228949318738
0,0,0,0.1588410444342647,3,0.0037056040134541
0,0,0,0.1513208123377614,3,0.0334929593523744
0,0,0,0.1964422049167811,3,0.011658400319252
0,0,0,0.273285997862269,3,0.0048172852174904
0,0,0,0.4137272866086425,2,0.0083233567071432
0,1,0,0.3535272560696289,0,0.0067841058092469
0,0,0,0.3404718277599633,1,0.0152499857476768
0,0,0,0.3881126889601465,3,0.0249415654751724
0,1,0,0.1093678424186898,3,0.0050453223875491
0,0,0,0.199114368605894,0,0.0118009235505387
0,0,0,0.4071613986868224,3,0.0037341086597115
0,0,0,0.407581310123683,3,0.0024513995781312
0,0,0,0.3795617651549854,3,0.0
0,0,0,0.23515040464193,3,0.4982897212245596
0,0,0,0.2226675828370743,3,0.0034205575508807
0,0,0,0.3722705756604061,3,0.0012827090815802
0,0,0,0.2117117117117117,1,0.0017102787754403
0,0,0,0.0836768972362192,3,0.0227182030670999
0,0,0,0.1336845319896167,3,0.003021492503278
0,0,0,0.0757749274698427,3,0.0018813066529844
0,0,0,0.0308444037257596,3,0.0007411208026908
0,0,0,0.0960833715071003,3,0.013169146570891
0,0,0,0.0650099251794167,1,0.0277065161621344
0,1,0,0.0528324935104596,3,0.0005985975714041
0,0,0,0.0284012826385707,3,0.011914942135568
0,0,0,0.0892884409833562,3,0.0019953252380137
0,0,0,0.026683463124141,3,0.0298728692776922
0,1,0,0.0855855855855855,0,0.0018242973604697
