noisy_day,is_highest_day,is_highest_week,volume,session,weekday,target
0,1,1,0.0405884833899817,3,4,0.006380039902655
0,0,0,0.0134716054283374,3,1,0.0067746815461182
0,0,0,0.0235442975165602,3,2,0.0011181513231457
0,0,0,0.0575086213312823,2,0,0.0214860450329964
0,0,0,0.0347830401667203,1,2,0.008353248119971
0,0,0,0.0647282109807228,1,3,0.1178882287167569
0,0,0,0.0462698786811222,1,0,0.0055469075442327
0,0,0,0.0180365693303891,0,1,0.0028063405757383
0,0,0,0.0211625772198376,3,2,0.0033106048979412
0,0,0,0.0160021832436052,3,0,0.0008989059656661
0,0,0,0.0570620487756468,1,3,0.0036613974699085
0,0,0,0.1032574986974966,1,2,0.0088794369779219
0,1,0,0.0472126429652416,1,3,0.0038587182916401
0,1,1,0.0350559456173864,3,3,0.0034640766481769
0,1,0,0.0081623539335598,3,4,0.0008769814299182
0,0,0,0.0598903416280049,1,4,0.0067527570103703
0,0,0,0.0923412806708511,3,1,0.0855276139527745
0,0,0,0.1558042027439401,3,1,0.0055030584727368
0,0,0,0.0431934899645221,3,1,0.0058100019732082
0,0,0,0.054159327164016,3,4,0.0015566420381048
0,0,0,0.0461706403354255,3,0,0.0203459691741027
0,0,0,0.0860892648919541,3,0,0.0185700817785183
0,0,0,0.0446572555635496,3,4,0.0037710201486483
0,0,0,0.0412335326370108,3,2,0.0101291355155554
0,0,0,0.1387600168705186,1,1,0.0851768213808072
0,1,0,0.0582529089240081,0,1,0.000482339786455
0,0,0,0.0554494256580741,3,2,0.003924491898884
0,0,0,0.0286054531470959,3,1,0.0029817368617219
0,0,0,0.0211873868062618,3,3,0.0013812457521211
0,1,1,0.092837472399335,2,4,0.0008989059656661
0,0,0,0.1119160443595404,0,2,0.0028721141829821
0,0,0,0.2707470166472324,2,2,0.0034860011839249
0,0,0,0.0330959882898751,3,3,0.0033983030409331
0,0,0,0.0989654402461109,1,4,0.0012935476091293
0,0,0,0.0259260178132829,3,0,0.0258928767183354
0,0,0,0.1214925447192794,1,3,0.0052618885795093
0,0,0,0.1479643734338947,3,1,0.0018855100743241
0,0,0,0.1659017044185872,0,2,0.0053495867225011
1,0,0,0.2224923710521744,2,4,0.0391352963101006
1,0,0,0.1939861562507752,1,2,0.0455591852842516
0,0,0,0.068449648944352,0,1,0.007848983797768
0,0,0,0.0871560771081945,3,1,0.0005700379294468
0,0,0,0.3509067903838042,2,3,0.0035298502554208
0,0,0,0.0680030763887165,3,3,0.0012058494661375
0,0,0,0.1935395836951397,0,2,0.0614325491657714
0,1,0,0.0321532240057557,3,2,0.0040121900418758
0,0,0,0.0370655221177461,3,0,0.002937887790226
0,0,0,0.1343687200734362,3,3,0.0030036613974699
0,0,0,0.0588979581710371,3,2,0.0026309442897546
0,0,0,0.095144763936785,0,3,0.0043410580780951
0,0,0,0.0403900066985882,3,4,0.0097783429435881
0,0,0,0.0376361426055026,3,4,0.3833943566244984
0,0,0,0.1301758999677474,2,2,0.0106991734450023
0,0,0,0.0452526856377303,3,2,0.0027624915042423
0,0,0,0.1075743667353064,3,4,0.0011181513231457
0,1,0,0.0950951447639366,0,1,0.0217929885334678
0,1,0,0.0227255811645618,3,3,0.000460415250707
0,0,0,0.0320043664872105,3,4,0.0218806866764596
0,0,0,0.0344605155432057,3,4,0.0099537392295718
0,0,0,0.0600640087329743,1,1,0.0024116989322751
0,0,0,0.018532761058873,1,2,0.0074324176185569
0,1,0,0.0841789267372911,0,2,0.0116857775536603
0,0,0,0.0281340710050362,3,3,0.0008112078226743
0,0,0,0.0302180762646685,3,3,0.0008550568941702
0,0,0,0.017763663879723,3,4,0.0026747933612505
0,0,0,0.040489245044285,0,2,0.0055907566157286
0,1,0,0.0174907584290568,0,0,0.0012496985376334
0,0,0,0.0975761034063561,2,1,0.0071693231895814
0,0,0,0.0015878135311483,3,0,0.0011400758588936
0,0,0,0.0137941300518519,3,4,0.0102606827300431
0,0,0,0.0116853152057954,2,0,0.0010304531801539
0,0,0,0.0205175279728085,1,1,0.0214421959615005
0,1,0,0.0120078398293099,3,1,0.0005919624651947
0,0,0,0.097700151338477,3,4,0.0060950209379316
0,1,0,0.118887538144739,1,4,0.0636250027405669
0,0,0,0.0030267695437516,3,4,0.0092960031571331
0,0,0,0.0206911950777779,3,1,0.0016662647168446
0,0,0,0.0099486441561018,3,3,0.0186797044572581
0,0,0,0.0705336542039843,2,0,0.0134397404134967
0,1,0,0.0059294911553823,3,4,0.0028063405757383
0,0,0,0.0045649639020516,3,2,0.0
0,0,0,0.0522241794229289,1,4,0.0074104930828089
0,1,0,0.007169970476592,0,0,0.0006138870009427
0,1,0,0.0205423375592327,0,4,0.0015347175023568
0,0,0,0.0046642022477484,3,4,0.0059415491876959
0,1,0,0.0180117597439649,3,3,0.0055469075442327
0,1,0,0.0271913067209168,1,0,0.0011620003946416
0,1,0,0.0226759619917134,3,4,0.0062923417596632
0,0,0,0.007169970476592,3,3,0.0009866041086579
0,0,0,0.0634133029002405,2,4,0.0410865799916686
0,1,0,0.0066737787481081,3,2,0.0008989059656661
0,0,0,0.0071947800630162,3,4,0.0108526451952379
0,1,0,0.0509837001017192,3,1,0.0044945298283308
0,0,0,0.0059294911553823,3,1,0.0030255859332178
0,0,0,0.018408713126752,3,0,0.0027624915042423
0,1,0,0.0137941300518519,0,2,0.1383438205695994
0,1,0,0.0051107748033839,3,4,0.0018416610028282
0,1,0,0.0311608405487879,0,4,0.0725044397184889
0,0,0,0.0103952167117373,3,1,0.0021266799675516
