noisy_day,is_highest_day,is_highest_week,volume,session,target
0,0,0,0.0653181909817888,2,0.0013901053176203
0,0,0,0.0213023318325381,3,0.0204463921156717
0,0,0,0.1147100329278946,1,0.0023220369094779
0,0,0,0.0854781264699953,3,0.000105972154258
0,0,0,0.1209260130367582,2,0.0003428510873054
0,1,0,0.1384315570190175,3,0.0004488232415635
0,1,0,0.0521134332370136,0,0.0007573892201384
0,0,0,0.1422619447617767,2,0.0004051876486337
0,0,0,0.0921981049660641,2,0.001131408588108
0,0,0,0.065922989046435,2,0.000392720336368
0,0,0,0.1117868422821047,3,0.0005672627080872
0,0,0,0.0228143269941536,3,0.0050648456079217
0,1,1,0.0521470331294939,3,0.0002119443085161
0,0,0,0.0278879107586855,3,0.0004550568976963
0,0,0,0.0479470465694509,3,0.0023781398146734
0,0,0,0.0291983065654189,3,0.0012249134301004
0,0,0,0.062596599690881,0,0.0466620329822745
0,0,0,0.1064444593777299,2,0.0448293380792235
0,0,0,0.1031516699146562,2,0.0020290550712351
0,1,0,0.0099455681741818,3,0.0001184394665237
0,1,0,0.0640077951750554,2,0.040602919221167
0,0,0,0.0573886163564276,1,0.0001651918875199
0,0,0,0.0914925072239768,2,0.0001838928559183
0,0,0,0.0468718500100799,0,0.0007480387359392
0,0,0,0.0600094079698945,3,0.0004238886170322
0,0,0,0.0745245615214031,2,0.0020197045870358
0,0,0,0.1332571735770445,2,0.001545946720941
0,1,0,0.1618842819702977,2,0.027378217735375
0,0,0,0.0427054633425173,3,0.0049869249062613
0,1,0,0.0553054230226463,0,0.0003740193679696
0,0,0,0.038875075599758,3,0.0101296912158434
0,0,0,0.2232376856394059,2,0.0044851155875688
0,1,0,0.0287951078556548,3,0.0030451410208858
0,0,0,0.0458638532356696,3,0.0001651918875199
0,0,0,0.0451582554935824,3,0.0005080429748253
0,1,0,0.0984476849674081,1,9.973849812522791e-05
0,0,0,0.0327598951683354,3,0.00057349636422
0,0,0,0.0740205631341979,3,0.0003740193679696
0,0,0,0.1278139909952288,3,0.000392720336368
0,0,0,0.0544654257106377,0,0.0004394727573642
0,1,0,0.0832941334587729,0,0.0007823238446697
0,1,1,0.0583630132383576,3,0.0007449219078727
0,0,0,0.0441838586116524,3,0.0004519400696299
0,1,1,0.0664269874336402,3,0.0001901265120512
0,0,0,0.1069484577649351,2,0.0003366174311726
0,0,0,0.0296351051676634,3,0.0001527245752542
0,0,0,0.0456286539883072,0,0.0005080429748253
0,0,0,0.0804045427054633,1,0.0008197257814667
0,0,0,0.0559438209797728,0,0.000430122273165
0,0,0,0.0454606545259055,3,0.0002306452769145
0,1,0,0.5035279887104361,2,0.0004955756625597
0,1,1,0.4121026812714199,2,0.0004457064134971
0,0,0,0.0667293864659633,3,0.0006576507220132
0,0,0,0.0570526174316242,3,0.003973955784677
0,0,0,0.5397150729117668,2,0.0018108771065861
0,0,0,0.0703581748538404,3,0.0006140151290834
0,1,0,0.2917478664068275,1,0.0064331331290772
0,0,0,0.1479067266984745,0,6.545338939468082e-05
0,0,0,0.0775821517371144,3,0.0013371192404913
0,0,0,0.1008332773335125,0,0.0002368789330474
0,0,0,0.0821853370069215,3,0.0004955756625597
1,0,0,0.2490088031718298,1,0.0002555799014458
0,0,0,0.0671325851757274,3,0.0002680472137115
0,0,0,0.0704589745312815,3,0.0007916743288689
0,0,0,0.2079497345608494,3,0.0014275072544173
0,0,0,0.0494590417310664,3,0.0013153014440264
0,0,0,0.0934077010953565,3,0.0352482086030688
0,0,0,0.0427726631274779,3,0.0007605060482048
0,1,0,0.04394865936429,0,0.0262156408666028
0,0,0,0.0476782474296082,3,0.0196516009587363
0,1,0,0.0636381963577716,3,0.0006607675500796
0,1,0,0.5745245615214032,2,0.0017454237171914
0,0,0,0.0463342517303944,3,0.0003147996347077
0,0,0,0.1186076204556145,0,0.0001153226384572
0,0,0,0.050198239365634,0,0.0001464909191214
0,0,0,0.051172636247564,3,0.0011750441810378
0,0,0,0.0598078086150124,3,0.0015958159700036
0,0,0,0.1134332370136415,3,0.0007916743288689
0,0,0,0.0889389153954707,3,0.0010254364338499
0,0,0,0.3244741616826826,2,0.0010503710583813
0,0,0,0.1878569988576036,3,0.0007729733604705
0,0,0,0.0475102479672065,3,0.0006140151290834
0,0,0,0.0783549492641623,2,0.0003615520557039
0,0,0,0.0555070223775283,3,0.0003303837750398
0,0,0,0.1363483636852362,1,0.0004114213047665
0,0,0,0.2768967139305154,2,0.0014524418789486
0,0,0,0.3387205160943485,2,0.0037090253990319
0,0,0,0.0560446206572139,3,0.0008197257814667
0,0,0,0.1318459780928701,3,0.0172048909266018
0,0,0,0.3228613668436261,3,0.0015833486577379
0,1,0,0.1852026073516565,0,0.0016799703277968
0,0,0,0.0701565754989584,1,4.675242099620058e-05
0,0,0,0.2508903971507291,3,0.0024841119689314
0,1,0,0.0882669175458638,0,0.0003989539925009
0,0,0,0.0537598279685505,3,0.00803829958328
0,0,0,0.073146965929709,3,0.0020789243202977
0,0,0,0.0544318258181573,3,0.0010721888548462
0,0,0,0.2476312075801357,1,0.0008384267498651
0,0,0,0.2227000873597204,3,0.0001776591997855
0,1,0,0.1272427928230629,1,0.0003584352276375
0,0,0,0.0661245884013171,3,0.0002618135575787
0,0,0,0.0621262011961561,3,0.0028363135404361
0,0,0,0.1859754048787044,3,0.0008820623427949
0,0,0,0.0359518849539681,3,0.0012966004756279
0,0,0,0.1824138162757879,3,0.0001184394665237
0,0,0,0.0824877360392446,3,0.0011937451494363
0,1,0,0.0684429809824608,3,0.0004893420064268
