noisy_day,is_highest_day,is_highest_week,session,target
0,0,0,3,1.94
0,0,0,1,2.18
0,1,0,1,3.91
0,1,0,2,5.21
0,0,0,1,2.62
0,0,0,0,3.24
0,0,0,2,16.25
0,1,1,2,7.37
0,1,1,0,1.87
0,0,0,1,45.11
0,0,0,2,36.38
0,0,0,0,3.7
0,0,0,3,5.48
0,0,0,3,3.82
0,1,0,3,2.32
0,0,0,0,1.92
0,1,0,3,3.54
0,1,0,0,8.35
0,1,1,1,13.34
0,0,0,1,6.76
0,1,0,3,2.72
0,1,0,3,1.09
0,0,0,2,45.07
0,0,0,3,6.76
0,0,0,0,13.76
0,0,0,3,2.1
0,1,0,3,4.41
0,1,1,2,12.71
0,0,0,0,20.14
0,0,0,1,7.23
0,1,0,0,2.35
0,1,0,3,1.78
0,0,0,3,2.16
0,0,0,1,46.44
0,0,0,3,1.01
0,0,0,1,4.93
0,0,0,2,4.31
0,1,1,0,3.42
0,1,1,0,3.11
0,0,0,3,4.43
0,0,0,2,15.64
0,0,0,3,2.93
0,0,0,3,0.98
0,1,0,0,1.57
0,0,0,1,3.13
0,0,0,0,1.82
0,0,0,3,1.55
0,1,1,1,3.69
0,1,1,0,2.11
0,1,0,3,1.56
0,1,0,0,2.22
0,1,1,3,2.33
0,1,0,0,1.05
0,1,0,1,12.06
0,0,0,2,5.4
0,1,1,0,4.91
1,1,1,3,61.54
1,0,0,1,8.1
0,1,0,2,15.4
1,0,0,0,5.75
1,0,0,1,22.24
1,0,0,1,10.84
0,0,0,2,9.66
0,0,0,3,27.29
0,0,0,1,3.53
0,0,0,2,14.82
1,0,0,3,4.11
0,0,0,0,64.32
0,0,0,3,8.35
1,1,1,3,5.47
1,1,1,1,11.59
1,0,0,2,6.8
1,0,0,1,14.79
1,0,0,0,4.77
1,0,0,2,12.76
1,1,1,3,150.15
1,1,1,3,6.63
1,0,0,1,7.31
1,0,0,1,23.65
0,1,0,1,12.91
1,0,0,0,24.53
1,0,0,1,3.61
1,1,1,2,9.92
0,0,0,0,5.79
0,1,1,1,29.07
0,0,0,2,13.62
0,0,0,3,8.83
0,0,0,3,7.81
0,0,0,1,14.2
0,0,0,0,48.87
0,1,0,1,80.35
0,0,0,0,6.93
0,0,0,2,10.26
0,0,0,0,8.77
0,0,0,2,29.46
0,0,0,2,4.28
0,0,0,3,30.26
0,0,0,1,5.84
0,0,0,2,4.84
0,0,0,1,18.05
0,0,0,2,16.21
0,0,0,3,1.56
0,1,0,2,12.75
0,1,1,3,41.85
0,0,0,1,18.03
0,0,0,1,11.26
0,0,0,0,4.1
0,1,0,0,4.88
0,1,0,1,7.86
0,0,0,0,18.35
0,0,0,0,2.92
0,0,0,1,54.55
0,0,0,1,24.08
0,0,0,2,17.09
0,0,0,0,9.41
0,0,0,3,4.36
0,0,0,1,2.7
0,0,0,3,14.98
0,0,0,1,71.07
0,0,0,1,13.77
0,0,0,3,7.68
0,0,0,3,5.04
0,0,0,3,1.44
0,0,0,0,7.99
0,0,0,1,10.9
0,0,0,1,3.77
0,0,0,3,6.79
0,0,0,1,6.23
0,0,0,0,8.63
0,0,0,3,1.96
0,0,0,3,2.32
0,0,0,2,1.68
0,0,0,3,28.22
0,0,0,2,9.01
0,0,0,0,8.28
0,0,0,3,12.05
0,0,0,0,3.01
0,1,1,3,4.2
0,0,0,0,6.18
0,0,0,1,4.93
0,1,1,2,11.84
0,0,0,1,6.39
0,0,0,2,18.86
0,0,0,1,14.84
0,0,0,3,21.88
0,0,0,3,3.52
0,0,0,2,43.47
0,1,1,3,5.56
0,1,0,3,5.77
0,1,1,3,8.16
1,0,0,1,8.6
1,0,0,0,2.86
1,0,0,1,20.01
0,1,1,3,14.36
0,0,0,2,22.65
1,0,0,3,3.04
1,1,1,0,11.64
1,1,1,3,25.75
1,1,1,3,13.67
1,0,0,1,456.61
1,0,0,0,120.39
1,0,0,2,15.37
1,1,0,3,10.9
1,0,0,0,9.78
1,1,0,3,20.9
1,0,0,3,225.59
1,0,0,1,5.23
