noisy_day,is_highest_day,is_highest_week,volume,session,weekday,target
1,0,0,0.04647327059280101,3,0,10.02
0,0,0,0.029882604055496264,1,2,2.33
0,0,0,0.0540409430484137,1,4,3.45
0,0,0,0.032308140098961866,3,4,5.85
0,0,0,0.008570227353578475,3,4,1.36
0,1,0,0.005691924581999289,3,1,1.02
0,0,0,0.008182141586623976,3,2,0.28
0,0,0,0.0008731929756476183,3,2,0.38
0,0,0,0.0,3,3,0.39
0,0,0,0.007147246208078652,3,4,2.65
0,0,0,0.013097894634714273,3,1,1.66
0,0,0,0.0082791630283626,3,2,1.34
0,1,0,0.004365964878238091,3,1,1.28
0,0,0,0.06713883768312798,2,0,2.92
0,0,0,0.006791500921703696,3,0,1.51
0,0,0,0.07519161734743379,3,3,1.67
0,0,0,0.07396267908541121,3,4,1.5
0,0,0,0.014585556741373178,0,0,1.77
0,0,0,0.07396267908541121,2,2,4.76
0,0,0,0.15154749199573103,2,2,7.15
0,0,0,0.004333624397658549,3,2,0.69
0,0,0,0.012903851751237025,3,3,1.27
0,0,0,0.05180944988842534,3,4,1.57
0,0,0,0.003913198150124511,3,1,0.89
0,0,0,0.004333624397658549,3,2,0.45
0,1,0,0.03027068982245076,0,1,6.43
0,1,0,0.004171921994760843,3,2,0.73
0,0,0,0.06565117557646907,0,0,1.91
0,0,0,0.22143527052812004,2,2,15.18
0,0,0,0.15348792083050353,2,2,7.21
0,0,0,0.058956696096503995,2,4,23.74
0,0,0,0.003072345655056434,3,3,4.47
0,1,0,0.008020439183726271,3,4,5.59
0,0,0,0.04243071052035833,0,3,2.49
0,0,0,0.011189806280521328,3,0,4.59
0,0,0,0.030626435108825716,0,0,4.94
0,0,0,0.00756767245561269,3,0,3.64
0,1,0,0.009766825135021508,3,2,9.18
0,0,0,0.009734484654441964,3,2,3.04
0,0,0,0.02519323437146276,1,0,2.4
0,0,0,0.030529413667087096,0,1,1.72
0,0,0,0.006209372271271951,3,1,3.32
0,0,0,0.01833705248859998,3,2,4.4
0,0,0,0.05003072345655056,1,3,3.85
0,0,0,0.12111509977038258,2,3,71.47
0,0,0,0.015070663950066298,3,0,2.11
0,0,0,0.006920862844021862,3,1,0.85
0,0,0,0.028686006274053235,3,2,1.35
0,1,0,0.0035897933443290965,3,3,1.49
0,0,0,0.005562562659681123,0,4,0.65
0,0,0,0.011739594450373533,3,0,7.36
0,1,0,0.03447495229779114,0,3,2.3
0,0,0,0.011092784838782704,3,3,3.56
0,0,0,0.15303515410238994,2,4,64.7
0,1,0,0.07140778111962744,0,2,1.7
0,1,0,0.07127841919730928,2,4,1.68
0,0,0,0.03479835710358656,3,4,1.58
0,0,0,0.1498011060444358,2,1,10.89
0,1,0,0.011577892047475825,3,2,2.07
0,1,0,0.044662203680346686,1,2,2.34
0,0,0,0.08431163287086446,3,3,1.89
0,0,0,0.05575498851912939,1,0,283.98
0,0,0,0.07350991235729763,3,0,4.0
0,0,0,0.012515765984282529,3,0,1.2
0,0,0,0.06785032825587789,2,1,4.19
0,0,0,0.038064745642120236,3,3,1.02
0,0,0,0.13266065133727886,3,2,203.77
0,0,0,0.058406907926651784,3,0,10.52
0,0,0,0.09779761327253324,0,1,6.9
0,0,0,0.014520875780214094,3,1,1.09
0,0,0,0.02267067688625853,3,2,66.44
0,0,0,0.12273212379935965,3,1,2.37
0,0,0,0.050386468742925516,0,0,3.79
1,1,0,0.05210051421364121,3,2,2.87
0,0,0,0.06865884027036642,3,4,7.03
0,0,0,0.010640018110669124,3,0,2.77
0,1,1,0.20830503541282622,3,2,57.13
0,0,0,0.04472688464150577,1,4,1.76
0,0,0,0.07011416189644579,2,1,5.42
0,0,0,0.023285146017269817,3,3,7.42
0,0,0,0.016331942692668414,3,0,1.62
0,0,0,0.050580511626402765,3,4,2.39
0,1,1,0.006985543805180944,3,0,5.06
0,0,0,0.06904692603732092,2,3,1.74
0,1,0,0.07800523915785389,1,3,1.89
0,0,0,0.05022476634002781,1,0,0.73
0,0,0,0.012386404061964361,3,4,2.35
0,0,0,0.10740273600465704,2,0,16.62
0,0,0,0.023026422172633485,3,3,1.01
0,0,0,0.010737039552407748,3,4,2.97
0,0,0,0.09424016040878368,3,2,3.73
0,0,0,0.028912389638110023,3,3,1.51
0,0,0,0.05756605543158371,3,1,1.63
0,1,0,0.15381132563629893,3,1,4.18
0,0,0,0.058956696096503995,1,0,1.72
0,0,0,0.10371592121858932,2,1,9.73
0,1,0,0.059150738979981236,1,2,4.12
0,1,0,0.05258562142233433,0,4,13.67
0,1,1,0.05611073380550435,3,1,1.16
0,0,0,0.04032857928268814,1,3,1.54
0,0,0,0.0037514957472268044,3,3,2.27
0,0,0,0.04511497040846026,1,1,17.49
0,0,0,0.14459428867112964,2,3,38.05
0,0,0,0.009378739368067011,3,3,1.84
0,0,0,0.036318359690825,3,4,4.07
0,0,0,0.059150738979981236,2,0,1.87
0,0,0,0.05792180071795867,1,2,16.17
0,1,1,0.11319168202839494,2,4,5.67
0,0,0,0.007891077261408103,3,3,0.92
0,0,0,0.04220432715630154,2,4,4.17
0,0,0,0.05277966430581158,1,1,2.23
0,1,1,0.04589114194236926,0,3,1.3
0,0,0,0.14320364800620936,2,4,11.26
0,0,0,0.012709808867759777,3,1,2.93
0,1,0,0.04472688464150577,0,4,2.37
0,0,0,0.03366644028330261,1,4,6.8
0,0,0,0.06940267132369587,2,4,2.43
0,1,0,0.002102131237670192,3,3,1.05
0,0,0,0.03046473270592801,3,0,3.18
0,1,0,0.024869829565667346,1,2,1.55
0,1,0,0.035218783351120594,1,3,3.16
0,1,0,0.15927686685424144,2,1,10.58
0,0,0,0.0192102454642476,3,2,5.56
0,0,0,0.15727175705830987,2,3,3.04
0,1,1,0.038905598137188316,3,4,1.83
0,1,1,0.01765790239642961,3,3,1.85
0,0,0,0.08922738591895475,3,4,4.78
0,0,0,0.004980434009249377,3,0,16.7
0,1,0,0.0664596875909576,0,3,0.84
0,0,0,0.055431583713333975,3,4,8.55
0,1,1,0.025516639177258178,0,0,1.2
0,0,0,0.0064034151547491995,3,2,0.61
0,0,0,0.07981630607030821,3,1,3.29
0,0,0,0.08201545874971702,3,2,2.82
