time,open,high,low,close,volume
2024-12-11 23:30:00,2716.76,2718.74,2716.65,2717.95,666
2024-12-12 01:00:00,2717.58,2719.06,2716.16,2718.12,808
2024-12-12 01:30:00,2718.04,2720.37,2717.5,2719.92,843
2024-12-12 02:00:00,2719.99,2721.22,2718.76,2720.72,1004
2024-12-12 02:30:00,2720.91,2724.29,2719.87,2724.12,2103
2024-12-12 03:00:00,2724.31,2726.15,2712.82,2713.54,2410
2024-12-12 03:30:00,2713.23,2713.23,2700.32,2710.39,1482
2024-12-12 04:00:00,2710.38,2710.87,2704.79,2708.04,1937
2024-12-12 04:30:00,2707.97,2708.67,2703.54,2705.75,2200
2024-12-12 05:00:00,2705.63,2708.06,2704.93,2707.44,1478
2024-12-12 05:30:00,2707.43,2711.17,2707.15,2710.25,1486
2024-12-12 06:00:00,2710.26,2713.24,2708.99,2712.78,1590
2024-12-12 06:30:00,2712.75,2714.93,2711.26,2712.44,720
2024-12-12 07:00:00,2712.46,2714.32,2711.45,2713.23,985
2024-12-12 07:30:00,2713.24,2716.24,2712.9,2713.3,1933
2024-12-12 08:00:00,2713.27,2713.89,2709.83,2713.71,1840
2024-12-12 08:30:00,2713.7,2718.22,2712.96,2718.0,1472
2024-12-12 09:00:00,2718.02,2720.3,2717.78,2718.98,1900
2024-12-12 09:30:00,2718.95,2719.77,2715.23,2715.98,2085
2024-12-12 10:00:00,2716.01,2719.52,2714.89,2718.24,2600
2024-12-12 10:30:00,2718.31,2718.57,2715.33,2718.04,2307
2024-12-12 11:00:00,2718.04,2718.75,2713.81,2715.67,2646
2024-12-12 11:30:00,2715.31,2717.49,2714.38,2715.0,2403
2024-12-12 12:00:00,2714.66,2714.91,2709.31,2713.03,2457
2024-12-12 12:30:00,2712.83,2715.79,2711.23,2711.53,2439
2024-12-12 13:00:00,2711.53,2712.11,2707.07,2709.51,2960
2024-12-12 13:30:00,2709.13,2713.38,2709.13,2710.89,2648
2024-12-12 14:00:00,2710.92,2712.4,2710.12,2711.3,2567
2024-12-12 14:30:00,2711.37,2712.0,2705.82,2706.42,2545
2024-12-12 15:00:00,2706.54,2709.09,2700.99,2707.94,2994
2024-12-12 15:30:00,2706.62,2710.95,2697.18,2697.45,3033
2024-12-12 16:00:00,2697.23,2699.54,2682.35,2685.35,3258
2024-12-12 16:30:00,2685.03,2689.63,2680.81,2686.68,3400
2024-12-12 17:00:00,2686.65,2688.24,2680.86,2685.79,3303
2024-12-12 17:30:00,2685.47,2686.04,2675.03,2679.75,3254
2024-12-12 18:00:00,2678.96,2683.49,2677.01,2678.7,2854
2024-12-12 18:30:00,2678.56,2683.66,2678.56,2683.44,2495
2024-12-12 19:00:00,2683.41,2685.32,2681.36,2683.79,2524
2024-12-12 19:30:00,2683.82,2686.64,2683.63,2686.36,2511
2024-12-12 20:00:00,2686.33,2687.01,2682.79,2684.89,2512
2024-12-12 20:30:00,2685.0,2686.47,2683.77,2684.24,2148
2024-12-12 21:00:00,2684.34,2686.76,2683.99,2684.92,1852
2024-12-12 21:30:00,2684.92,2684.96,2682.7,2683.14,1771
2024-12-12 22:00:00,2683.21,2683.71,2681.62,2681.76,1733
2024-12-12 22:30:00,2681.78,2683.59,2679.59,2679.89,2048
2024-12-12 23:00:00,2679.94,2682.8,2679.46,2681.78,1053
2024-12-12 23:30:00,2681.78,2682.11,2680.2,2680.55,669
2024-12-13 01:00:00,2681.0,2681.42,2679.3,2680.66,720
2024-12-13 01:30:00,2680.55,2680.84,2679.58,2680.36,545
2024-12-13 02:00:00,2680.13,2681.3,2678.42,2680.64,1026
2024-12-13 02:30:00,2680.65,2685.46,2680.65,2685.42,1354
2024-12-13 03:00:00,2685.34,2692.77,2685.19,2688.59,2865
2024-12-13 03:30:00,2688.59,2692.08,2686.36,2689.96,2699
2024-12-13 04:00:00,2689.96,2690.17,2684.37,2687.69,2436
2024-12-13 04:30:00,2687.65,2691.24,2684.85,2686.59,2314
2024-12-13 05:00:00,2686.56,2689.26,2685.99,2689.21,2130
2024-12-13 05:30:00,2689.28,2691.26,2687.67,2687.94,1790
2024-12-13 06:00:00,2687.97,2688.75,2685.99,2687.14,1690
2024-12-13 06:30:00,2687.47,2687.55,2685.17,2687.32,1466
2024-12-13 07:00:00,2687.47,2687.59,2685.11,2686.82,1659
2024-12-13 07:30:00,2686.95,2689.29,2685.58,2688.28,2401
2024-12-13 08:00:00,2688.28,2688.99,2684.71,2685.15,2306
2024-12-13 08:30:00,2685.13,2690.51,2683.25,2689.57,2303
2024-12-13 09:00:00,2689.3,2690.17,2682.58,2682.84,2161
2024-12-13 09:30:00,2682.8,2684.83,2680.87,2683.07,2238
2024-12-13 10:00:00,2682.78,2684.64,2681.52,2683.59,2333
2024-12-13 10:30:00,2683.6,2684.71,2674.54,2674.98,2478
2024-12-13 11:00:00,2674.65,2676.94,2670.59,2673.47,2739
2024-12-13 11:30:00,2673.22,2673.66,2667.4,2668.77,2381
2024-12-13 12:00:00,2668.87,2669.78,2666.62,2668.62,2335
2024-12-13 12:30:00,2668.54,2669.96,2665.11,2666.7,2199
2024-12-13 13:00:00,2666.66,2669.46,2664.47,2666.69,2176
2024-12-13 13:30:00,2666.72,2667.12,2664.34,2664.9,2117
2024-12-13 14:00:00,2664.82,2671.25,2662.79,2670.36,2418
2024-12-13 14:30:00,2670.32,2672.74,2668.55,2672.46,2189
2024-12-13 15:00:00,2672.46,2672.92,2665.26,2665.27,3030
2024-12-13 15:30:00,2665.27,2665.75,2659.65,2662.06,2977
2024-12-13 16:00:00,2661.95,2664.02,2658.72,2661.68,2794
2024-12-13 16:30:00,2661.0,2662.5,2657.37,2660.17,3042
2024-12-13 17:00:00,2660.12,2660.87,2654.49,2654.95,2985
2024-12-13 17:30:00,2654.9,2662.56,2654.9,2659.91,2762
2024-12-13 18:00:00,2659.66,2663.73,2658.73,2660.09,2592
2024-12-13 18:30:00,2660.18,2664.61,2659.71,2662.09,2271
2024-12-13 19:00:00,2662.2,2662.25,2658.08,2658.64,1910
2024-12-13 19:30:00,2658.64,2659.36,2655.71,2656.33,1968
2024-12-13 20:00:00,2656.36,2657.09,2654.25,2655.71,1933
2024-12-13 20:30:00,2655.99,2656.78,2652.18,2654.18,1771
2024-12-13 21:00:00,2654.35,2655.3,2652.47,2652.67,1519
2024-12-13 21:30:00,2652.69,2654.18,2652.29,2652.95,1554
2024-12-13 22:00:00,2652.95,2653.45,2649.6,2651.98,1711
2024-12-13 22:30:00,2651.95,2652.09,2646.39,2647.78,2041
2024-12-13 23:00:00,2647.53,2649.78,2645.68,2649.17,1192
2024-12-13 23:30:00,2649.17,2649.85,2647.99,2648.8,1021
2024-12-16 01:00:00,2650.72,2650.72,2648.63,2649.83,895
2024-12-16 01:30:00,2649.81,2653.04,2649.31,2651.4,819
2024-12-16 02:00:00,2651.46,2651.65,2649.47,2651.53,861
2024-12-16 02:30:00,2651.52,2651.54,2643.52,2647.06,1361
2024-12-16 03:00:00,2647.01,2655.6,2646.78,2653.95,2263
2024-12-16 03:30:00,2654.01,2654.66,2651.54,2653.42,1898
2024-12-16 04:00:00,2653.44,2653.72,2651.54,2652.42,1447
2024-12-16 04:30:00,2652.38,2654.65,2650.47,2651.83,1848
2024-12-16 05:00:00,2651.82,2654.43,2651.59,2653.23,1694
2024-12-16 05:30:00,2653.19,2655.43,2652.72,2653.81,1177
2024-12-16 06:00:00,2653.86,2654.49,2652.91,2653.56,854
2024-12-16 06:30:00,2653.55,2654.08,2651.99,2652.79,814
2024-12-16 07:00:00,2652.79,2653.44,2649.58,2650.72,1428
2024-12-16 07:30:00,2650.7,2653.27,2650.18,2652.81,1438
2024-12-16 08:00:00,2652.57,2654.52,2651.97,2654.46,1365
2024-12-16 08:30:00,2654.52,2654.7,2652.53,2653.69,1363
2024-12-16 09:00:00,2653.69,2654.88,2651.69,2653.52,1460
2024-12-16 09:30:00,2653.59,2655.9,2652.45,2653.7,1683
2024-12-16 10:00:00,2653.75,2658.49,2652.29,2658.4,2152
2024-12-16 10:30:00,2658.42,2662.03,2657.8,2657.99,2153
2024-12-16 11:00:00,2657.91,2660.12,2656.17,2658.17,1743
2024-12-16 11:30:00,2658.12,2658.62,2655.76,2658.09,1690
2024-12-16 12:00:00,2658.16,2660.09,2657.97,2659.79,1393
2024-12-16 12:30:00,2659.79,2661.13,2658.07,2658.85,1714
2024-12-16 13:00:00,2658.76,2662.9,2657.73,2662.58,1723
2024-12-16 13:30:00,2662.57,2664.15,2661.09,2663.51,1800
2024-12-16 14:00:00,2663.5,2664.22,2661.42,2661.73,1377
2024-12-16 14:30:00,2661.7,2661.9,2657.4,2659.97,2013
2024-12-16 15:00:00,2659.84,2664.23,2659.04,2661.01,2444
2024-12-16 15:30:00,2661.17,2663.53,2658.94,2661.91,2378
2024-12-16 16:00:00,2662.13,2663.03,2656.76,2658.2,2610
2024-12-16 16:30:00,2657.89,2660.05,2653.79,2654.83,2775
2024-12-16 17:00:00,2654.91,2655.94,2650.84,2655.1,2805
2024-12-16 17:30:00,2655.23,2656.91,2653.33,2654.39,2445
2024-12-16 18:00:00,2654.49,2655.76,2649.58,2650.01,2384
2024-12-16 18:30:00,2650.32,2653.18,2648.57,2652.18,1970
2024-12-16 19:00:00,2652.13,2655.34,2651.79,2654.4,1624
2024-12-16 19:30:00,2654.31,2654.67,2651.83,2652.08,1529
2024-12-16 20:00:00,2652.06,2653.78,2651.31,2653.15,1538
2024-12-16 20:30:00,2653.17,2655.64,2653.17,2655.38,1283
2024-12-16 21:00:00,2655.4,2655.79,2652.51,2653.37,1376
2024-12-16 21:30:00,2653.33,2654.83,2652.02,2653.29,1293
2024-12-16 22:00:00,2653.29,2653.29,2651.98,2652.84,1114
2024-12-16 22:30:00,2652.93,2653.61,2652.33,2652.95,1377
2024-12-16 23:00:00,2653.0,2653.13,2651.39,2652.24,592
2024-12-16 23:30:00,2652.25,2653.05,2652.02,2652.62,343
2024-12-17 01:00:00,2652.65,2653.02,2651.52,2652.92,502
2024-12-17 01:30:00,2652.82,2652.9,2651.65,2651.76,650
2024-12-17 02:00:00,2651.76,2653.29,2651.25,2652.22,822
2024-12-17 02:30:00,2652.2,2655.46,2651.15,2655.3,1488
2024-12-17 03:00:00,2655.24,2657.37,2654.36,2656.04,2021
2024-12-17 03:30:00,2656.08,2658.57,2654.99,2658.05,1948
2024-12-17 04:00:00,2657.73,2658.54,2656.75,2657.62,1638
2024-12-17 04:30:00,2657.62,2657.62,2654.0,2654.98,1960
2024-12-17 05:00:00,2654.98,2655.46,2651.24,2654.99,1779
2024-12-17 05:30:00,2655.02,2656.11,2653.03,2653.56,1248
2024-12-17 06:00:00,2653.49,2655.26,2652.28,2654.43,913
2024-12-17 06:30:00,2654.44,2654.46,2651.0,2651.7,1218
2024-12-17 07:00:00,2651.72,2653.0,2649.04,2652.99,1362
2024-12-17 07:30:00,2653.02,2654.8,2651.64,2653.75,2277
2024-12-17 08:00:00,2653.82,2654.64,2646.87,2647.94,1961
2024-12-17 08:30:00,2647.79,2650.26,2646.46,2648.85,1914
2024-12-17 09:00:00,2648.89,2655.95,2648.16,2655.77,1489
2024-12-17 09:30:00,2655.76,2657.1,2653.3,2653.79,1859
2024-12-17 10:00:00,2653.42,2653.69,2646.84,2647.85,2260
2024-12-17 10:30:00,2647.83,2649.35,2641.13,2644.12,2162
2024-12-17 11:00:00,2643.94,2646.05,2641.0,2641.93,2333
2024-12-17 11:30:00,2641.9,2642.97,2638.1,2639.65,2264
2024-12-17 12:00:00,2639.56,2642.95,2638.72,2642.31,2013
2024-12-17 12:30:00,2642.07,2643.16,2638.13,2638.2,1870
2024-12-17 13:00:00,2638.14,2639.93,2636.26,2639.08,1861
2024-12-17 13:30:00,2639.07,2642.53,2639.0,2642.25,1936
2024-12-17 14:00:00,2642.27,2644.17,2640.72,2643.39,2132
2024-12-17 14:30:00,2643.47,2645.55,2641.9,2642.89,1838
2024-12-17 15:00:00,2642.7,2646.87,2642.04,2642.12,2526
2024-12-17 15:30:00,2643.67,2644.64,2634.72,2637.08,2634
2024-12-17 16:00:00,2637.06,2641.15,2633.03,2641.0,2776
2024-12-17 16:30:00,2640.78,2642.02,2634.64,2636.72,2884
2024-12-17 17:00:00,2636.69,2642.86,2635.78,2640.59,2710
2024-12-17 17:30:00,2640.69,2642.71,2636.87,2640.17,2586
2024-12-17 18:00:00,2640.17,2640.3,2637.34,2638.35,2568
2024-12-17 18:30:00,2638.38,2641.44,2636.42,2638.83,2078
2024-12-17 19:00:00,2638.52,2642.74,2637.83,2642.01,2021
2024-12-17 19:30:00,2642.01,2647.08,2641.7,2645.99,1931
2024-12-17 20:00:00,2645.96,2647.52,2644.99,2646.11,1921
2024-12-17 20:30:00,2646.19,2648.98,2646.19,2647.33,1579
2024-12-17 21:00:00,2647.31,2648.17,2645.71,2647.36,1426
2024-12-17 21:30:00,2647.36,2647.4,2645.24,2645.4,1330
2024-12-17 22:00:00,2645.49,2646.69,2644.75,2646.3,1203
2024-12-17 22:30:00,2646.31,2646.85,2643.1,2643.6,1809
2024-12-17 23:00:00,2643.61,2644.87,2643.35,2644.62,574
2024-12-17 23:30:00,2644.62,2646.41,2644.43,2646.4,449
2024-12-18 01:00:00,2646.32,2647.41,2645.88,2646.07,410
2024-12-18 01:30:00,2646.1,2647.59,2644.77,2647.44,484
2024-12-18 02:00:00,2647.41,2648.91,2646.59,2647.15,749
2024-12-18 02:30:00,2647.16,2650.31,2647.16,2650.08,1209
2024-12-18 03:00:00,2650.07,2651.48,2648.04,2649.86,1935
2024-12-18 03:30:00,2649.73,2651.7,2648.15,2650.97,1962
2024-12-18 04:00:00,2651.03,2651.04,2647.3,2648.12,1614
2024-12-18 04:30:00,2648.11,2648.74,2646.99,2647.48,1903
2024-12-18 05:00:00,2647.41,2648.84,2645.26,2645.99,2048
2024-12-18 05:30:00,2645.96,2647.02,2645.1,2645.53,1156
2024-12-18 06:00:00,2645.61,2645.61,2642.64,2643.91,1350
2024-12-18 06:30:00,2643.93,2645.92,2642.67,2645.17,1163
2024-12-18 07:00:00,2645.14,2647.63,2643.96,2647.33,1334
2024-12-18 07:30:00,2647.55,2649.46,2646.71,2647.44,1920
2024-12-18 08:00:00,2647.43,2647.95,2644.62,2645.82,1802
2024-12-18 08:30:00,2645.75,2646.86,2644.52,2646.63,1806
2024-12-18 09:00:00,2646.69,2647.34,2644.58,2645.89,1503
2024-12-18 09:30:00,2645.88,2645.88,2643.39,2644.87,1518
2024-12-18 10:00:00,2644.71,2647.8,2642.15,2644.27,1944
2024-12-18 10:30:00,2644.3,2649.66,2644.27,2647.95,1972
2024-12-18 11:00:00,2647.71,2649.28,2646.51,2648.79,1881
2024-12-18 11:30:00,2648.8,2649.35,2645.56,2646.83,1420
2024-12-18 12:00:00,2646.86,2649.17,2646.24,2648.35,1300
2024-12-18 12:30:00,2648.32,2649.4,2647.41,2648.35,1242
2024-12-18 13:00:00,2648.34,2649.31,2646.78,2647.1,1420
2024-12-18 13:30:00,2647.05,2648.23,2645.71,2646.11,1446
2024-12-18 14:00:00,2646.1,2647.75,2644.65,2647.11,1354
2024-12-18 14:30:00,2647.09,2647.6,2643.47,2643.95,1303
2024-12-18 15:00:00,2643.75,2647.44,2640.88,2645.82,2511
2024-12-18 15:30:00,2645.48,2646.13,2641.8,2643.89,2385
2024-12-18 16:00:00,2644.2,2644.95,2638.56,2638.56,2569
2024-12-18 16:30:00,2638.44,2639.94,2637.0,2637.93,2783
